1964,216,976,1676,2116,2596,3016,3306,3126,2396,1406,936,376
1965,906,936,1436,1836,2556,2986,3326,2906,2316,2096,1366,676
1966,836,1256,1496,1946,2646,3216,3246,2906,2416,1816,716,606
1967,446,1066,1386,1956,2496,2956,3416,2996,2526,1806,1316,726
1968,556,586,1506,1926,2376,3056,3136,2876,2296,1766,1236,836
1969,,806,1866,2096,2606,,3316,2916,2306,1976,1136,916
1970,706,886,1286,2176,2716,,3186,3246,2456,1786,1056,766
1971,386,916,1576,2416,2826,3236,3216,3116,2336,1746,1416,1046
1972,616,356,1436,2016,2546,3036,3106,2716,2366,1696,1376,756
1973,396,1166,1566,2246,2816,3296,3326,3076,2486,1891,1193,
1974,,537,1708,,2586,,,,2440,1485,,
1975,,,,1978,,,,,2684,,,
1976,874,981,,,,,,3118,,,,
1977,557,921,1842,2116,,3152,3335,3109,2502,2245,1534,1114
1978,,1034,1435,,,,,,,1853,,1112
1979,820,1134,1246,2323,2377,3094,3287,,2481,2116,1113,935
1980,621,989,1421,,,3186,3305,3165,2529,,,1018
1981,811,1056,1566,2336,2836,3076,3386,3066,2326,,,1036
1982,736,626,1416,2086,2656,3046,3086,3046,2416,,,
2005,,,,,,,,,2746,2016,1297,755
2006,682,1492,1674,2324,3095,3128,3395,3204,2551,2277,1431,768
2007,649,1077,1507,2462,2797,3211,3335,3013,2539,1668,1531,794
2008,324,714,1796,2228,2840,3383,3410,3041,2604,2125,1320,1025
2009,820,1215,1760,2003,2786,2845,3260,3195,2670,1810,1374,940
2010,947,1158,1914,2435,2858,3221,3389,3124,2532,2183,1241,603
2011,721,956,1626,2238,3044,3348,3308,3303,2698,2109,1665,638
2012,523,546,1567,2226,2731,3096,3384,3171,2631,1957,1371,833
2013,788,1063,1729,2159,2787,3398,3432,3212,2741,2107,1382,804
2014,808,683,1445,2209,2665,3228,3330,3132,2742,2119,,
2016,,,,,,,,,,,940,
2017,771,1014,1634,2327,2975,3334,3391,3101,2662,2099,1399,801
2018,824,1196,1896,2337,2687,3254,3432,3188,2610,1921,1427,960
2019,942,828,1404,2220,2587,2989,3379,3175,2726,2134,1144,963
2020,532,1100,1473,2027,2611,3095,3338,3127,2491,1688,,
