1852,1213,1086,1424,1674,,2304,2520,2570,2375,2062,1810,1387
1853,,1159,1330,1789,,2218,2541,2704,2348,1908,1524,1236
1857,1021,1211,1390,1670,,2147,2438,,2383,1997,1710,
1858,1011,1273,1428,1774,,2295,2462,2570,2466,2041,1925,1323
1859,,1149,1331,1818,1908,,2507,2583,2407,2074,1561,1255
1860,1371,1016,1392,,,2278,2416,2503,2214,1853,1727,
1862,,,,,,,,,,,,1192
1863,1089,1139,1371,1605,,2204,2547,,2255,1976,,1238
1864,,1232,1449,1695,,2283,2687,2652,2327,1998,1556,1168
1865,,1262,1272,,1836,2216,2557,2600,2426,2041,1635,
1866,1128,1373,1406,1655,1895,2206,2543,2616,2417,2001,1675,
1884,1074,1326,1333,1569,1826,2005,2386,2479,2232,1821,1531,1237
1885,,1507,1445,1573,1989,2244,2492,2631,2325,1772,1507,
1886,,,1535,1659,1963,2229,2458,2431,2306,1894,1511,1301
1887,1203,1114,1456,1534,1910,2314,2559,2610,2330,1692,1626,1267
1888,,1161,1376,1633,1894,2236,2459,2354,2225,1952,1505,1416
1889,1120,1250,1316,1500,1782,2023,2457,2489,2238,1913,1559,1066
1890,1180,1174,1244,1570,1694,2208,2330,2469,2153,1904,1437,1167
1891,988,1093,1426,1675,1893,2080,2526,2481,2428,2139,1748,1285
1892,1216,1357,1585,1583,1874,2260,2519,2427,2319,1893,1613,1288
1893,1089,1249,1551,1761,2028,2360,2446,2511,2442,1990,1627,1265
1894,1210,1187,1421,1624,1823,2059,2426,2522,2240,2018,1653,1310
1895,1272,1600,1606,1761,2096,2360,2833,2709,2435,2229,1748,1504
1897,1152,1210,1595,1711,1845,2186,2521,2540,2285,1986,1717,1341
1898,1321,1220,1341,1536,1838,2140,2335,2462,2330,2033,1536,1237
1899,1287,1512,1498,1867,2062,2229,2382,2556,2450,2299,1803,1371
1900,1317,1686,1378,1623,1872,2230,2353,2523,2373,2066,1530,1258
1901,1259,1192,1452,,1850,2398,2532,2558,2358,1833,1575,1220
1902,1184,1470,1478,1806,1782,2078,,2609,2301,1901,1616,1275
1903,1285,1207,1498,1606,1814,2113,2335,2493,2273,2044,1588,1235
1904,1230,1328,1353,1596,1913,2204,2575,2619,2285,2051,1616,1432
1905,1156,1101,1596,1766,1817,2217,2451,,,,,
1906,,,,,,2216,2424,2510,2354,2037,1523,1237
1907,1068,1135,1349,1673,1789,2270,2360,2418,2288,1873,1755,1511
1908,1223,1166,1233,1508,1924,2068,2375,2466,2400,1961,1739,1396
1909,1082,1164,1392,1505,1776,2128,2282,2485,2162,1954,1636,1411
1910,1187,1361,1276,1570,1806,2158,2409,2443,2238,2046,1596,1392
1911,1030,1254,1367,1566,1796,2106,2385,2547,2438,2034,1628,1460
1912,1334,1566,1640,1724,2036,2195,2354,2446,2114,1866,1422,1133
1913,1338,1213,1372,1542,1875,2158,2392,2419,2176,1947,1642,1266
1914,1117,1367,1490,1659,1856,2042,2368,2371,2268,1874,1531,1278
1915,1161,1271,1460,1452,1875,2208,2531,2593,2301,1819,1590,1321
1916,1119,1255,1424,1569,1885,,,,,,,
1917,,1310,1279,1462,1845,2110,,,,,,
1922,,,,,,,,,2146,2027,1591,1242
1923,992,1382,1443,1486,1758,1885,2376,2573,2140,2015,1521,1166
1924,1225,1172,1469,1613,2000,2153,,,,,,
1927,1207,1249,1456,1576,,,2345,,,1976,1620,1407
1928,1152,1319,1517,1635,1732,2153,2433,2645,2450,1971,1466,1209
1929,1164,1343,1399,1665,1792,2161,2359,2445,2310,1889,1500,1417
1930,1287,1130,1487,1495,1872,2055,,2484,2333,2055,1659,1399
1931,1259,1182,1609,1672,1869,2244,2479,2444,,2007,1642,1164
1932,1202,1162,1525,1524,1797,2027,2195,2382,2351,1918,1578,1349
1933,1208,1283,1413,1673,1950,2111,2355,2569,2445,2119,1475,1123
1934,,1084,1261,1561,1789,2174,2463,2452,2353,1948,,1451
1935,1003,,,,1742,2146,2477,2582,,,,
1936,,,1459,1692,1693,2080,2398,,,,,
1937,,,,,1798,2197,2414,2544,2283,1991,1780,1296
1938,1166,1160,1348,1483,1803,2253,2466,2515,2217,1980,1681,1330
1953,,,,,,,,,,1959,1607,1426
1954,1012,,1474,1490,1923,2216,2440,2513,2345,1912,1689,1224
1955,1436,1393,1386,1603,2064,2302,2707,2650,2358,1979,1636,1422
1956,1264,896,1400,1614,1861,2129,2474,2617,2335,1919,1301,1096
1957,947,1343,,1567,1842,2102,2466,2618,2426,1905,1432,1073
1958,1148,1451,1465,1517,2047,2273,2416,2602,2469,1915,1482,1396
1959,1287,1173,1590,1626,1895,2217,2573,2545,2414,1973,1529,1259
1960,1125,1394,1517,1600,1984,2335,2551,2603,2294,1903,1665,1126
1961,1069,1389,1343,,2081,2326,2577,2537,2457,1964,1600,1315
1962,1235,1121,,1654,2028,,,,,2093,,1188
1963,1197,1246,1388,1561,1814,2160,2583,2584,,1890,1712,1377
1964,1120,1292,1521,,2053,2245,,,,,,
1965,,,,1592,1981,2361,2501,2500,2135,,,
1966,1377,1527,1258,1670,1890,2273,2457,2625,,1803,1212,
