1961,228,,751,,2079,2398,2491,2460,1890,1301,884,
1962,323,,,,,,,,,,,
1964,-208,214,654,1052,1819,2344,,,1968,1350,912,288
1965,85,334,716,950,1849,2138,2385,2450,1985,1108,1032,622
1966,739,702,909,1437,1662,2115,2709,2712,1952,1600,1134,670
1967,348,176,579,1149,1818,2035,2316,2493,1883,1545,948,514
1968,251,334,710,1224,2040,1987,2427,2311,2174,1426,923,284
1969,-204,-232,380,1037,1763,2309,2264,2414,1936,1275,896,656
1970,294,641,956,1506,1829,2131,2545,2323,1916,1320,1082,238
1971,170,395,940,1089,1887,2074,,,,,,
1973,-185,644,730,1289,1801,2104,2378,2408,1802,1500,732,278
1974,3,207,678,964,1887,2246,2335,2195,1835,1732,1021,462
1975,314,179,697,1652,1918,2483,2795,2513,2084,1293,717,314
1976,403,-215,393,1387,1657,2077,2371,2651,1921,1195,765,519
1977,-243,631,851,1446,1818,2219,2423,2412,1971,1157,927,235
1978,213,329,880,1157,1661,1935,2556,2413,2308,1468,619,565
1979,243,,981,1305,1876,,2511,2665,2289,1456,916,495
1980,42,228,592,1315,1837,2267,2686,2408,1932,1265,1081,681
1981,556,536,815,1128,1560,2122,2503,,2101,1591,869,762
1982,,211,548,1479,1769,2128,2442,2319,2011,1280,643,351
1983,110,557,655,1508,1870,2078,2572,2251,1836,1377,889,434
1984,409,-75,613,1306,1716,2148,2761,2327,2133,1383,875,105
1985,285,170,431,1410,2011,2307,2250,2539,2121,1267,1009,253
1986,425,308,474,1496,1602,2216,2565,2560,2254,1388,685,355
1987,431,441,543,1046,1871,2417,2568,2429,1879,1063,687,378
1988,216,264,700,1360,1537,2238,2445,2237,1852,1397,759,527
1989,154,259,,1596,1840,2383,2665,2530,1996,1378,916,351
1990,,438,897,1209,1607,2268,2504,2302,2162,1380,1133,396
1991,187,176,672,1409,1644,2238,2629,2518,2041,,,
1992,,,,1208,1647,2074,2344,2331,1914,1363,774,294
1993,53,106,755,,,,,,1926,,,
1994,,,,,,,2318,2305,2091,1471,820,
2000,209,544,839,,1856,,,2796,2214,1332,,593
2001,,631,1077,1504,,,,,,,,
2002,,,,,,,,,,,1051,-141
2003,444,330,397,988,1867,2050,2352,2528,1970,1708,885,510
2004,510,625,993,1213,1768,,,2665,2054,1488,967,295
2005,266,377,746,1412,,2161,2701,2553,2067,1438,908,671
2006,84,514,903,1277,1709,2608,2489,2939,2087,,775,
2007,414,409,639,1008,1939,2239,2445,2658,2224,1643,737,385
2008,-201,201,1339,1646,1687,,,2666,2093,1485,970,150
2009,199,634,924,1041,1751,2328,2650,2262,1979,1734,1037,559
2010,460,475,903,1292,1907,2631,2843,2770,2351,1595,1161,818
2011,361,211,800,1157,1862,2356,2845,2473,2048,1488,489,415
2012,256,82,683,1842,2101,2477,2538,2758,2163,1869,1158,422
2013,372,601,1029,1359,1904,2316,2467,2415,2202,1358,1001,248
2014,335,289,877,1391,2125,2361,2638,2915,2135,1315,694,541
2015,284,550,760,1172,1843,,2693,2651,2290,1427,854,397
2016,269,640,989,,1874,2291,2442,2780,1997,1214,705,175
2017,277,281,935,1264,1811,2237,2713,2793,2338,1421,939,590
2018,360,585,1040,1402,2010,2386,2854,2455,2205,1671,887,610
2019,496,518,837,1272,2027,2655,2685,2677,1945,1850,883,620
2020,350,576,1047,1100,1955,2596,2698,2398,2259,1720,944,329
2021,321,631,650,1755,2062,2577,2640,2857,2045,1239,953,624
2022,438,796,535,1608,1723,2413,2636,2742,2258,1668,1049,356
2023,343,391,1250,1427,1861,2259,2576,2733,2098,1688,1267,785
2024,458,638,813,1768,1672,2429,2580,2595,2151,1461,928,469
2025,489,224,1045,1363,1921,2196,2706,2665,1882,1546,1161,506
2026,416,763,,1204,1721,2234,,,,,,
