1941,2236,2206,2256,2256,2046,1846,1896,2106,2356,2376,2306,
1942,2196,2316,2206,2176,1976,1906,1806,2076,2316,2226,2186,2106
1943,2176,2066,2206,2136,,1686,1806,2066,2301,,2161,2121
1944,2111,2201,2051,2181,1991,1861,1901,2081,2341,2251,2201,2151
1945,2171,2101,2101,2141,1931,1731,1821,,2281,2241,2151,2051
1946,2101,2111,2151,2171,,,1751,1971,2331,2171,2081,2001
1947,2091,2141,2121,2081,1991,1811,1721,1951,2241,2271,,2201
1948,2171,2101,2121,2131,1961,1721,1741,1981,2201,2241,2071,2161
1951,2081,2041,2151,2061,1971,1651,1651,1921,2211,2271,2151,2101
1952,2251,2191,2171,2111,1821,1731,1771,2061,2291,2251,2131,2231
1953,2101,2201,2141,2081,1941,1581,1681,1981,2171,2221,2161,2161
1954,2131,2201,2131,2081,1991,1581,1691,2041,2291,2361,2160,2170
1955,2120,2200,2080,2030,1880,1720,1730,1930,2200,2220,2130,2090
1956,2070,2150,2070,2050,1830,1680,1720,2000,2200,2290,2100,2110
1957,2090,2170,2100,2090,1900,1740,1820,2050,2270,2200,2220,2140
1958,2190,2230,2200,2180,1950,1750,1760,1970,2300,2220,,
1959,,,,2130,2030,1800,1840,2000,2260,2310,2160,2160
1960,2140,2100,2060,2080,1890,1780,1680,2050,2280,2230,2120,2140
1961,2130,2070,2150,2130,2050,1800,1830,1960,2260,2270,2110,2130
1962,2120,2140,2110,2110,1790,1780,1780,1950,2240,2300,2130,2100
1963,2070,2110,2080,2100,1870,1720,1820,2000,2250,2240,2060,2180
1964,2180,2170,2140,2040,1930,1610,1650,2000,2210,2170,2110,2070
1965,2020,2080,2140,2050,1840,1820,1780,2050,2200,2280,2140,2110
1966,2150,2150,2110,2100,2000,1840,1840,2050,2240,2270,2200,2140
1967,2130,2140,2110,2090,1920,1860,1740,2020,2240,2210,2070,2110
1968,2110,2120,2070,2080,1960,1610,1790,2040,2210,2310,2090,2100
1969,2110,2110,2160,2160,1960,1760,1810,2150,2260,2170,2140,2120
1970,2140,2160,2150,2130,1990,1810,1910,2070,2250,2290,2160,2130
1971,2130,2110,2140,2080,1950,1820,1850,2080,2220,2260,2140,2050
1972,2060,2150,2090,2120,2020,1730,1830,2030,2270,2250,2150,2150
1973,2220,2220,2190,2150,2000,1750,1840,2000,2260,2250,2150,2060
1974,2090,2110,2060,2050,1870,1710,1740,2060,2220,2200,2110,2090
1975,2070,2110,2090,2080,2030,1770,,,,,,
