1928,2022,1817,1722,1301,877,561,797,736,982,1507,1697,2012
1929,2347,1987,1776,1592,892,642,667,732,1017,1227,1712,1997
1930,2137,2112,1737,1452,1027,781,512,567,1112,1197,1662,2097
1931,2107,2177,1817,,756,547,552,677,886,1476,1522,1982
1932,2312,2087,1917,1497,902,702,902,722,1112,1442,1862,1997
1933,2067,2067,1737,1457,1202,672,537,867,1007,1402,1651,1892
1934,2337,2006,1807,1176,1017,697,,862,902,1297,1597,1867
1935,1967,2056,2017,1337,1262,732,587,811,882,1062,1857,1962
1936,2057,2017,1847,1472,997,752,917,757,972,1262,1617,2042
1937,2172,2327,1762,1427,942,852,652,777,1017,1212,1692,1892
1938,1917,2037,1808,1348,1168,768,698,748,1188,1498,1618,2068
1939,2248,1998,1658,1228,1018,878,868,948,958,1378,1458,1648
1940,2068,2108,1758,1408,1098,1038,878,748,1078,1048,1668,1868
1941,1978,1868,1448,1288,918,843,833,933,813,1403,1523,1893
1942,2313,2168,1688,1368,888,603,558,817,1013,1283,1732,2123
1943,2128,2278,1893,1543,1193,848,1028,653,1113,1493,1533,2023
1944,2118,2263,1882,1428,1168,,,,,,,
1945,,,,,,,673,963,1173,1493,1743,1983
1946,2013,2013,1703,1463,1123,673,713,843,1003,1383,1613,1823
1947,2073,2043,1743,1413,1093,1023,643,773,1073,1513,1853,1913
1948,2063,2103,1633,1393,1113,863,683,593,1163,1283,1683,2233
1949,2293,1993,1653,1523,993,833,693,753,1013,1203,1793,1893
1950,2043,2133,1923,1523,1143,833,753,853,853,1143,1533,1853
1951,2143,1753,1663,1283,1163,1033,813,1003,963,1293,1633,1883
1952,2183,2283,1813,1393,1103,563,823,783,1063,1333,1703,1823
1953,2173,2193,1793,1373,1103,823,473,963,1123,1223,1683,1963
1954,2063,2123,1993,1383,983,723,613,883,923,1293,1683,1963
1955,2283,2123,1683,1343,983,633,473,763,1003,1213,1943,2053
1956,1963,2053,1833,1203,703,773,783,873,963,1353,1803,2033
1957,2223,1733,2193,1313,1353,683,623,763,983,1423,1573,1923
1958,2283,1813,1783,1423,1063,813,1223,743,1223,1583,1653,1893
1959,1993,2233,1843,1153,,,,,,,,
1973,2225,2189,1950,1376,927,791,,,1098,1346,1634,2121
1974,2233,1881,2022,1492,1140,691,839,,1008,1358,1680,1900
1975,,,1701,1477,1234,1015,638,874,1243,,1705,2151
1976,,2079,1560,1331,1109,703,786,799,1140,,,1785
1977,,2002,1756,1613,1015,824,769,937,1345,1429,1754,
1978,,,1889,1422,1027,738,899,783,1140,,,
1979,,,,,1009,828,903,1046,,,1534,
1980,,,,1466,,,,,1197,,,
1981,2083,2184,1826,1467,1269,722,849,1033,1155,1512,,2076
1982,,,,,,,,,,,,2106
1983,2317,,,,1092,600,691,857,1112,1449,1859,2141
1984,2287,2081,,1447,,,,,,,,
1985,,,,,,,,,,,1794,2000
1986,,2174,1687,,,,,,,1383,1681,2083
1987,2153,2346,1892,1597,823,833,823,753,1027,1437,1789,1915
1988,2148,2118,,1223,952,743,623,947,,1272,1905,2196
1991,,,1920,,,,,,1160,,,1990
1992,2110,,,1460,1000,870,,,1110,1410,1480,1980
1993,2110,2170,2090,1510,1070,860,610,1000,1050,1410,,2030
1994,2190,2070,1940,1490,1210,880,730,900,,1340,,2090
1995,2020,1920,,1400,1132,778,624,814,1125,1370,1763,2141
1996,2165,1990,1990,1494,1193,710,722,1175,1139,1521,1842,1976
1997,2325,1891,1830,1583,1379,951,920,972,956,1377,1619,1817
1998,2078,1873,1754,1446,1188,914,1029,942,1032,1649,1818,2046
1999,2121,2173,1829,1348,1051,776,753,961,1142,1424,1771,2086
2000,2270,2030,1760,1483,1108,939,626,822,1034,1271,1603,2150
2001,2266,2246,1914,1404,1109,876,625,1048,1099,1507,1810,2013
2002,2269,2134,1790,1440,1154,727,770,945,1087,1525,1754,2077
2003,2349,2161,2004,1386,967,876,724,818,1158,1541,1715,1955
2004,2250,2031,2179,1558,934,957,828,911,1170,1379,1720,2053
2005,2088,2145,1840,1381,,906,826,904,1084,1320,1838,1815
2006,2096,2050,1808,1527,1007,814,910,930,1162,1474,1729,2210
2007,2228,2126,1834,1494,955,685,579,653,1249,1549,1575,2147
2008,2279,2211,1843,1489,1129,829,933,859,1140,1426,2133,2184
2009,2355,2285,2113,1548,1174,800,730,1215,984,1435,1750,2018
2010,2400,2060,1925,1390,1169,855,705,890,1175,1430,1675,2175
2011,2290,2070,1975,1544,1190,840,880,875,1225,1355,1940,2060
2012,2320,2175,1875,1470,1275,835,655,1030,1224,1450,1810,1940
2013,2070,2110,1560,1490,1164,915,790,880,1010,1504,1785,2360
2014,2310,2075,1845,1420,1215,920,899,1135,1315,1585,1770,2145
2015,2100,2155,2070,1655,1405,970,900,1060,1020,1130,1805,2150
2016,2185,2225,1885,1435,1005,790,795,1065,1160,1455,1840,2260
2017,2330,2340,1935,1520,1285,945,960,1100,1200,1470,1615,2115
2018,2315,2300,1920,1750,1270,840,765,975,1330,1415,1745,2080
2019,,2075,1775,1615,1185,1035,780,980,1080,1290,1800,2020
2020,2170,2110,2210,1510,1255,950,745,1015,1145,1380,1930,2150
2021,2220,,1950,1885,1185,925,930,1060,1260,1515,1820,2210
2022,2425,2070,1810,1470,1030,790,875,1000,1305,1460,2005,2265
2023,2405,2240,2165,1570,1285,910,830,965,1095,1455,1765,2060
2024,2355,2270,1970,1505,935,1045,730,920,1300,1690,1835,1920
2025,2290,2310,1905,1465,1310,755,895,1015,1255,1515,1815,2285
2026,2220,2145,1990,1630,1050,,,,,,,
