1926,1879,1829,1724,1574,1434,1299,1143,1144,1304,1368,1554,1664
1927,1724,1743,1614,1814,1464,1254,1174,1229,1349,1429,1679,1799
1928,1754,1799,1774,1674,1489,1368,1224,1284,1239,1294,1529,1714
1929,1764,1818,1714,1573,1374,1264,1224,1159,1284,1399,1574,1654
1930,1829,1829,1854,1724,1618,1449,1284,1284,1299,1444,1514,1679
1931,1818,1759,1809,1639,1314,1159,1169,1209,1189,1409,1544,1779
1932,1939,1873,1754,1654,1539,1304,1214,1143,1343,1384,1554,1649
1933,1789,1959,1749,1629,1493,1354,1199,1193,1354,1414,1574,1724
1934,1873,1993,1879,1743,1704,1389,1244,1304,1284,1364,1479,1654
1935,1764,1799,1743,1709,1514,1309,1164,1234,1224,1289,1489,1654
1936,1759,1793,1814,1714,1424,1304,1249,1229,1379,1414,1699,1773
1937,1859,1909,1804,1854,1484,1364,,1214,1334,1474,1589,1718
1938,1764,1754,1784,1634,1484,1279,1249,1268,1354,1434,1554,1768
1939,1809,1843,1784,1664,1464,1289,1204,1154,1349,1434,1539,1754
1940,1768,1914,1843,1609,1439,1369,1274,1299,1334,1454,1549,1699
1941,1784,1848,1709,1593,1499,1409,1268,1329,1174,1359,1564,1784
1942,1714,1793,1693,1679,1489,1289,1268,1168,1214,1309,1593,1714
1943,1739,1809,1779,1584,1489,1404,1068,1219,1259,1369,1559,1674
1944,1818,1818,1724,1529,1354,1439,1274,1324,1329,1514,1623,1639
1945,1793,1809,1814,1814,1564,1319,1239,1193,1249,1399,1539,1779
1946,1779,1718,1684,1724,1493,1309,1179,1204,,,1568,1714
1947,1909,1843,1754,1684,1499,1379,1239,1259,1299,1339,1509,1718
1948,1874,1959,1918,1604,1618,1424,1249,1334,1309,1399,1509,1624
1949,1804,1849,1789,1799,1559,1444,1309,1343,1404,1349,1514,1829
1950,1904,1893,1893,1839,1643,1389,1268,1279,1293,1359,1474,1714
1951,1854,1818,1824,1649,1434,1319,1209,1089,1379,1429,1559,1693
1952,1834,1854,1843,1673,1449,1384,1179,1284,1234,1359,1518,1568
1953,1768,1789,1843,1729,1534,1268,1204,1189,1334,1364,1454,1589
1954,1839,1779,1739,1564,1424,,1249,1234,1384,1489,1514,1699
1955,1818,1854,1864,1599,1434,1243,1244,1149,1239,1279,1504,1629
1956,1959,1939,1884,1593,1393,1134,,1089,1264,1344,1618,1704
1957,1896,1857,1792,1658,1568,1383,1181,1330,1310,1458,1655,1754
1958,1909,1908,1860,1733,1508,1390,1140,1299,1218,1336,1603,1723
1959,1856,1840,1894,1693,1542,1411,1331,1368,1279,1456,1476,1538
1960,1659,1789,1633,1478,1388,1271,,1180,1285,1452,1510,1730
1961,1946,2050,1947,1583,1655,1398,1234,1228,1388,1408,1596,1702
1962,1901,1853,1838,1810,1620,1454,1300,1356,1287,1332,1579,1760
1963,1853,1870,1905,1762,1588,1343,1192,1253,1331,1577,1620,1787
1964,1839,1877,1818,1584,1501,1416,1223,1216,1214,1243,1510,1595
1965,1837,1882,1853,1742,1468,1322,1254,1232,1328,1479,1512,1815
1966,1888,1891,1839,1613,1504,1199,1209,1187,1250,1365,1672,1713
1967,1832,,1761,1736,1499,,1169,,1341,,1623,1766
1968,1870,1840,1657,1506,1311,1244,1229,,,,,1621
1969,1844,1847,1808,1626,,1344,1256,1242,1157,1509,1591,1717
1970,1860,1868,1886,1633,1515,1292,1331,1249,1283,1361,1518,1672
1971,1862,1887,1814,1674,1516,1472,1329,1160,1265,1327,1357,1596
1972,,1907,1797,1768,1700,1433,1249,1192,1319,1446,1622,1937
1973,1982,1864,,,,,,,,,,
