1933,,,,2782,2812,2772,2812,2722,2792,,2332,1912
1934,1792,2062,2622,2792,2762,2752,2802,2822,2872,2672,2212,1902
1935,1772,2162,2562,2762,2992,2792,,2742,2852,2702,2312,1912
1936,1772,2142,2652,2882,2822,2802,2772,2812,2792,2652,2382,1952
1937,1712,2062,2582,2932,2862,2822,2812,2762,2862,2692,2232,1952
1938,2002,2012,2732,3012,2702,2782,2782,2782,2822,2722,2272,1903
1939,1933,2223,2613,2933,2863,2803,2753,2823,2813,2753,2433,2063
1940,1853,2083,2393,2913,2833,2803,2763,2803,2773,2733,2463,2013
1941,1883,2153,2753,2843,2753,2753,2793,2843,2813,2663,2253,2103
1942,1943,2183,2613,2763,2793,2833,2833,2783,2753,2753,2423,1933
1943,2013,1953,2453,2933,2903,2783,2753,2723,2803,2703,2333,2013
1944,1873,2093,2613,2763,3023,,2793,2813,2803,2743,2293,2013
1945,1853,2053,2653,2763,2753,2803,2803,2763,2883,2643,2353,1923
1946,1913,2293,2613,2613,2783,2803,2783,2813,2813,2613,2403,2023
1947,1933,2153,2643,2943,2863,2833,2773,2803,2823,2763,2353,2063
1948,1983,2153,2513,2703,2783,2853,2763,2713,2793,2643,2343,1963
1949,1873,1933,2673,2588,2753,2813,2773,2783,2807,2808,2313,1823
1950,1958,2033,2538,2813,2878,2846,2816,2696,2951,2706,2310,1941
1951,1861,2116,2596,2735,2816,2821,2776,2856,2856,2726,2366,2071
1952,1921,2151,2406,2731,2826,2881,2816,2851,2801,2760,2411,1955
1953,1811,2201,2635,2851,2790,2780,2770,2830,2825,2690,2180,
1954,1835,2360,2605,2874,2899,2675,2680,2720,2855,2665,2290,2035
1955,1910,2070,2620,2725,2870,2810,,,2849,,2510,1965
1956,1905,2060,2610,2799,2810,2699,2780,2790,2755,2755,2390,1975
1957,1910,2025,2370,2870,2900,2799,2785,2845,2835,2670,2280,1985
1958,2045,2095,2605,2895,2890,2900,2845,2800,2855,2765,2460,2040
1959,1919,2030,2505,2820,2810,2810,2805,2790,2730,2665,2274,2000
1960,1855,2255,2470,2950,2965,2799,2735,2840,2749,2705,2300,2060
1961,1965,1990,2724,2840,2880,2805,2810,2805,2790,2715,2270,1815
1962,1744,2115,2520,2855,2730,2730,2820,2680,2865,2660,2290,1950
1964,1810,2190,2674,2749,2780,2745,2660,2795,2830,2710,2399,2035
1965,1880,2075,2435,2795,2890,2775,2755,2725,2805,2725,2400,2065
1966,1950,2280,2595,2915,2975,2745,2795,2775,2774,2605,2424,1930
1967,,2270,2430,2715,2820,2820,2790,2780,2730,2630,2200,1985
1968,1855,2060,2515,2674,2795,2720,2810,2815,2840,2670,2374,
1969,1735,2125,2600,2780,2900,2720,2745,2700,2795,2695,2435,
1970,1935,2150,2510,2780,2885,2865,2745,2795,2820,2640,2425,
1971,1845,2040,2429,,2840,2745,2675,2655,2770,2635,2265,
1972,,,2650,2745,2880,2785,2850,2715,2860,2770,2420,1995
1973,1865,2125,2375,2655,2755,2800,2865,2805,2765,2725,2360,1935
1974,1829,2060,2540,2715,2790,2784,2690,2780,2755,2809,2605,1990
1975,1879,2215,2615,2805,2865,2815,2725,2840,2785,2775,2355,1940
1976,1860,2195,2590,2810,2775,2720,2770,2755,2820,2670,2490,1904
1977,1815,2090,2625,2545,2700,2734,2815,2835,2884,2640,2425,1985
1979,1979,2035,2505,2840,2955,2935,2845,2834,2830,2700,2510,2050
1980,1885,2135,2575,2875,2695,2825,2809,2820,2835,2680,2355,2029
1981,1885,2100,2405,2520,2695,2790,2715,2900,2870,2730,2375,1935
1982,1895,2125,2380,2659,2890,2780,2855,2795,2840,2725,2295,1895
1983,,2185,2545,2730,2784,2855,2885,2830,2880,2750,2495,1934
1984,1829,2035,2610,2834,2790,2845,2795,2855,2785,2770,2380,1995
1985,1960,2140,2655,2830,2815,2890,2780,2880,2835,2765,2315,2080
1986,1925,2190,2610,2695,2785,2940,2834,2900,2815,2705,2465,2075
1987,2095,2209,2500,2734,2920,2945,2820,2850,2850,2800,2490,2075
