2008,,,,,,,,2688,,1770,1364,982
2009,854,,1087,1579,2131,,,2759,2283,1624,,
2010,,,,,,,,2619,2146,1570,1373,
2011,717,886,1112,1628,1990,2503,2599,2740,2570,1753,1262,965
2012,631,,1285,1386,1908,,,,,,,
2014,,,,,,2343,2528,2642,2106,1872,1558,
2015,,,,1450,,2416,2925,2722,2405,1789,1370,1026
2016,898,1277,1222,1682,1840,2318,2743,2641,2285,1673,,865
2017,462,1109,1358,1503,1976,2567,2754,2796,2125,,,
2018,,,,1805,,,,,,,1461,891
2019,674,989,1385,1580,1694,2619,2644,2842,2326,1875,1661,1167
2020,917,1149,,1552,1989,2288,2640,2790,2426,1760,1369,1148
2021,824,1051,1103,,1970,2773,3021,2895,2306,1645,1459,969
2022,822,1016,1036,1413,2137,2768,2949,2838,2214,1969,1450,1214
2023,1007,868,1242,1382,1962,2359,2737,2639,2499,2069,1400,1140
2024,971,1236,1320,1664,2085,2510,2880,2890,2245,1947,1292,
