1974,,,,,,,,,2762,,,
1975,2752,2775,2762,2771,2679,2678,2513,,2728,2872,2836,2774
1976,2631,2715,2645,2698,2634,2532,2569,2673,2629,2678,2672,2659
1977,,2671,2674,,,,,,,,2773,2766
1978,2764,2827,2740,2700,2694,2576,2629,2566,2687,2760,2746,2728
1979,,,,,2724,,,,,,,
1983,,,2887,2885,,,,,2691,2739,,
1984,2666,2670,,,,,,,,,,
1985,2719,2646,2672,,,,,,,,,
1986,,,,,2796,2600,2566,2504,,,,
1987,2660,2584,,,,,,,,,,
1988,,,,2720,2604,2399,2516,2711,2790,,2660,2743
1989,2678,2763,2681,2721,2721,2705,2679,2763,2809,2742,2766,2744
1993,2746,2781,2761,2743,2707,2706,2534,2607,2739,2687,2727,2738
1994,2690,2688,2722,2731,2716,2690,2613,2632,2747,2743,2749,2711
1995,2768,2738,2718,,,,,,,,,
1997,,,,,,,,2559,2777,2698,2770,2772
1998,2785,2791,2757,2798,2590,2512,2631,,,,,
2009,,,,,,,,,,,2843,2757
2010,2771,2809,2864,2821,2665,2708,2533,2723,2844,2827,2762,2733
2011,2714,2619,2656,2685,2676,2675,2639,2690,2843,2789,2802,2723
2012,2679,2655,2693,,,,,,,,,
