1961,1911,1841,1681,1381,1251,1031,1061,1231,1341,1461,1461,1701
1962,1801,1771,1741,1471,1341,1091,1151,1251,1311,1371,1601,1791
1963,1921,1971,1761,1551,1281,1311,1201,1281,1301,1501,1651,1761
1964,1871,1801,1751,1441,1281,1181,1031,1091,1351,1441,1591,1891
1965,1791,1741,1691,1551,1321,1421,1251,1271,1271,1482,1592,1812
1966,1802,1692,1592,1572,1322,1112,1172,1172,1212,1462,1632,1782
1967,1892,1872,1752,1572,1432,1142,1012,1212,1202,1442,1532,1762
1968,1902,1932,1742,1462,1322,1182,1132,1282,1402,1502,1472,1882
1969,1952,1892,1742,1522,1382,1242,1292,1322,1432,1472,1632,1772
1970,1952,1912,1802,1512,1342,1192,1072,1332,1242,1462,1612,1742
1971,1822,1782,1632,1492,1282,1162,1232,1172,1292,1442,1572,1792
1972,1882,1942,1702,1412,1302,1272,1102,1342,1382,1592,1632,1812
1973,1992,1872,1712,1442,1272,1262,1152,1082,1172,1392,1472,1612
1974,1832,1782,1582,1372,1302,1112,1102,1212,1282,1382,1562,1682
1975,1782,1892,1672,1492,1302,1162,1112,1172,1162,1512,1512,1712
1976,1870,1830,1620,1350,1230,1200,1140,1160,1250,1510,1620,1850
1977,1990,1880,1720,1590,1370,1290,1130,1180,1310,1420,1640,1730
1978,1790,1820,1650,,1290,1190,1330,1150,1420,1500,1700,1780
1979,1850,1860,1760,1500,1380,1050,1140,1340,1470,1460,1610,1840
1980,1890,1990,1900,1720,,1190,1230,1260,1290,1440,1510,1710
