1948,1987,1991,1991,1987,1991,1966,1927,1887,,,,
1950,1997,1912,1891,1921,1891,1837,1902,1912,,,,
1952,,,,,,,,,1907,,1882,1907
1959,,1887,1912,1927,1847,1827,1877,1832,1887,1877,1862,1847
1960,1841,1946,1882,1882,1877,1871,1882,1891,1922,1932,1857,
1961,,,1977,1922,1912,1812,1827,1891,1891,1848,1818,1857
1962,1873,1878,1818,1848,1853,1807,1863,1873,1913,1828,1823,1843
1963,1818,1793,1853,1868,1893,1893,1853,1928,1923,1907,1823,1923
1964,1907,1937,1913,1893,1907,1857,1857,1857,1863,1878,1873,1843
1965,1882,1903,1887,1853,1873,1907,1978,1928,1838,1838,1873,1848
1966,1903,1948,1918,1923,1913,1838,1848,1857,1848,1832,1828,1853
1967,1838,1843,1848,1857,1907,1788,1838,1878,,1848,1828,1863
1968,1838,1832,1807,1807,1868,1818,1843,1873,1923,1863,1838,1853
1969,1857,1948,1978,1953,1993,1898,1843,1823,1882,1823,1857,1878
1970,1913,1928,1923,1907,1882,1878,1843,1813,1788,1857,1828,1857
1971,1828,1788,1838,1863,1838,1848,1848,1803,1823,1843,1793,1857
1972,,,,1876,1926,,,1857,,1937,,1922
1973,,,,,,1826,,,1857,,,
1974,,,1862,1912,,1822,,1817,1772,1812,1832,1776
1975,1822,1817,1857,1872,1826,,1717,1782,1797,1801,1801,1807
1976,1822,1837,1901,1897,1887,1832,1826,1842,1926,1901,1867,1872
1977,1901,1867,1982,1897,1912,1837,1857,1847,1887,1912,1922,1942
1978,1867,1901,1932,1926,1932,1831,1817,1817,1797,1862,1907,1892
1979,1882,1887,1897,1882,1872,1831,1857,1862,1837,1887,1901,1892
1980,1912,1932,1962,1957,1962,1932,1901,1901,1912,1901,1876,1872
1981,1897,1926,,,,,,,,,,
1983,,,,,,,,,,,,1875
1984,1816,1861,1891,1861,1886,1861,1781,1826,1791,1841,1826,1886
1985,1841,1795,1906,1876,1931,1876,1801,1841,1870,1901,1851,1845
1986,1816,1851,1825,1931,1951,1866,1881,1906,1895,1900,1895,1926
1987,1886,1966,1956,1956,1966,1941,1911,1920,1936,1951,1956,1945
1988,1970,1936,2011,1931,1941,1861,,1876,1851,1866,1886,1761
1989,1766,1866,1881,1920,,,,,,,,
1990,,1915,1965,1960,1945,,1840,,1925,1865,1915,1920
1991,,1954,1954,1925,1929,,1885,1879,1929,1904,1900,
1992,1950,,,1975,1910,1904,1850,1929,1879,1915,1865,1935
1993,1935,1920,,,,,,,,,,
