1951,1976,1941,2241,2451,2486,2711,2876,2726,2756,2596,2351,2371
1952,2151,2090,2436,2386,2576,2736,2856,2681,2681,2521,2336,2106
1953,2101,2166,2381,2571,2636,,,,,,,
1954,,,,,,,,,,,,2033
1955,2038,2088,2338,2493,2578,2718,2803,2693,2698,2528,2338,2148
1956,1973,2223,2228,2453,2598,2628,2853,2673,2603,2558,2208,2233
1957,2223,2248,2233,2473,2508,2628,2898,2707,2663,2453,2413,2073
1958,1933,1808,2223,2453,2473,2688,2882,2703,2658,2508,2478,2223
1959,2123,2378,2353,2443,2528,2688,2798,2628,2657,2563,2363,2083
1960,2128,2078,2128,2403,2428,2668,2843,2663,2698,2643,2403,2013
1961,2107,2203,2378,2478,2543,2663,2873,2683,2632,2533,2348,2178
1962,2153,2182,2278,2483,2543,2688,2923,,,,,
1966,,,2228,2423,2543,2608,2728,2778,2758,2593,2263,2088
1967,2243,2182,2323,2478,2657,2618,2768,2723,2663,2568,2333,2288
1968,2088,2018,2163,2493,2563,2648,2738,2768,2698,2538,2318,2123
1969,2143,2073,2203,2543,2638,2703,2803,2768,2693,2628,2263,2053
1970,1973,1933,2238,2603,2583,2698,2698,2708,2668,2623,2228,2203
1971,2083,2263,2308,2328,2648,2657,2707,2733,2743,2618,2403,2403
1972,2358,2188,2323,2503,2583,2618,2698,2748,2708,2638,2543,2338
1973,2257,2048,2453,2488,2618,2718,2758,2728,2657,2563,2463,2078
1974,2298,2133,2413,2543,2563,2653,2708,2748,2733,2523,2368,2223
1975,2288,2353,2398,2578,2653,2673,2663,2748,2678,2593,2343,2178
1976,2068,2113,2413,2413,2573,2573,2723,2689,2654,2534,2404,2259
1977,2069,2114,2419,2369,2489,2644,2664,2689,2629,2514,2369,2249
1978,2034,1968,2189,2409,2669,2689,2669,2694,2694,2609,2464,2439
1979,2189,2114,2274,2509,2609,2723,2748,2789,2729,2609,2479,2254
1980,2194,2048,2394,2405,2659,2705,2750,2740,2690,2659,2430,2140
1981,1860,2150,2220,2475,2700,2700,2730,2759,2709,2620,2300,2134
1982,2200,2355,2405,2545,2530,2670,2720,2760,2725,2580,2425,2310
1983,2205,2145,2215,2330,2605,2720,2780,2740,2705,2600,2435,2345
1984,2205,2250,2325,2480,2625,2645,2645,2685,2650,2580,2330,2220
1985,2029,2225,2355,2390,2585,2740,2725,2690,2700,2645,2500,2245
1986,2115,2240,2230,2384,2570,2700,2780,2730,2745,2645,2615,2450
1987,2100,2250,2330,2260,2650,2765,2810,2800,2780,2540,2500,2280
1988,2240,2195,2290,2500,2560,2700,2780,2740,2705,2595,2515,2230
1989,2290,2275,2340,2535,2684,2750,2750,2780,2734,2555,2525,2170
1990,2365,2365,2400,2555,2680,2734,2775,2790,2745,2660,2450,2305
1991,2405,2230,2440,2650,2650,2750,2784,2734,2715,2635,2370,2330
1992,2245,2290,2375,2470,2525,2700,2800,2770,2720,2595,2535,2230
1993,2330,2180,2250,2395,2580,2734,2795,2790,2765,2620,2525,2270
1994,2230,2375,2359,2575,2715,2809,2720,2734,2710,2665,2565,2325
