1973,,,,,,1448,1750,1550,,732,461,
1974,316,,353,797,1078,1429,1470,1567,1383,791,591,486
1975,,221,296,500,1070,1363,1648,1845,1421,,584,
1976,117,131,29,530,1007,1416,1777,1744,1246,882,,20
1977,,,293,412,1029,1432,1511,1574,1252,,627,348
1978,222,-222,126,498,1058,1483,1478,1591,1192,955,755,-120
1979,-348,-266,,427,822,1389,1462,1471,1257,884,530,246
1980,,-194,44,580,1073,1485,1674,1565,,837,435,345
1981,61,57,165,509,1160,1303,1528,1551,1362,871,584,-286
1982,,19,,,946,1389,1713,,1366,1050,,391
1983,471,-21,338,,973,1346,1657,1602,1315,991,537,298
1984,84,64,108,523,,,1569,,1249,1104,710,417
1985,,-394,102,379,972,1324,1561,1552,1195,1061,341,195
1986,-69,-412,188,332,945,1394,1531,1473,1075,951,760,336
1987,,,-200,497,,1147,1490,1424,1252,1043,551,367
1988,389,250,163,481,1171,,1637,,,,436,413
1989,,509,544,596,1073,1451,1673,1529,,,,
1990,,599,,808,1216,1493,1641,1687,1246,996,512,357
1991,274,-33,356,,948,1192,1745,1698,1403,975,638,451
1992,402,,409,519,,1746,1707,1554,1375,665,575,409
1993,299,192,,,,,,,,,,208
1994,,-213,255,,,,,,1301,,703,510
1995,,,,,,1453,,,,,,
1996,-124,,,,,,,,,,,
1998,,,,,,,,,1399,895,,
1999,,235,,,,,1698,,1634,,,
2000,359,377,,,1228,1349,1575,,1332,,824,466
2001,272,-3,103,516,1062,1265,1743,1693,1348,1236,639,173
2002,365,459,430,,1233,,1648,,1501,742,409,0
2003,89,-59,278,637,1032,1516,1800,1788,1457,779,717,506
2004,78,260,368,710,1126,1331,1512,1816,1434,1016,636,521
2005,465,112,152,664,1033,1360,1738,1571,1403,1137,776,378
2006,64,69,-36,575,1083,1431,1901,,1654,1249,878,738
2007,504,160,580,834,1050,1586,1535,1690,1303,938,575,444
2008,433,505,339,733,1190,1476,1762,1669,1373,1025,618,348
2009,199,36,384,846,1139,1437,1683,1659,1458,833,731,203
2010,-337,-318,200,642,969,1386,1757,1634,1268,888,319,-277
2011,143,-17,252,871,1044,1429,1703,1644,1421,1059,785,494
2012,259,69,565,563,1141,1258,1572,1638,1318,922,673,-1
2013,28,-24,-7,467,1079,1341,1650,1631,1312,1044,618,551
