1955,,,,,,,,,,2632,2632,2452
1956,2222,2452,2522,2682,2652,2662,2722,2832,2832,2642,2602,2422
1957,2462,2532,2642,2652,2782,2822,2772,,,,,
1961,2602,2522,,2752,2762,2692,2692,2602,2652,2582,,
1964,,,,,,,,,,2770,2590,2330
1965,2290,2430,2640,2570,2580,2790,,,,,2670,2510
1966,2560,2490,2550,2650,2650,2750,2870,2790,2770,2790,2530,2470
1967,2470,2490,2460,2510,2710,2810,2770,2790,2830,2770,2670,2470
1968,2390,2470,2470,2430,,2720,2770,2730,2790,2810,,
1970,,2480,2570,2670,2620,2740,2770,2770,2750,2750,2570,2480
1971,2470,2530,2550,2570,2710,2780,2690,2770,2810,2700,2630,2530
1972,2480,2490,2530,2610,2730,2870,2770,2790,2750,2690,2590,
