1956,,,2585,2765,,2765,2785,2835,,2735,2595,2475
1957,2465,2485,2505,2655,,2735,2825,2835,2835,2735,2705,
1958,2515,2475,2625,2735,,2795,2815,2865,2795,,,
1959,,,,,,,,,2808,2678,2508,2548
1960,2528,2578,2598,2728,,2818,2878,2818,2748,2678,2678,2498
1961,2508,2538,2588,2668,2718,2848,2848,2808,2728,2618,2608,2498
1962,2498,2458,2588,,,,,,,,,
1963,,,2578,2638,,,,,2710,2570,2600,2610
1964,2570,2590,2590,,,,,,,,,2430
1965,2360,2450,2550,,,,2750,2810,2810,2710,2620,2550
1966,2530,2530,2600,2660,2690,2770,2750,2810,2750,2610,2550,2490
1967,2440,2470,2490,2590,2730,2670,2850,2770,2690,2650,2640,2530
1968,2450,2440,2530,2570,2700,2670,2780,2810,2800,2690,2660,2560
1969,2490,2490,2670,,,,,,,,,
1972,,,2489,2629,,2749,2809,2749,2769,2719,2709,
1973,2579,2569,2669,2719,2769,2849,2849,2829,2799,2679,2619,2469
1974,2489,2489,2569,2629,2609,2729,2819,2839,2659,2649,2599,2529
1975,2479,2439,2529,2690,2680,2830,2850,2860,2770,2690,2640,2450
1976,2380,2440,2500,2600,2700,2720,2800,2730,2740,2720,2730,2640
1977,2550,2590,2630,2590,2660,2780,2850,2810,2780,2730,2680,2570
1978,2510,2550,2620,2620,2700,2790,2840,2780,2780,2670,2620,2550
1979,2490,2520,2520,2610,2700,2710,2750,2780,2670,2700,2600,2530
1980,,2480,2530,2640,2700,2820,2880,2780,2730,2750,,
1981,2480,2550,2610,2680,2630,2650,2760,2760,2730,2630,2610,2580
2012,,,,,,,,,2790,2780,,
2013,2434,2425,2625,,2755,,2725,2850,,2750,,
2014,,2560,,2700,,2750,,,,,2625,
