1880,,,,,,,2972,2928,2778,2733,2413,1683
1881,1858,1718,1883,2253,2318,2618,2858,2928,2818,2533,2092,1668
1882,1433,1343,1758,1878,2198,2388,2738,2778,2708,2413,2103,1778
1884,1173,1353,1603,2008,2142,,2595,,2418,2292,1854,1767
1885,1439,1573,1807,1952,2311,2526,2752,2794,2642,2447,2073,1673
1886,1516,1578,1637,,2115,,,,2610,,1911,1601
1887,,1543,1693,2067,2242,,2743,2813,2673,,2228,1683
1888,1378,1543,1888,1978,2217,,2863,2788,2658,2678,1858,1569
1889,1633,1599,1764,1858,1994,2399,2599,,,,,
1890,,1314,1614,,,2484,2804,2874,,2374,2064,1864
1891,1424,1404,1784,2024,2374,2534,2794,2894,2734,2534,2134,1624
1892,1554,1684,1804,2054,2174,2604,2854,2834,2774,2534,2054,1624
1893,1394,1484,1544,1804,2154,2584,2824,2794,2694,2464,2164,1664
1894,1484,1494,1694,1914,2274,2624,2754,2824,2754,2634,2034,1684
1895,1554,1764,1774,2049,2334,,2654,2729,2674,2389,2084,1633
1896,1314,1464,1674,1924,2324,2524,2834,2884,2684,2604,2094,1734
1897,1594,1604,1644,2004,2244,2494,2784,2714,2754,2434,1754,1494
1898,1294,1484,1714,2004,2264,2614,2764,2764,2584,2554,2184,1694
1899,1404,1594,1744,1934,2314,2594,2724,2764,2744,2494,2044,1574
1900,1494,1654,1834,2034,2414,2447,2702,2759,2569,2554,2158,1656
1901,1343,1801,1918,2024,2176,2521,2685,2771,2702,2589,2152,1739
1902,1447,1856,1828,2045,2359,2538,2765,2887,2865,2577,2103,1562
1903,1539,1572,1760,2029,2299,2523,2689,2812,2695,2515,2047,1703
1904,1472,1633,1696,1906,2154,2440,2738,2764,2654,2574,1929,1508
1905,1299,1299,1549,1908,2239,2499,2644,2719,2669,2474,2229,1549
1906,1480,1514,1754,1946,2251,2551,2753,2828,2707,2517,,
1907,1450,1449,1446,1897,2177,2474,2678,2742,2553,2414,,
1908,1420,1428,1693,1890,2240,2519,2598,2682,2514,2314,1916,1395
1909,1363,1457,1760,1824,2416,2515,2663,2746,2662,2378,2061,1801
1910,1343,1559,1478,1913,2195,2414,2626,2739,2543,2304,2001,1515
1911,1339,1250,1557,1910,2183,2412,2609,2665,2597,2425,2137,1641
1912,1398,1614,1663,1887,2051,2435,2591,2667,2549,2386,1979,1594
1913,1463,1475,1626,1955,2160,2397,2583,2639,2605,2462,1980,1464
1914,1460,1526,1673,1831,2192,2454,2585,2730,2604,2350,1995,1618
1915,1548,1572,1750,1889,2155,2587,2690,2739,2545,2423,2130,1791
1916,1389,1595,1812,1992,2319,2656,2826,2689,2595,2317,2147,1803
1917,1499,1588,1697,1931,2047,2473,2647,2773,2587,2375,2227,1562
1918,1472,1438,1697,1919,2192,2466,2715,2677,2657,2529,2149,1647
1919,1566,1585,,,1974,2301,,2668,2588,2491,2112,1594
1920,,1282,1668,1982,2192,2527,2730,2764,2609,2360,1927,1535
1921,1458,1426,1535,1890,2158,2420,2642,2740,2551,2349,2015,1562
1922,1402,1529,1707,1934,2174,2450,2670,2738,2631,2466,2108,1472
1924,1365,1545,1708,1982,2222,2595,2699,2742,2675,2465,2017,1604
1925,1294,1504,1760,1803,2170,2416,2641,2720,2592,2457,2137,1721
1926,1434,1560,1628,1982,2285,2533,2650,2615,2555,2415,2222,1590
1927,1452,1341,1718,1932,2313,2594,2819,2795,,2563,2267,1734
1928,1569,1447,1613,2032,2287,2543,2716,2820,2718,2457,2063,1550
1929,1366,1337,1592,1837,2358,2537,2682,2787,2722,2383,2140,1562
1930,1415,1480,1722,2044,2217,2567,2743,2800,2691,2494,2090,1805
1931,1517,1517,1765,1930,2218,2541,2755,2837,2750,2482,2020,1588
1932,1390,1460,1718,1854,2126,2502,2729,2780,2685,2583,2161,1694
1933,,,,,,,2586,2657,2529,2345,2239,1722
1934,1520,1349,1815,1965,2275,2565,2723,2779,2700,2576,2293,1727
1935,1510,1581,1792,1969,2372,2622,2695,2734,2695,2549,1992,1709
1936,1684,1651,1883,2108,2257,2500,2784,2866,2672,2618,2229,1545
1937,1358,1685,1867,2047,2224,2525,2738,2803,2730,2539,2209,1747
1938,,,,,,,2755,2864,2687,2448,2018,1641
1939,1515,1543,1712,2008,2328,2485,2792,2829,2750,2619,2109,1712
1940,1485,1628,1726,2002,2255,2543,2716,2707,2617,2537,2177,1561
1941,1652,1732,1732,2022,2427,2537,2747,2797,2597,2367,2162,1507
1942,1287,1572,1736,1982,2332,2632,2747,2727,2582,2437,2132,1767
1943,1397,1472,1567,1761,2227,2432,2687,2807,2747,2647,2341,1867
1944,1377,1507,1747,1952,2182,2542,2717,2702,2652,2462,2047,1677
1945,1407,1398,1516,1820,2280,2483,2720,2869,2702,2381,2065,1497
1946,1545,1437,1697,1918,2247,2545,2739,2870,2799,2497,2296,1591
1947,1421,1635,1860,2002,2316,2569,2782,2826,2677,,2019,1747
1948,1596,1482,1423,1820,2176,2497,2648,2702,2587,2363,2007,1507
1949,1335,1287,1564,1617,2264,,2629,2597,2468,2346,,
1950,1298,1339,1706,2048,2237,2536,2762,2753,2692,,,
1951,,,,,,,,,,2423,2009,1446
1952,,1499,1611,1917,2160,2426,2635,2774,,2499,2104,1772
1953,1363,,1426,1864,2179,,,,,,1862,1489
1954,1314,1470,1752,1810,,2523,2707,,2593,2402,2053,1548
1955,1595,1767,1786,1981,2209,2605,,,,,,
1956,1543,1581,1608,1882,2138,2523,2737,2810,2677,2381,,
1957,,,1658,1911,2159,2549,2672,2791,2684,2585,2191,1681
1958,1413,1573,1803,1963,2193,2503,2663,2743,2563,2393,2123,1783
1959,1503,1293,1563,1863,2213,2443,2603,2703,2523,2253,2063,1683
1960,1483,1603,1693,1963,2333,2473,2663,2733,2613,2543,2173,1953
1961,1493,1373,1563,1883,2223,2583,2653,2703,2493,2303,2023,1553
1962,1523,1413,1753,1833,2183,2533,2693,2763,2653,2483,2333,1603
1963,1543,1593,1573,1893,2163,2453,2713,2783,2693,2503,2113,1623
1964,1343,1393,1653,1813,2063,2473,2583,2683,2553,2403,2013,1613
1965,1413,1523,1743,1893,2123,2573,2663,2683,2583,2323,2003,1603
1966,1433,1593,1713,1973,2223,2553,2643,2723,2613,2523,2273,1633
