1982,,,,,,1063,,,,,,
1983,,,,339,,,,,,,,
1984,,,,,,1348,1507,,,884,,
1985,,,,,739,1277,,1630,1147,834,,
1986,,,-48,148,743,,1623,,904,691,,
1987,,,-630,128,732,1174,1434,1375,1095,833,,-208
1988,,,-242,,,,,1503,,,,
1989,,164,247,,,,,,,,,
1992,,,,,,1450,1587,1564,1397,360,52,197
1993,-3,-89,-50,262,1082,1134,1509,1478,927,599,-150,-100
1994,-232,-1052,-201,356,796,1132,1807,1694,1255,653,189,86
1995,-144,77,80,,700,1558,,1648,1316,952,88,-252
1996,-351,,-296,200,627,1173,1424,1850,1152,846,523,-145
1997,-159,-147,-10,206,712,1533,1899,1938,1217,524,234,
1998,-41,-319,-267,180,880,1296,1611,1479,1337,829,-57,-19
1999,-314,-397,-24,466,724,1668,,1650,,,421,35
2000,-98,-67,7,492,889,1286,1688,1624,,,,
2001,,,-204,420,843,1304,,,,982,252,
2002,-168,21,99,458,1082,1490,1851,1998,1311,353,-32,-550
2003,-764,-516,-166,122,717,1202,1918,,1315,579,440,145
2004,-452,-326,-17,368,904,1237,1622,1742,1334,795,255,219
2005,27,-371,-429,353,877,1361,1879,1688,1406,921,542,-53
2006,-214,-737,-487,306,921,1458,1841,1886,1455,964,373,465
2007,37,-633,272,459,872,1451,1658,1776,1291,861,235,271
2008,64,132,48,481,953,1339,1697,1585,1139,969,470,157
2009,-119,-306,-91,367,955,1351,1678,1693,1460,602,397,-164
2010,-790,-722,-144,411,952,1356,2151,1873,1305,682,147,-529
2011,-352,-838,-118,411,831,1493,1978,1781,1393,934,653,370
2012,-165,-582,53,302,958,1214,1691,1634,1316,796,508,-353
2013,-357,-156,-418,286,994,1605,1737,1766,1361,857,551,308
2014,-388,38,193,501,963,1255,1907,1813,1429,756,373,92
2015,-22,82,249,426,802,1196,1567,1745,1454,829,598,424
2016,-649,47,91,440,1224,1450,1715,1653,1397,664,95,111
2017,-142,-133,102,205,805,1205,1502,1647,1304,700,449,217
2018,-81,-598,-318,421,1268,1394,1980,1877,1466,895,450,-1
2019,-310,22,30,,,,,,,,,
2020,,,257,438,829,1660,1629,1734,1431,999,640,169
2021,-210,-558,-10,408,901,1843,2085,1593,1105,907,387,-326
2022,,,109,303,787,1518,1809,1967,1186,952,380,-40
2023,-34,-78,-8,462,961,1565,1653,1789,1632,702,211,-158
2024,-473,-172,88,315,1205,1613,1843,1875,1643,1018,515,192
2025,114,-156,237,537,872,1329,1915,1639,1505,903,552,279
2026,-565,-777,,,,,,,,,,
