1956,,,,,,,,,,2839,2839,2829
1957,2849,,,2809,2839,2869,2839,2839,2829,2849,2839,2829
1958,2829,2819,2779,2849,2789,2819,2849,2849,2849,2849,2829,2839
1959,2829,2779,2789,2799,2789,2819,2809,2819,2809,2809,2819,2759
1960,2789,2799,2789,2769,2759,2779,2789,2799,2779,2799,2779,2779
1961,,,,,2799,2799,2809,2799,2809,2809,2789,2806
1962,2766,2796,2796,2786,2796,2806,2786,2796,2786,,2776,2786
1963,2796,2776,2786,2786,2806,2796,2796,2786,2806,2796,2806,2786
1964,2806,2786,2796,2806,2806,2806,2806,2796,2786,2806,2796,2806
1965,,,2690,2650,2670,2690,2670,,,2800,2800,2840
1967,2780,2760,2770,2700,2770,2770,2790,2770,2810,2790,2850,2890
1968,2870,2810,2800,2800,2820,2760,2810,2840,2850,2890,2850,2860
1969,2810,2790,2800,2780,2820,2770,2740,2770,2770,2800,2810,2710
1970,2750,2750,2800,2750,2740,2710,,2790,2780,2830,2840,3010
