1950,2503,,2681,2642,2608,2584,,,2487,2606,2627,2624
1951,2653,2680,2673,2727,2624,2447,2343,2362,2474,2614,2614,2660
1952,2708,2691,2709,2720,2626,2436,2249,2315,2493,2643,2620,2628
1953,2649,2651,2678,2710,2644,2435,2318,2269,2473,2588,2622,2622
1954,2666,2598,2698,2735,2594,2319,2211,2345,2517,2615,2625,2600
1955,2614,2681,2715,2706,2659,2419,2290,2282,2509,2608,2620,2559
1956,2642,2696,2705,2701,2620,2450,2242,2334,,,,
1960,,,,2711,2642,2436,2328,2354,2523,2663,2652,2702
1961,2658,2639,2705,2726,2655,2345,2320,2318,2548,2603,2613,2649
1962,2627,2678,2705,2719,2691,2429,2358,2355,2513,2649,2663,2654
1963,2617,2674,2692,2732,2698,2546,2418,2471,2618,2669,2637,2602
1964,2705,2726,2720,2727,2692,2445,2288,2293,2465,2620,2587,2571
1965,2647,2667,2656,2709,2666,2468,2309,2343,2513,2654,2619,2583
1967,2673,2637,2698,2756,2632,2445,2264,2356,2488,2612,2616,2671
1968,2621,2653,2681,2694,2600,2394,2322,2402,2504,2645,2665,2643
1969,2630,2755,2770,2796,2702,2449,2302,2355,2531,2648,2610,2686
1970,2669,2717,2712,2759,2654,2436,2305,2384,2520,2644,2617,2636
1971,2674,2720,2696,2683,2682,2522,2363,2426,2562,2668,2573,2596
1972,2680,2691,2706,,,,,,,,,
1975,,,,,,,,,2503,2602,2610,2630
1976,2615,2625,,2697,2624,2366,2251,2305,2529,2602,2630,2588
1977,2683,2727,2697,2786,2687,2440,2351,2434,2590,2660,2670,2658
1978,2713,2781,2806,2691,2594,2401,2315,2383,2550,2674,2585,2704
1979,2734,2784,2752,2730,2712,2471,2343,2357,2546,2668,2684,2675
1980,2722,2756,2777,2731,2682,2450,2347,2378,2594,2672,2641,2677
1986,,,,,,,,,,,2540,2560
1988,2630,,,2670,,,,2400,2530,,,
1989,2600,,,,,,,,,,,
1994,,,,,,,2310,,,,,
2001,,,,,,,,2405,2505,,,
2002,,,,,,,2530,,2620,,2690,
2003,,,,,,2540,,,,,2745,2759
2004,,2820,,,,2520,,,2395,,,2770
2005,,,,,2725,,,,,,,
2007,2775,,,,,,,,2650,,,
2009,,,,,2659,,,,,,,
2011,,,,2745,,2515,,,,2690,,2634
2012,,2670,,,,,,2465,2590,,2760,2765
2013,,,,2845,,2585,,,2584,,,2755
2014,2765,2840,,,,,2395,2455,2584,2740,,2720
2015,2780,2780,,,,,,,,,,
