1962,,,2726,2711,2701,2691,2561,2501,2541,2661,2691,2696
1963,2726,2696,2716,2751,2711,2631,2471,2351,2466,2641,2696,2721
1964,2736,2776,2741,2766,2721,2651,2581,2576,2621,2591,2676,2711
1965,2666,2711,2711,2676,2666,2646,2521,2506,2591,2706,2721,2721
1966,2716,2740,,,,,,,,,2736,2690
1967,2726,2751,,,,,,,,,,2701
1968,2736,,2746,2740,2681,2661,2601,2571,2641,2656,2726,
1969,2756,2791,2756,2801,2716,2656,2591,2516,2606,2691,2690,2741
1970,2761,2821,2801,2756,2741,2676,2546,,,,,
1972,,,,,2656,2506,2451,2611,2526,2636,2741,2721
1973,2761,2771,2746,2721,2711,2686,2611,2631,2596,2666,2696,2696
1974,2711,2671,2696,2681,2671,2606,2581,2566,2611,2626,2636,2651
1975,2690,2686,2706,2721,2676,2561,2571,2561,2621,2601,2631,2676
1976,2684,2720,,,,,2525,2640,2678,2649,2670,2749
1977,2748,2720,2711,2788,2782,2709,2515,2533,2539,2681,2767,2719
1978,2698,2779,2745,2778,2774,2645,2602,2664,2569,2685,2688,2684
1979,2703,2738,2741,2741,2690,,,2566,2612,2693,2735,2693
1980,2698,2721,2734,2743,2752,2628,2636,2637,2664,2652,2642,2729
1981,2678,2743,2715,2742,2696,2684,,2667,2641,2711,,2715
1982,2631,2688,2682,2712,2713,2661,2576,2462,2534,2658,2753,2741
1983,2751,2738,2819,,2773,2708,2556,2512,2578,2674,2661,2664
1984,,2665,2696,2724,2735,2666,2614,2630,2592,,2725,2684
1985,2724,2767,,,2757,,2637,2625,2604,2673,2684,2688
1986,2676,2687,2671,2751,2798,,,2542,2599,2647,2636,2753
1987,,2699,2776,2829,2793,2717,2648,2560,,2689,2706,
1988,,,2742,2813,2798,2733,2543,2606,2604,2688,2688,2677
1989,2702,,2669,,,,2714,,,,,
1990,,,,,,,,,,,2726,2676
1991,2686,,,,,2646,,,,,,
1992,,,,,,,,,,2634,2681,2657
1993,,2713,2714,2753,2791,2750,2594,2663,2629,2678,2709,2747
1994,2699,2708,2719,2758,2654,,2421,2389,2535,2653,2766,2721
1995,2729,2681,2734,,2793,2740,2662,2543,2611,2717,2677,
1996,,2737,2796,2788,2781,2734,2682,2663,2704,,2716,2729
1997,2709,2731,2786,,2771,2740,2443,2430,,2580,2729,2766
1998,2826,2842,2802,2843,,,,,,,,
2001,,,,,2811,2716,2673,2621,2746,2681,2746,
2002,2790,2840,2851,,2760,2701,2656,2571,2581,2711,2766,2766
2003,2728,2735,2751,2828,2770,2681,2471,2617,2646,2671,2696,2700
2004,2746,2761,2776,2716,2759,2846,2671,2556,2636,2731,2706,2716
2005,2761,2826,2806,2806,2821,2794,2691,2616,2656,2675,2751,2680
2006,2696,2751,2768,2758,2758,2658,2548,2563,2468,2660,2808,2868
2007,2798,2824,2738,2778,2798,2698,2653,2548,2558,2678,2698,2728
2008,2748,2708,2741,2778,2758,2618,2468,2558,2723,2698,2690,2723
2009,2726,2704,2768,2823,2788,2733,2593,2548,2648,2698,2728,2778
2013,2768,2768,2788,2818,2843,2780,2683,2656,2677,2769,2774,2783
2014,2773,2730,2848,2823,2853,2778,2653,2628,,,,
2016,,,,,,,,,,,,2841
2017,2841,2826,2866,2836,2816,2761,2646,2626,2676,2736,2786,2781
2018,2826,2846,2836,2853,2841,2746,2566,2576,2696,2801,2811,2796
2019,2876,2861,2816,2906,2851,2621,2586,2541,2586,,2831,2900
2020,2885,2890,2880,2865,2865,2770,2730,2695,2735,2740,2780,2780
2021,2805,2830,2835,,2820,2770,2750,2710,2725,2775,2790,2825
2022,2845,2805,2805,2835,2870,2770,2715,2710,2735,2680,2715,2785
2023,2825,2820,2830,2840,2810,2745,2635,2560,2610,2780,2830,2840
2024,2880,2915,2874,2900,2810,2810,2685,2610,2755,2820,2855,2860
2025,2857,2891,2896,2845,2823,2803,2683,2710,2744,2794,2803,2857
2026,2854,2844,,,,,,,,,,
