1987,,,,,2599,,,2753,,2471,,
1990,,,2017,,,,,2816,2579,2402,,1738
1991,1542,1875,2175,,,2690,2785,2790,2613,2465,1976,1545
1992,1521,1517,1984,2366,2484,2676,2692,2777,2674,2408,2030,1533
1993,1460,1804,1980,2351,2461,,,,,,2145,1763
1994,1740,1771,,,,,2906,2899,2806,2401,2070,1636
1995,1601,1737,2101,,,,2703,2806,2661,2527,2221,1743
1996,1605,1840,2141,,2459,2781,2654,,,,,
1998,,,,,,,,,,,2287,
1999,,,,,,,,,,,2309,
2000,,,,,,,,,,,,1744
2001,1621,1894,2284,2409,2683,2851,2902,2864,2772,2547,2222,1767
2002,1734,1943,2173,2334,,,2746,2834,2772,,,
2005,,,,,,,,,,2658,2233,1833
2006,1725,1967,2224,2363,,,,3009,2870,2669,2161,1863
2007,1716,1858,2243,2321,2829,2752,2849,2914,2753,2650,2256,1787
2008,1671,1781,2131,2359,2691,2787,2842,2774,2827,2609,2085,1925
2009,1819,2016,2209,2411,2653,2800,2846,2768,2877,2576,2116,1762
2010,1653,1877,2075,2239,2525,2638,2805,2920,2787,2687,2277,1802
2011,1606,1965,2154,2399,2673,2833,2783,2822,2877,2723,2095,1880
2012,1676,1939,2150,2296,2702,2726,2822,2834,2590,2423,2046,1763
2013,1653,2051,2312,2387,2626,2926,2833,2866,2840,2467,1956,1661
2014,1633,1785,2189,2574,2499,2845,2912,2780,2740,2617,2180,1778
2015,1670,1854,2270,2336,2576,2693,,,,,,
2018,,,2253,2537,2574,2775,2789,2891,2741,2573,2174,1918
2019,1881,1966,2237,2536,2415,2835,2666,3082,2775,2654,2501,1906
2020,1716,1993,2333,2463,2588,2622,2649,2876,2737,2772,2315,1941
2021,1780,2110,2406,2645,2560,2719,2834,2780,2994,2790,2204,1905
2022,1708,1724,2467,2340,2696,2580,2890,2991,2863,2635,2198,1880
2023,1720,1922,2270,2536,2665,2856,2890,2899,3067,2711,2356,2029
2024,1790,1891,2256,2522,2777,2797,2966,2996,3076,2559,2371,1910
2025,1908,1931,2205,2551,2688,2932,3049,,,,,
