1947,,,,,,1879,,,,,,
1948,,,,2031,2087,1945,1895,1876,1967,2009,,1931
1949,,,,2276,2073,1995,1915,1906,1965,2056,2081,1981
1950,2134,2167,2054,2087,2001,1862,1812,1809,1879,1981,,
1951,2206,2151,2134,2048,1948,1931,1859,1776,,2020,2045,2001
1952,1981,2167,2217,2145,2176,2087,1873,1917,2051,2056,1967,1956
1953,2015,2048,2167,2165,2065,2017,1984,1856,1940,1984,1976,2037
1954,2162,2173,2120,2031,2056,1926,1862,1881,1937,2004,1942,2006
1955,2037,2295,2173,2006,,2098,1895,1834,1917,1940,1954,
1974,,,,2157,2087,1997,1942,1917,1947,2032,1992,2047
1979,,,,,,,,,,,1992,2007
1980,2082,2087,2182,2132,2042,1942,1887,1897,1957,2127,2092,2117
1981,2137,2207,2137,2002,1937,1882,,,,,,
1982,,2149,2194,1964,1964,1934,1879,1854,1969,1929,1984,1934
1983,2014,2119,2179,2184,2034,1959,1909,1914,1944,2029,2069,2034
1984,2154,2099,2094,2149,2024,1934,1819,1844,1944,1949,1874,1909
1985,1959,2139,2079,1984,1874,1769,1789,1814,1889,1959,1964,1949
1986,2049,2114,2124,2029,1904,1909,1789,1829,1914,2014,2004,1954
1987,2044,2159,2189,2144,2079,1914,1869,1907,2007,2112,2082,2099
1988,2179,2252,2252,2112,1967,1922,1852,1872,1949,2054,,
1990,,,,,,,,,,2024,1979,
1991,,2164,2114,2089,2104,1949,1809,1844,1929,2124,2019,2024
1992,2109,2214,2204,2169,2079,1994,1849,1824,1934,2024,,1939
1993,1939,,2104,2024,2019,1909,1784,1819,1879,1979,1994,1994
1994,2169,2249,2219,2164,2039,1949,1869,1859,1930,2005,1910,1915
1995,2075,2090,2085,2120,2030,1910,1905,1880,1975,2045,2025,2005
1996,2095,2170,2080,,2095,,,1905,1965,,,
1997,,2220,2160,2055,1990,2005,1915,1940,2030,1935,1950,2035
1998,2025,2125,2055,2155,2060,1915,1810,1785,1945,2055,1865,1820
1999,1835,,,,,1900,1790,1765,1810,,1925,1960
2000,2080,2230,2215,2220,2125,1970,1900,1920,1965,2135,2085,2130
2001,2190,2145,2230,2035,2085,1945,1830,1895,1995,2085,1970,1970
2002,2140,2220,2160,2020,2010,1925,1920,1935,2030,2065,2115,2020
2003,2095,2210,2225,2180,2075,1995,1940,1920,1990,2085,2045,2030
2004,2125,2195,2215,2040,2040,1940,1885,1905,2030,2075,2005,2100
