1932,,,,,,2573,2693,2527,2642,2167,1414,
1933,874,1015,1190,1667,2206,2397,2573,2657,,,1535,1007
1934,692,1028,1365,,,2618,2933,2884,2350,1927,1614,1049
1935,596,924,1197,1713,2181,,,2863,2497,,1504,
1936,,,,,2059,2389,2665,2503,2388,1990,1284,777
1937,,,,,2002,2696,2679,2870,2588,2105,1599,682
1939,902,947,1186,1628,,2334,2817,2971,2712,2329,,1014
1940,897,1071,1503,1448,2007,2182,2745,2520,2270,2065,1382,665
1941,898,1238,1495,1661,2065,2433,,,,,1404,849
1942,746,939,1459,2059,2229,2481,,,,,,
1949,817,908,1096,1654,2111,2729,2713,2511,2500,2001,1527,1274
1950,800,1004,1201,1671,2203,2707,2721,2682,2580,1921,1423,940
1951,,,,,,2559,,,,,,
1952,712,824,1602,1744,2042,2912,2825,,2721,2179,1450,971
1953,599,1015,1020,2060,1989,2647,2793,2560,2598,2158,1384,1231
1954,723,941,1435,1637,2082,2731,2513,2543,2537,1783,1440,1014
1955,1216,1521,1431,1543,2289,2493,2955,2787,2468,2063,1661,1151
1956,1137,844,1206,1772,2054,2504,2746,2692,2481,1857,1349,765
1957,694,1275,1335,1651,1975,2579,2588,2706,2384,1859,1421,942
1958,769,1215,1484,1684,2212,2680,2689,2839,2355,1993,1356,1147
1959,849,973,1438,1637,2089,2578,2557,2834,2667,1887,1408,988
1960,904,1494,1481,1584,2237,2581,2709,2929,2404,2296,1687,882
1961,798,964,1074,1747,2359,2427,2671,2506,2330,1913,1790,1073
1962,946,917,1422,1738,2171,2338,2787,2583,2481,2013,1340,860
1963,1106,1070,1215,1717,1811,2595,2812,2820,2507,1704,1643,1353
1964,759,1109,1609,1609,2109,2529,2569,2769,2259,2029,1419,969
1965,889,869,1299,1549,1959,2379,2969,2609,2389,2079,1549,1099
1966,1089,1389,1109,1639,1969,2619,2689,2899,2319,2079,1309,829
1967,819,1109,1269,1719,2179,2289,2509,2739,2419,1969,1569,809
1968,709,1269,1359,1849,2189,2379,2689,2829,2449,1849,1549,1049
1969,889,1289,1529,1609,2329,2549,2489,2669,2499,1849,1619,739
1970,1209,1169,1429,1609,1959,2609,2549,2899,2419,1879,1469,1149
1973,726,782,1200,1568,2319,2588,2993,2609,2460,2151,1325,987
1974,932,1037,1373,1690,2229,2656,2491,2607,,1822,1282,859
1975,,,1345,1668,2167,2490,2699,,2635,,,
1976,,,,,,2399,,,,,,
1977,,1393,1490,,2160,2417,,2754,2271,1973,1539,1043
1978,871,1380,1272,1797,2129,2436,2563,2684,2275,1664,,
1979,,,,,,,2669,,,,,
1980,,1066,1336,1513,2079,2560,2554,2710,2444,1906,1498,
1981,,972,1626,1932,2273,2621,2606,2659,2572,2165,1321,1161
1982,966,1035,1300,1700,1985,2746,2942,2861,2609,2042,1324,764
1983,737,1041,1278,1881,2162,2400,2792,2940,2391,1918,1596,899
1984,867,961,1354,1708,2311,2425,2603,2809,2522,1903,1558,901
1985,798,1368,1297,1825,2170,2678,2782,2693,2300,,1662,1023
1986,882,1185,1326,1828,2102,2466,,,,2062,1293,
1987,905,1077,,,2028,2651,2995,2932,2616,2327,,1333
1988,1086,1155,1344,1914,2513,2698,2961,2831,2421,2281,1488,801
1989,927,1046,,1884,2085,2502,2706,2894,2742,1984,1660,1405
1990,960,1284,1394,1834,2127,2746,2713,2598,2876,2575,1557,967
1991,889,1093,1597,1582,1874,2378,2770,2737,2568,2250,1547,
1992,906,1089,,,2024,2584,2615,2804,2488,2509,1684,1125
1993,882,992,1286,1901,2244,2690,2761,2843,2609,2316,1523,1078
1994,1034,,1399,1716,2571,2662,,,,,,1103
1995,874,1266,1462,1609,2330,2620,2826,2959,2467,1922,1508,1208
1996,1220,1004,1492,1745,2216,2310,2703,3062,2668,1853,1445,1316
1997,1181,1205,1201,1638,2289,2946,2937,2852,2474,2086,1559,1166
1998,1033,1225,1357,2098,2199,2707,2852,2849,2747,2023,1380,942
1999,1019,889,,1918,,,2739,3230,2695,,1601,
2000,789,,,,2411,2459,2839,2805,2591,2000,1708,1259
2001,1105,1114,1918,1716,,2640,3067,2753,2659,2388,1676,1037
2002,935,1265,1584,1845,2249,,,,,,,
2005,,991,,,2324,2494,2929,2844,2570,2239,1604,949
2006,791,,,,,,,,,2194,,
2007,,,1364,1369,2289,2869,2634,2889,2609,2139,1559,1022
2008,932,1089,1549,1949,2409,2479,2969,2799,2709,2169,1519,899
2009,1039,984,1409,1721,2098,2698,2904,2909,2519,2009,1559,1324
2010,1179,1589,1709,1919,2239,2749,2859,2839,2459,2099,1629,1289
2011,1149,940,1389,,,,,,,,,
2012,899,749,1305,2039,2159,2739,2955,2875,2683,2419,1829,1100
2013,988,1039,1756,2065,2328,2439,2819,2714,2670,2469,1499,999
2014,1156,1341,1382,1884,2251,2604,2819,,,,,974
2015,939,919,,,2274,2459,2719,2854,2619,2214,1474,1169
2016,1184,1334,1504,2094,2374,2599,2714,2629,2534,2434,1649,1194
2017,814,1379,1439,1704,2249,2619,2814,2904,2569,1859,1434,979
2018,1174,1119,1709,2019,2179,2619,3114,2729,2609,2099,1589,1169
2019,869,974,1349,1959,2139,2879,2959,2909,2669,2119,1504,1344
2020,1074,1214,1464,1979,2514,2664,2784,2959,2634,2099,1559,1119
2021,1204,1374,1364,1979,2359,2979,2964,3194,2794,2034,1654,1089
2022,914,1154,1404,1944,,,,,,,,
2023,,,,,,,,2795,2551,2410,1780,1190
2024,1180,1290,1740,1860,2460,2845,3020,2845,2675,2425,1855,1155
2025,1150,1225,,2010,2320,2665,3035,2860,2645,2195,1590,1160
2026,1160,1430,1400,1845,,,,,,,,
