1889,1977,2117,1907,1847,1677,1327,1267,1227,1517,1657,1917,1947
1890,1977,1977,1837,1697,1307,1077,1117,1217,1417,1597,1747,1717
1891,1807,1927,1737,1737,1497,1357,1177,1217,1507,1737,1837,1947
1892,1887,1857,1857,1817,1487,1257,1207,1427,1397,1787,1907,1887
1893,1867,1877,1827,1687,1507,1187,1177,1187,1507,1737,1827,1927
1894,1837,1907,1917,1737,1557,1227,1287,1327,1587,1857,1967,1917
1895,1887,1947,1897,1817,1487,1257,1317,1317,,,,
1896,1987,1937,1987,,,,1207,1257,1607,1807,1757,1917
1897,1917,1867,1957,1737,1567,1397,1397,1367,1537,1777,1987,1877
1898,1887,1927,1877,1747,1607,1287,1257,1307,1607,1907,2067,1957
1899,1997,1867,1867,1827,1467,1237,1187,1187,1497,1827,2007,1937
1900,1957,1967,1957,1817,1567,1357,1247,1407,1637,1867,2067,2007
1901,2057,1967,1977,1787,1577,1397,1327,1287,1507,1807,2127,1927
1902,2077,1987,1897,1897,1647,1397,1397,1557,1757,1877,2047,1997
1903,1997,1957,1987,1877,1697,1507,1317,1407,1447,1757,1967,1967
1904,1917,1947,1937,1787,1657,1367,1267,1407,1477,1917,2107,2027
1905,2017,1967,1907,1737,1677,1547,1317,1437,1807,1937,1937,1967
1906,2107,2007,2037,1877,1627,1397,1317,1347,1547,1797,1957,1967
1907,1987,1977,1887,1827,1627,1417,1207,1387,1617,1997,2007,1917
1908,2017,1947,1997,1847,1547,1477,1327,1457,1687,1997,2067,1947
1909,1957,1967,1937,1827,1557,1287,1417,1387,1687,1757,2027,2117
1910,2007,1987,1937,1867,1567,1317,1297,1407,1627,1907,1837,1897
1911,1967,1897,1897,1697,1547,1357,1357,1387,1617,1907,1967,2097
1912,2057,1937,2037,1877,1687,1437,1337,1447,1747,1917,2117,1997
1913,1927,1937,2017,1737,1717,1377,1277,1487,1647,1977,1977,1937
1914,1947,2037,1957,1867,1637,1477,1307,1447,1667,1877,1917,2087
1915,2017,2007,1967,1917,1657,1397,1407,1327,1567,1987,2007,1987
1916,2007,1947,1977,1857,1587,1387,1187,1417,1587,1867,1867,1837
1917,1917,1837,1877,1797,1697,1447,1397,1397,1547,1667,1937,1857
1918,2017,1917,1917,1757,1577,1437,1287,1347,1597,1917,1987,2007
1919,2007,1997,1977,1737,1487,1387,1227,1517,1747,1867,2087,2047
1920,1977,1947,1927,1727,1627,1287,1207,1417,1747,1987,1947,1917
1921,1947,1947,1877,1737,1587,1377,1317,1397,1627,1937,1967,1907
1922,1897,1937,1937,1647,1567,1327,1217,1387,1527,1817,1997,2027
1923,2047,1997,2007,1887,1687,1407,1407,1337,1687,1907,2067,2007
1924,2007,1967,2027,1797,1667,1417,1387,1447,1647,1847,1977,1947
1925,1967,1967,1917,1877,1837,1547,1447,1367,1787,1927,1977,2007
1926,2087,2047,2087,1977,1707,1567,1407,1487,1757,1947,2117,2037
1927,1997,2007,1917,1847,1637,1427,1267,1457,1647,1917,1997,2077
1928,2117,2017,2007,1947,1717,1387,1337,1427,1627,1937,2037,1987
1929,2057,1857,2057,1897,1627,1487,1417,1437,1647,2017,2057,1947
1930,1917,2027,1937,1837,1507,1357,1297,1317,1767,1847,2047,2017
1932,2007,1937,1967,1747,1487,1377,1327,1397,1527,1787,2037,1957
1933,1987,1907,1877,1807,1587,1357,1317,1387,1467,1857,2047,1967
1934,1947,1947,1977,1827,1617,1247,1307,1257,1497,1797,1957,1897
1935,1967,1937,1987,1777,1667,1407,1177,1427,1677,1887,1917,1947
1936,1957,2067,1997,1837,1647,1347,1297,1337,1587,1957,2007,1947
1937,1947,1987,1907,1827,1567,1467,1307,1367,1717,1817,2127,2007
1938,2017,1987,1997,1877,1667,1347,1387,1447,1607,1837,1877,2037
