1969,-745,,,,,,,,,,,
1970,-189,,,,,,,,,,,
1973,-380,201,176,1147,,,,,,1025,,
1974,-472,208,346,,,1850,,,1727,,342,
1975,,,720,,,,2144,,,1062,249,1
1976,-221,-594,153,1130,1491,1836,2097,1822,1545,,,155
1977,-362,,534,890,,,,2003,,944,761,-245
1978,-273,-192,509,939,1338,1859,1940,1926,1521,1107,412,-243
1979,-264,-164,558,925,1690,,1864,2036,,,423,
1980,,,,,,,,1918,,1138,,6
1981,-328,,,,,,,2007,1656,1303,245,
2016,,,,,,2203,2394,2314,1938,864,425,-4
2017,-484,-42,806,1062,1714,2170,2234,2366,1920,1128,611,336
2018,-31,-73,197,1581,1978,2197,2281,2437,1822,1429,320,-57
2019,-215,254,841,1089,1769,2375,2235,2378,1945,1242,893,263
2020,45,465,772,1143,1505,2180,2345,2389,2053,1421,462,243
2021,47,33,414,838,1554,2007,2325,2163,1576,998,692,92
2022,14,353,320,1081,1731,2216,2403,2474,1688,1298,668,204
2023,313,199,724,916,1627,2082,2449,2594,2138,1590,667,269
2024,-35,674,559,1466,1686,2379,2643,2560,2005,1177,356,228
2025,384,-208,931,1107,1396,2123,2415,,,,,
