1878,,1530,1660,1840,2020,2010,1990,2030,2040,1890,1730,1790
1879,1530,1480,1480,1580,1740,1790,1920,1970,1960,1820,1890,1340
1894,,,,,1629,1825,1890,1875,1860,1854,1629,1455
1895,1305,1609,1420,1679,1779,1909,1960,1910,2065,2034,1845,1665
1896,1430,1475,1515,1670,1785,1954,1984,1975,1929,1715,1435,1375
1897,1290,1380,1590,1620,1830,1990,1980,1950,1900,1970,1730,1450
1898,1340,1510,1530,1600,1770,1920,2000,2000,2070,1910,1610,1380
1899,1360,1475,1570,1765,1800,1965,2045,2120,,,1809,1535
1900,1340,1579,1570,1700,1779,1945,2005,1985,2025,1900,1600,1395
1901,1405,1475,1495,1810,1825,2010,2025,2000,1945,1725,1779,1425
1902,1435,1525,1600,1715,1750,1870,1995,2015,1935,1800,1748,1473
1903,1389,1464,1534,1709,1734,1984,2019,1959,1964,1829,1604,1324
1904,1239,1319,1384,1604,1748,1969,1944,1998,2014,2014,1804,1534
1905,1354,1329,1573,1769,1854,1954,1998,1973,1919,1923,1604,1394
1906,1359,1259,1514,1614,1779,2019,1959,1973,2059,1959,1648,1294
1907,1223,1204,1514,1673,1769,1928,1954,2109,2099,1839,1609,1489
1908,1409,1329,1424,1494,1794,1969,1979,2004,1959,1848,1798,1519
1909,1204,1354,1464,1664,1834,,1924,1904,1914,1834,1744,1534
1910,1404,1419,1429,1598,1744,1884,1934,1934,2039,1919,1748,1509
1911,1169,1414,1439,1644,1739,1839,2014,1998,2089,1919,1598,1519
1912,1398,1694,1698,1648,1894,1864,1898,1869,1973,1759,1614,1379
1913,1444,1484,1598,1614,1779,1889,1964,1998,1984,1969,1769,1479
1914,1554,1623,1664,1734,1934,2034,,,,,,
1917,,,,,,,,1848,,,,
1918,1394,,,1409,1684,1914,1964,1969,1994,,1464,1224
1923,,,,,1689,1953,2069,2114,1894,1989,,1274
1924,1444,1469,1679,1709,1959,2114,,2124,2249,,1609,1454
1925,,1374,1409,1524,1614,,1873,1953,1959,1878,1648,1754
1926,1579,1688,1657,1693,1757,1838,2032,2118,2198,2112,1608,1558
1928,1343,1288,1528,1623,1673,1903,2038,2143,1998,2068,1968,
1929,1553,1553,1678,1668,1738,1863,,,1988,1953,1693,1483
1930,1543,1423,1638,1588,1732,1848,1973,2123,1982,,1878,1588
1931,1338,1393,1568,1678,1707,1918,1893,1907,1988,2038,1803,1458
1932,1423,1548,1668,1608,1748,1823,1907,1973,1988,1763,1768,1478
1933,1398,1493,1507,1732,1843,1857,1893,2073,1943,1982,1588,1428
1934,1278,1453,1388,1608,1738,1873,1968,1878,1903,1873,1658,1568
1935,1278,1238,1553,1698,1673,1807,1988,1923,1887,1668,1623,1518
1936,1588,1663,1598,1718,1693,1818,1888,2028,2062,1793,1543,1458
1937,1418,1528,1528,1703,1757,1837,1957,2032,2048,,,
1938,,,,,,,,,,,,1373
1939,1453,1428,1588,1763,1948,,,,,1978,1703,1508
1940,1498,1568,1748,1638,1648,1803,1838,2233,1882,1748,1568,1293
1941,1323,1403,1483,1557,1623,1798,2038,1968,2008,2008,1698,1363
1942,1328,1338,1563,1663,1838,2003,2018,2058,2035,2020,1750,1600
1943,1415,1385,1610,1704,1809,1884,1979,2040,1975,1860,1500,1390
1944,1365,1450,1500,1729,1925,2040,1995,1975,2035,1854,1675,1405
1945,1240,1410,1495,1870,1840,1945,2020,1870,,1995,1879,1729
1946,1425,1475,1500,1620,1704,1865,1975,1904,1950,1815,1779,1370
1947,1410,1495,1800,1765,1735,1870,1910,2010,2040,1929,1820,1530
1948,1590,1490,1695,1675,1810,1945,1940,1940,2035,1860,1790,
1950,,,,,,,,,,1938,1918,1572
1951,1398,1463,1772,1672,1703,1913,,1858,1883,1753,1778,1603
1952,1303,1458,1672,1588,,1988,2058,1913,1868,1893,1727,1447
1953,1493,1388,1508,1678,1822,1858,1897,1972,1997,1878,1713,1603
1954,1308,1283,1433,1503,1718,1783,1838,1872,1788,1843,1772,1488
1955,1503,1588,1543,1758,1843,1993,1938,2018,1963,1902,1853,1563
1956,1428,1303,1453,1593,1838,1818,1847,1883,1863,1888,1558,1338
1957,1328,1398,,1578,1668,1797,1988,2027,1972,1913,1683,1438
1958,1518,1778,1553,1643,1860,1835,1840,1920,1965,1879,1625,1565
1959,1595,1410,1615,1645,1640,1810,1940,1979,1929,1895,1610,1379
1960,1420,1554,1670,1620,1745,1865,1895,1875,1895,1829,1815,1350
1961,1304,1585,1715,1665,1850,1920,1970,2000,2045,1845,1675,1740
1962,1510,1450,1595,1645,1915,1875,1925,1954,2025,2065,1700,1570
