1940,1727,1860,2053,1865,2040,2188,2140,2402,2539,2268,2039,1890
1941,1807,1918,1953,1908,2021,2091,2257,2205,2510,2245,2191,1779
1942,1712,1730,1854,,2068,2098,2065,2251,2417,2288,2003,1906
1943,1753,1905,1814,1964,2222,2171,2306,2390,2424,2269,2024,1762
1944,1815,1668,1845,2027,2056,2243,2179,2376,2624,2301,2129,1808
1945,1882,1902,2140,2190,1952,2087,2269,2219,2337,2406,2160,2091
1946,1770,1946,1906,1913,2041,2103,2073,2164,2468,2355,2062,1849
1947,1727,1776,2126,1980,1949,2072,2175,2374,2374,2261,2084,1909
1948,1866,1923,2162,1840,2064,2083,2108,2261,2292,2210,2140,1936
1949,1792,1979,1777,2055,1974,2160,2162,2455,2498,2482,2184,1954
1950,1768,1972,2157,1982,2001,2195,2124,2318,2506,2399,2280,1841
1951,1800,1777,1929,2008,2041,2089,2256,2244,2348,2276,2065,1820
1952,1640,1785,1931,1933,2006,,2235,2229,2523,2400,2211,2000
1953,1810,1821,1896,1885,2055,2155,2305,2261,2540,2361,2122,1860
1954,1787,1688,1894,1888,2117,2138,2152,2218,2397,2384,2135,1809
1955,1884,1871,1818,1978,2006,2193,2221,2389,2438,2265,2057,1879
1956,1774,1704,1823,1881,2095,2142,2143,2284,2451,2343,2090,1837
1957,1675,1890,1979,1905,1969,2133,2131,2316,2570,2276,2046,1795
1958,1789,1998,2058,2014,2211,2187,2150,2409,2445,2278,1992,1829
1959,1817,1848,1927,1888,1935,2175,2121,2202,2445,2209,1992,1840
1960,1779,1866,1983,1914,1979,2097,2166,2254,2306,2302,2101,1771
1961,1744,2001,1983,2126,2037,2287,2180,2372,2528,2283,2006,1949
1962,1821,1858,1979,1930,1972,2115,2150,2308,2387,,2141,1966
1963,1888,1978,2169,1945,2128,2139,2274,2266,2419,2262,2231,1729
1964,1774,1904,1966,1958,2127,2129,2217,2218,2382,2271,2150,1775
1965,1617,1771,2013,1934,1987,2072,2185,2337,2440,2189,2117,1898
1966,1859,2029,2019,2029,2079,2239,2149,2349,2339,2439,2149,1929
1967,1927,1821,2013,1759,2026,2161,2174,2314,2397,2432,1950,1771
1968,1664,1724,1807,1935,1917,2024,2126,2261,2407,2558,2012,1832
1969,1883,1951,2082,2106,2190,2107,2255,2334,2495,2268,2136,1879
1970,1858,2071,1930,2189,1936,2209,2187,2295,2374,2298,2033,1802
1971,1909,1778,1786,1849,1987,2191,2150,2239,2396,2428,1943,1869
1972,1739,1784,1829,1907,2025,2119,2151,2306,2274,2385,2102,1727
1973,1784,1772,1964,1901,2102,2186,2202,2273,2186,2339,2180,1738
1974,1820,1806,1760,1823,1979,2069,2187,2311,2401,2385,1949,1863
1975,1898,1827,,1838,1968,2183,2138,,2458,2256,2021,1842
1976,1686,1777,1804,1857,1887,2115,2278,,2588,2275,2063,1680
1977,1749,1940,2132,2006,1951,2234,2204,2164,2374,2161,2100,1886
1978,1736,1877,1998,1887,1928,2148,2087,2146,2434,2398,2266,1938
1979,1807,2059,1965,2054,2079,2263,2210,2230,2529,2268,2039,1949
1980,1771,1957,1940,2072,2038,2137,2161,2265,2389,2226,2072,1769
1981,1840,1750,1990,1960,,,2200,,,2220,,1900
1982,1900,1790,1990,1920,,2060,,,2320,2240,,
1983,1880,,2040,1960,,2150,2240,2260,2400,2460,,
1984,1770,1920,1860,1940,2060,2140,2210,2230,2360,,2060,
1985,1730,1900,1940,1980,1960,,,2310,,,,
1986,1780,,,,2010,,,,,,,1880
1987,1730,,,2130,2150,,,2340,2340,,2220,1800
1988,1830,1880,2120,1940,2050,2210,2260,2310,2450,,2140,1880
1989,1820,1880,1940,1870,2030,2240,,2470,2350,,,2010
1990,1770,2140,2300,2160,2040,2160,2280,2460,2480,,2090,1940
1991,1890,,1850,1930,1950,2080,,2260,2450,2290,,
1992,1940,1930,2020,1880,2010,2170,2180,2270,2370,2220,2220,1860
1993,1900,1840,1920,1960,2030,2190,2180,2340,2410,2240,2020,1880
1994,,1870,1850,1990,1980,2150,2200,2280,2270,2280,2180,2040
1995,1890,2010,1850,1930,2040,2260,2330,,2470,2450,2340,2060
1996,1970,1980,,2030,2160,2100,,2400,2420,,,1960
1997,1930,2300,2150,2030,2160,,2250,2390,,2280,,2010
1998,,2190,2170,2060,2070,2200,2210,2310,2520,2460,2290,
1999,,1810,1840,2020,2100,,2340,2400,,2380,2150,
2000,1730,,,2080,2020,,,2400,,,,2000
2001,1930,1990,,,,2180,,,2570,,2180,2180
2002,2070,,,,2040,,,2330,2510,,,
2003,,1840,2020,,2160,2200,2310,,,,2100,2040
2004,1970,2030,2080,2030,,2190,2330,2470,,2370,,1920
2005,1830,,2010,2020,,2270,,,2540,,,2140
2006,,,2010,,2070,2250,,,,2390,2400,2020
2007,2010,,,2000,,2200,2220,,2430,,,1970
2008,1990,2060,2140,2100,2140,2250,2330,2420,2420,2350,2100,
2009,1830,,1910,,2020,2250,2380,2440,2620,,2270,2080
2010,2070,,2170,2100,,2250,2330,2460,2650,2410,,2130
2011,2000,1970,,,2140,2260,,2380,2430,2540,2090,2070
2012,1950,1950,2100,1980,2210,,,2530,2610,,2220,1970
2013,1930,1990,2080,2140,2210,,2350,,,2470,,
