1941,,,,,,,,3274,3051,2798,2480,2134
1942,2037,1963,2108,2316,2641,3007,3215,3199,3230,2804,2481,2100
1943,1852,2038,2195,2427,2690,2988,3259,3296,3187,2867,2259,1843
1944,1896,1884,2078,2292,2623,2891,3239,3307,3156,2940,2324,2096
1945,1874,2006,2045,2254,2718,2935,3256,3296,3187,2834,2350,2092
1946,1813,1849,1985,2383,2501,2942,3126,,3171,2771,2376,2032
1947,1811,2064,2210,2369,2694,3038,3305,3254,3182,2911,2298,2106
1948,1943,1771,2406,2860,2662,3397,,,,3039,2508,2432
1949,1523,1691,,2280,,2969,3282,3292,3140,2806,2478,2030
1950,1888,1966,2174,2492,2606,3014,3190,3282,3236,3018,2555,2215
1951,1926,1970,2080,2395,2584,2963,3291,3296,3301,3032,2506,2104
1952,2001,2059,1975,2282,2760,2943,3202,3313,3285,3058,2442,2028
1953,2097,2007,,2235,2250,2830,3161,3241,3136,2942,2463,1909
1954,1874,2082,2123,2509,2747,2984,3144,3166,3193,2953,2593,2107
1955,1654,1720,2138,2331,2528,2842,3009,3110,3140,2835,2231,1986
1956,1878,1786,2057,2190,2720,3042,3224,3266,3216,2846,2304,1926
1957,1939,2133,2056,2228,2452,2952,3280,3333,3168,2756,2235,2088
1958,1897,2096,2108,2371,2757,3089,3248,3274,3106,2822,2367,2167
1959,1976,1920,2179,2497,2568,3075,3215,3183,,,,
1960,,,,,,,3236,3242,3227,2828,2408,1875
1961,1909,1980,2111,2308,2623,3030,3155,3254,3096,2813,2161,1970
1962,,1852,1837,2496,2493,2806,3204,3327,3120,2785,2464,2022
1963,1727,1962,1988,2229,2575,2933,3230,3237,3227,3107,2495,2123
1964,1786,1812,1821,2213,2515,2808,3117,3128,3117,2834,2276,1973
1965,1846,1802,1870,2240,2598,2798,,,,,,
1967,,1884,2093,,2786,2930,3194,3301,3163,2747,2376,2012
1968,1886,2001,2075,2131,2609,2969,3131,3104,3111,2711,,1925
1969,1890,,,2408,2940,3125,3296,3319,3155,2734,2341,1985
1970,1728,1894,2084,2205,2575,2858,3128,3232,3108,2686,2138,1976
1971,1797,1854,2062,2113,2443,2818,3155,3142,,2751,2266,1875
1972,1818,1993,2246,2419,2572,2881,3217,3199,3143,2860,2215,2084
1973,1844,1948,1971,2120,2564,2753,3120,3239,3123,2765,2335,2001
1974,1835,1798,1978,2255,2485,2916,3147,3213,3055,2847,2245,1845
1975,1773,1750,1901,1935,2297,2745,3060,3144,3106,2708,2208,1887
1976,1850,1877,1958,2150,2512,2985,3130,3187,2951,2668,2296,2001
1977,1921,2103,1926,2235,,,,,,,,
1980,1874,2156,2111,2322,2474,3152,,,,2662,2190,
1981,,2053,1982,2293,2527,2982,3294,3300,3193,2860,2368,2022
1982,1825,,2072,2407,2472,2878,,,,,,
1985,,,,2397,2653,2940,3165,3267,3138,2723,2258,1888
1986,1963,,,2494,,2953,3126,,3015,2685,2347,1866
1987,1744,1832,1991,2336,2474,2830,3232,3191,3052,2880,2253,1842
1988,1580,,,,,,,,,,,
1989,,,,2471,2625,2902,3205,3239,,,,
1990,1837,1766,2040,2376,2637,3103,3127,3074,3063,2816,,1846
1991,1805,1965,2003,2318,2456,2769,3073,3222,3028,2870,2279,1844
1992,1786,1904,2036,2387,2728,3001,3168,3169,3093,2775,2241,1896
1993,1970,1835,2171,2410,2569,2922,3077,3195,2926,2716,2229,1898
1994,1930,1810,2119,2277,2523,2950,3238,3200,3193,2774,2269,1881
1995,1820,2034,2160,2250,2473,2876,3220,3191,3135,2760,2401,1947
1996,1856,2034,2140,2378,2685,3067,3228,3139,2908,2665,2325,1945
1997,1807,1921,2222,,,,,,,,,
1999,,,,,2588,2888,3061,3100,3071,2935,2528,1965
2000,2025,2039,2104,2456,2696,2821,3089,3066,2995,2639,2062,1982
2001,1770,1832,2044,2243,2705,2930,3071,3159,3104,2702,2421,1891
2002,1885,2033,2012,2361,2745,2896,3072,3215,3159,2659,2305,1865
2003,2055,2095,2100,2315,2690,3020,3190,3130,2987,2800,2412,1845
2004,1650,1730,2388,2380,2620,2980,3170,3280,3015,2695,2125,1910
