1949,2544,2574,2574,2454,2744,2734,2814,,,2714,2604,2544
1950,2554,2554,2594,2524,2754,2734,2704,2764,2714,2614,2664,
1951,2464,2524,2644,2654,2764,,2744,2844,2674,2824,2774,2704
1952,2674,2654,2674,,2844,2674,2764,2764,2674,2694,2747,2637
1953,2517,2557,2657,2707,2687,2807,2787,2857,2827,2717,2667,2577
1954,2547,2637,2547,2727,2727,2707,2757,2777,2697,2697,2627,2537
1955,2467,2417,2547,2587,2717,2717,2617,2707,2567,2667,2617,2487
1956,2427,2437,2537,2607,2727,2697,2727,2767,2657,2737,2657,
1957,2577,2597,2469,2559,2759,2769,2809,2829,2689,2759,2739,2639
1958,2379,2479,2599,2629,2769,2799,2729,2789,2669,2739,2539,2669
1959,2599,2629,2669,2789,2889,2749,2769,2799,2729,2669,2669,2559
1960,2579,2489,2509,2509,2669,2719,2739,2759,2669,2679,2669,2609
1961,2599,2579,2539,2579,2729,2719,2729,2819,2579,2789,2499,2549
1962,2569,2509,2439,2559,,2709,2789,2799,2699,2729,2689,2639
1963,2509,2509,,2629,2919,2829,2769,2889,2729,,,
1964,2639,2579,2579,2689,2699,2699,2719,2759,,2719,2489,2489
1965,2469,2469,2499,2679,2669,2759,2809,2819,2789,2739,2669,2609
1966,,2569,,,,2759,2769,2679,2629,2839,2649,2509
1967,2479,,2649,,2729,,2804,2764,,2794,2764,2544
1968,2594,2494,2484,2584,2654,,2864,2804,2734,2714,,2654
1969,,,2634,2684,,2834,2914,2624,2704,2724,2704,2574
1970,,2634,2624,2634,2654,2804,2774,2674,,2784,2624,2504
1971,2504,2464,2484,2574,2524,2764,,2574,2564,2704,2644,2544
1972,,2524,2584,,,2724,2804,,,,2774,2714
1973,2654,2639,2599,2600,2659,2799,2781,2756,2654,2658,2629,2519
1974,2487,2482,2505,2572,2666,2669,2723,2784,2666,2712,2620,2575
1975,2504,2521,2527,2620,2719,2714,,,,,,2475
1976,2754,2414,2474,2614,,2704,2814,,,,2584,
1977,2514,2544,2424,2494,2724,,2664,2794,2724,,,2504
1978,2514,2524,2544,,2634,2744,,2724,,,2624,
1979,2454,2544,2564,2604,2684,2744,2704,,2614,2664,2594,2584
1980,,2544,2574,2714,2794,2824,2764,2664,2674,2754,2644,2594
1981,2489,2583,2544,2644,2614,2724,2794,2719,2814,2789,2714,2649
1982,2544,2669,2619,2764,2824,,2794,2874,2734,2684,,
1983,2514,2434,2444,2564,2994,2894,2804,2844,2694,2734,2674,2584
1984,2524,2544,2614,,2784,,2674,2694,2574,2774,,2544
1985,2504,2454,2574,2464,2683,2779,2774,2699,2744,2704,2569,2508
1986,2469,2504,2399,2594,2689,2754,2819,2809,2824,2729,2764,2654
1988,2558,2554,2634,2594,2484,,,2784,,2784,2584,
1989,2544,2601,2413,2464,2732,2814,2827,2776,2624,2717,2694,2546
1990,2546,2637,2695,2773,,2794,2756,,2758,2748,2695,
1991,2515,2621,2519,2597,2755,2809,2869,2860,2732,2708,2687,2590
1992,2558,2456,,,2848,2920,2844,,2747,2690,2690,2651
1993,2619,2613,2547,2567,2628,2806,2762,2763,2715,2776,2716,2600
1994,2608,2603,2591,2632,2777,2865,2914,2832,2843,2793,2633,2741
1995,2613,,2643,2575,2743,2800,2881,2741,2793,2780,2707,
1996,2461,2493,2575,2653,2717,2800,2790,2774,2840,2714,2689,2592
1997,2457,2501,2606,2670,2806,,,,,,,
2000,,2493,2453,2493,2693,2773,2823,2793,2683,2783,2713,2653
2001,2603,2583,,,2643,2823,2853,2893,2653,2693,2673,2603
2002,2513,2603,2623,2763,2763,2838,2863,2852,2783,2863,2662,2633
2003,2618,2718,2418,2768,2743,2783,2733,2908,2853,2783,2783,2518
2004,2517,2508,2608,2733,2773,2833,2803,2687,,,,
2005,2622,2645,2417,,2698,2788,2783,2803,2788,,2628,2562
2006,,2573,2573,2748,2773,2825,2873,2938,2813,2723,2673,2563
2007,,2603,2583,2548,2723,2933,2883,2753,2813,,2773,
2008,2493,2393,2553,2610,2700,2815,2650,2785,2790,2690,2695,2495
2009,2610,2595,2560,2570,2820,2800,2920,2870,2865,2700,2560,2685
2010,2625,2570,2640,2700,2740,2833,2740,2699,2755,2750,2662,2480
2011,2470,2460,2560,2720,2880,2885,2750,2790,2760,2720,2640,2601
2012,2500,2550,2590,2430,2800,2780,2920,2780,,2770,2690,2670
2013,2580,2520,2590,2600,2650,2840,2800,2790,,2765,2730,2760
2014,2630,2570,2680,2780,2860,2800,2920,2860,2760,2730,2720,2660
2015,2600,2610,2670,2750,2920,2850,2890,2900,2750,2825,2845,2765
2016,2660,2665,2575,2655,2790,2815,2795,2835,2820,2875,2730,2705
2017,2600,2550,2620,2590,2780,2855,2910,2865,2825,2855,2810,2675
2018,2660,,2645,2730,2905,2855,2945,2880,2920,2783,2780,2705
2019,2690,2615,2710,2650,2775,2980,2935,2950,2915,2860,2840,2785
2020,2745,2720,2815,2740,2785,2920,2935,2890,2905,2900,2825,2695
2021,2650,2585,2690,2725,2900,2830,2900,2865,2865,2840,2790,2735
2022,2650,2705,2580,2695,2820,,2905,2875,2800,2815,2790,2665
2023,2620,2715,2714,,2990,3010,3124,2990,3133,,,
2024,,2717,,2725,2885,2940,3110,2980,3022,,2900,2775
2025,2728,2772,2718,2804,2975,2856,2972,2990,2879,2901,2916,2820
2026,2760,2740,2735,,2990,,3000,3015,,,,
