1972,2757,2717,2507,2007,2187,1817,1647,1877,2327,2537,2577,2587
1973,,2867,2667,2327,1917,1657,1447,1537,2067,2567,2557,2627
1974,2727,2557,2427,1987,1917,1767,1787,1867,2117,2337,2707,2727
1975,2777,2777,2547,2317,1897,1827,1567,1837,2177,2407,2657,2797
1976,2737,2597,2437,2137,1807,1707,1687,1797,2127,2577,2577,2717
1977,2717,2697,2627,2217,1797,1787,1997,1857,2407,2607,2647,2777
1978,2767,2647,2677,2197,1937,1837,2177,1777,2227,2637,2797,2797
1979,2707,2667,2507,1987,1907,1697,1797,2207,2077,2677,2587,2667
1980,2607,2727,2707,2367,2027,1637,1657,1937,2037,2497,2587,2807
1981,2647,2567,2527,2337,2247,,,,1987,2507,2607,2647
1982,2677,2630,2410,2220,1980,1790,1820,,,,,
1983,2740,,,,,,1490,1910,2090,2620,2560,2820
1984,2760,2830,2590,2000,2120,1420,1950,1640,2430,2770,2580,
1985,2680,2620,2590,2150,2130,1960,,,,2670,2700,
1986,,,,,2100,1930,1730,2090,2140,2430,2660,
1987,,2760,2600,,1680,1670,2040,1790,2100,2540,2820,2720
1988,2930,2600,2740,2170,1610,1600,1430,2020,,,,
1995,,,,,,,1809,2045,,,,2900
1996,2845,,,2230,1809,1655,1525,2289,,2470,,
1997,,,,2239,2070,1905,,2095,2495,,,2720
1998,,,,2150,1930,1855,,1780,2105,2535,2625,
1999,2510,2530,2539,1805,1850,1700,1720,1840,2530,2405,2460,2505
2000,2880,2695,2415,,,,,,,,,
2001,,,,,,1615,2045,2395,,,,
2003,,,,,,,,,2450,2780,,
2004,,,2750,,,,,2140,2520,,,
2005,2820,2780,2620,2190,,,,,,,2590,
2006,,2770,2630,,1760,2050,2030,2000,,2660,2660,
2007,2830,2830,2630,,,,,,2390,,,2820
2008,2810,2630,2460,2130,,1500,,2050,2060,,2640,2820
2009,2660,2770,,2480,2120,1620,1710,2060,2200,2610,,2790
2010,2780,2850,,2180,,,1640,1830,2250,2480,,2880
2011,2820,2850,,2270,1920,1700,1790,1990,,2620,,
2012,2770,2760,2760,2280,2030,1700,1510,2060,2540,,,2900
2013,,,2530,,2020,1820,1650,1740,,,,
