1934,,,,,,,,,2892,2272,1687,1282
1935,,,1767,1902,2807,3161,,,2772,,,1087
1936,922,1292,1531,,3047,3227,3267,3077,,,1612,1056
1937,,,1512,2102,2872,3342,3102,3211,2802,,,
1938,912,,,2227,3186,,,3152,,,,
1939,1081,1137,1322,1987,2822,3277,3252,3122,2922,2317,1697,
1940,1056,1282,1556,2092,2897,,,2972,2767,2372,1756,
1941,1067,1412,1981,2542,,,3327,3172,2782,2602,1831,
1942,977,,,2411,2852,3252,3132,,,2342,1881,1187
1943,,,1817,2122,2686,3232,3172,,,2352,1842,1392
1944,992,1177,1731,2192,,,3246,2892,2707,,1672,1247
1945,,1162,1667,2137,2797,3336,3232,2997,2932,2342,,
1946,1137,,,2717,,,3297,3042,2847,,,1067
1947,,,,2542,3022,3391,,,2922,2122,1837,1197
1948,1142,1222,1607,2347,3052,3127,3262,2942,2857,2397,1617,1167
1949,1077,1167,1672,2417,3037,3032,3187,3047,3002,2231,1567,
1950,1007,1062,1572,1972,2822,3277,3147,2942,2722,2292,,
1951,,,,,2706,3106,3212,,,,1842,
1952,1162,1362,1592,2462,2867,3291,3147,3032,2827,,,
1953,1012,1467,1972,2402,2872,3317,3216,3087,,,1737,1457
1954,911,1197,,,,,3247,3177,2942,2162,1692,
1955,,1477,1907,2232,2606,,,2992,2852,,,1177
1956,1092,,1667,2337,3252,3252,2967,2947,2852,2281,1622,1217
1957,967,1212,1642,1937,2517,3102,3239,3063,2782,2230,1628,1215
1958,1188,1354,1808,2456,2748,3242,,2974,2883,2349,1753,1246
1959,1037,1072,1782,2282,2757,3337,3081,3077,2912,,,1152
1960,1022,,,,,3372,3247,,2867,2352,1682,1227
1961,1092,1037,1717,2052,2872,3297,3237,3127,2983,,,1082
1962,1070,1344,1745,2291,2842,3301,3237,3082,2737,2272,1642,1112
1963,1077,1547,1662,2192,2581,3337,3342,3107,2831,2407,1717,1247
1964,797,1242,1832,2256,2792,3157,3092,3137,2857,2322,1612,1167
1965,1197,1132,1692,1926,2597,3197,3097,2967,2867,2427,1757,1052
1966,1201,1482,1656,2067,2787,3306,3206,3092,2747,2227,1627,1107
1967,1057,1387,1637,2092,2631,3237,3227,2997,2852,2147,1651,1172
1968,932,1072,1712,2252,2547,3306,3227,2922,2887,2212,1707,1177
1969,1072,1227,2012,2227,2622,3267,3252,3077,2822,2342,1747,1276
1970,1047,1326,1647,2497,3012,3367,3247,3092,2827,2437,1672,1251
1971,1026,1292,1912,2481,2917,3222,3117,3052,2752,2377,1762,1267
1972,1132,967,1751,2252,2806,3362,3272,3147,2817,2282,1801,1226
1973,977,1362,1672,2417,2956,,3197,3112,2902,2306,1787,1222
1974,1037,1092,1997,2572,2852,3212,3212,3157,2862,2292,1726,1107
1975,1062,1142,1607,2287,2872,3231,3117,2967,2862,2452,1657,
1976,1176,1217,1576,2252,2952,3197,3217,2847,2882,2392,1842,1237
1977,1007,1362,2127,2397,2752,3272,3102,3097,2912,2481,,1337
1978,1047,1297,1542,2422,3187,,2972,2997,2917,2447,1692,1317
1979,1162,1251,1587,2522,2591,3252,3247,2977,2747,2461,1872,1372
1980,1098,1214,,2534,2950,3147,,,,,1575,
1981,,,,,,3294,,,2794,,1571,
1982,,,,2280,,,,,,,1600,
1983,1021,1196,,1955,2753,3084,3142,,,,1534,1108
1984,954,1066,1973,2289,3086,3401,,,,2182,,1085
1985,1128,1464,1951,2457,2980,3397,3124,3043,2890,2245,1598,1141
1986,969,1302,1606,2279,2819,3324,,,2839,2364,,1123
1987,1272,1362,1703,2322,2562,3082,3302,3272,3066,2230,1782,1186
1988,1280,1462,1662,2522,3042,3222,3142,3082,2912,2352,1698,1200
1989,1016,1235,1708,2220,2995,3172,3202,2992,2866,2352,1683,1220
1990,1195,1247,1679,2267,3168,3331,3202,3042,2914,2195,1812,1142
1991,992,1141,1665,2053,2642,3192,3302,3152,2832,2223,1676,1312
1992,1065,1222,1622,2124,2523,3252,3123,3112,2782,2332,1722,1442
1993,1052,1436,1536,2412,3074,3212,3112,3252,2850,2312,1658,1402
1994,1232,1205,1901,2167,2855,3342,3082,3042,2610,2087,1782,1192
1995,1001,1290,1576,2032,2894,3413,3147,3006,2802,2226,1601,1032
1996,1037,1373,1832,2412,2802,3262,,3062,2982,2101,1682,1023
1997,932,1332,1732,2142,2602,3122,3244,3090,3002,2062,1652,1152
1998,1052,1232,1552,,2852,3105,3212,3049,2942,2402,1634,1022
1999,1094,1438,1749,2538,3082,3372,3282,3102,3022,2472,1802,1382
2000,1122,1222,1742,2662,3292,3302,3182,3102,2802,2422,1762,1362
2001,1102,1488,1962,,3202,3302,3112,3122,2842,2442,1742,1392
2002,1122,1272,1932,2542,3172,3272,3331,3012,2712,2377,1747,1302
2003,,1302,1782,2397,2782,3367,,3022,2882,2302,1672,1332
2004,1157,1447,2227,2592,3022,3182,3221,3052,2892,2172,1817,1387
2005,1007,1107,1822,2296,2592,3277,3147,3107,2942,2346,1761,1227
2006,1081,1757,2252,2499,3260,3207,3176,2962,2871,2462,1752,1182
2007,1182,1402,1732,2682,2902,3262,3132,3112,2832,2322,1702,1242
2008,912,1372,2152,2307,2952,3222,3102,2972,2792,2492,1762,1392
2009,1272,1462,1872,2242,2957,3152,3232,3142,2922,2372,1672,1282
2010,1262,1352,2187,2622,2962,3072,3167,2922,2822,2452,1742,1062
2011,1062,1282,1942,2374,3195,3352,3072,3023,2847,2398,1882,1249
2012,997,1130,1816,2297,2817,3291,3322,3118,2765,2320,1770,1322
2013,1106,1303,1909,2307,2927,3206,3154,3004,2904,2466,1680,1255
2014,1192,1313,1632,2264,2747,3359,3208,3076,2936,2312,1648,1163
2015,1160,1473,1748,2368,2871,3181,3110,2968,2808,2359,1689,1204
2016,1123,1510,1874,2377,3111,3308,3202,3051,3000,2498,1788,1380
2017,1120,1524,1889,2571,3108,3211,3145,3046,2837,2480,1647,1293
2018,1129,1481,2042,2434,2786,3287,3105,3112,2888,2223,1690,1132
2019,1035,1256,1698,2468,2778,3179,3285,3076,3038,2328,1669,1017
2020,986,1459,1704,2267,2836,3149,3294,3217,2835,2280,,1163
2021,1134,1571,,,,,,,,,,
2022,1047,1376,2269,2799,3044,3252,3065,3109,3002,2367,1617,1162
2023,1062,1614,1978,2382,2727,3187,3126,3155,2953,2272,1777,1189
2024,829,1354,,2208,3004,3191,3240,3034,3006,2502,1881,1174
2025,1291,1522,1903,2666,3005,3276,3130,,,,,
