1931,954,624,1469,,2533,2904,3164,3279,,,,
1932,1094,1079,1549,2279,2609,2999,3229,3033,,1944,1469,724
1933,634,944,1414,1994,2779,3179,3374,3233,2644,2039,1553,1299
1934,,,1449,2144,2433,3144,3324,3284,2569,1914,1374,1209
1935,,1003,1599,1803,2519,2834,3179,3119,2579,1953,1589,1019
1936,574,,,2124,2969,3183,3294,2989,2814,2234,1324,819
1937,,,1294,1978,2769,3184,3399,3189,2629,1964,1524,
1938,,1034,1634,2308,2983,3129,3209,3204,2594,2103,1259,1084
1939,899,1034,1159,1749,2534,3249,3184,3094,2724,2124,1624,1249
1940,1078,1119,1278,2089,2789,,,2944,2669,2269,1644,1054
1941,884,1384,1864,2259,2914,3174,3299,3174,2579,2414,1628,1249
1942,829,953,1724,2324,2764,3029,3294,2974,,2124,1774,819
1943,574,,1494,1983,2514,2959,3233,3104,2644,1969,1519,1394
1944,884,1029,1589,2234,2664,3134,3424,3149,2569,2114,1604,689
1945,613,1008,1744,2083,2619,3154,3264,3199,2764,2153,1669,924
1946,804,1219,1504,2574,2964,,3319,3119,,,1304,749
1947,929,1094,1549,2204,2689,3024,3244,3358,2739,2064,1819,
1948,,1054,1594,2314,2829,3069,3339,3099,2729,2108,1354,1038
1949,729,1034,1499,2324,2889,2894,3329,2999,2699,1789,1113,1013
1950,869,654,1359,1784,2658,3074,3383,3089,2504,2169,1229,
1951,904,859,1353,1919,2664,2844,3154,3004,2754,2514,1594,1249
1952,809,1259,1649,2399,2669,3219,3249,3044,2599,1989,1489,983
1953,904,1444,1769,2209,2744,3119,3394,3133,2684,1999,1599,1439
1954,938,1099,1444,1814,2579,3049,3179,3024,2714,1809,1509,1033
1955,829,,,,,,,,,,,
1957,663,888,1494,1839,2429,2924,3149,2994,2469,2028,,994
1958,999,1103,1828,2504,2558,3124,3274,3054,2764,2064,1244,1159
1959,738,944,1684,2244,2604,3104,3183,3294,2979,2354,1464,804
1960,,,1339,1853,2539,3199,3283,3199,2679,2049,1404,
1961,679,889,1664,1894,2719,3019,3324,3149,2799,1944,1309,1013
1962,744,,1544,2239,2679,2889,3254,3079,2469,1974,1209,799
1965,,,,,,,,,,2290,1570,920
1966,1100,1270,1500,1965,2635,3170,3159,3005,2560,2065,1014,964
1967,665,1215,1405,1935,2470,2955,3325,3059,2725,1985,1610,810
1968,705,690,1515,2080,2350,3165,3159,2995,2580,1845,1125,900
1970,,,,,,3130,,3240,2665,,,
1971,495,,,2284,2659,,,,,,,
