1984,,,2618,2643,2656,2595,2597,2599,2578,2602,2610,2622
1985,2538,2586,2590,2581,2604,2558,2492,2510,,2527,2581,2547
1986,2561,2567,2635,2652,2653,,2629,,2624,2600,2595,2572
1987,2523,2463,2507,2539,2558,2578,2608,2547,2669,2662,2692,2661
1988,2602,2609,2654,2649,2632,2552,,,,,,
1991,,,,,2626,2673,2594,2648,2651,2569,2628,2551
1992,2506,2524,2559,2645,2639,2678,2611,2661,2636,2635,2619,2577
1993,2536,2509,2539,2617,2665,2638,2617,2621,2619,2583,2627,2645
1994,2560,2575,2621,2638,2629,2610,2616,2594,2698,2698,,2610
1995,2569,2590,2604,2648,2664,2646,2611,2578,2608,,2705,2658
1996,2595,2478,2616,2655,2656,2642,2648,2604,2666,,2648,2588
1997,,2682,2744,,,2654,2641,2679,2674,2652,2675,2645
1998,2592,2590,2596,2720,2742,2684,2699,2705,2700,2653,2587,
1999,2492,2663,2655,2709,2686,2633,2628,2617,2641,2635,2689,2644
2000,2623,2624,2665,2710,2703,2674,2638,,,2672,2683,
2001,,,,2681,2710,,,,2660,2696,2712,2622
2002,2632,2626,2632,2635,2619,2672,2759,2693,2714,2667,2666,
2003,,2601,2581,2671,2686,2630,2554,2637,2633,,,
2004,,2601,,,,,,,,,,
2015,,,,,,,,2665,2669,2694,,2692
2016,2687,2715,2707,2699,,,,,,,,
