1959,2212,2287,2117,1766,1302,1416,1307,1407,1652,1722,2027,2132
1960,,,2122,1691,1427,1322,,,1712,1947,2092,2257
1961,2337,2267,2072,1757,1282,1322,1337,1447,1641,1597,2012,2072
1962,2282,2257,2082,1847,1517,1377,1412,1502,1542,1762,1907,2297
1963,2282,2271,1857,1602,,,1172,1512,1941,1887,2107,2227
1964,2252,2212,2192,1722,1572,1157,1347,1257,1491,1712,1866,2197
1965,2362,2296,2122,1771,1422,1037,1337,1527,1741,1616,1887,2096
1966,2392,2117,2237,1697,1516,1382,1252,1387,1472,1887,1997,2342
1967,2332,2287,2147,1687,1537,1227,1177,1487,1612,1827,2097,2272
1968,2347,2142,2077,,,,1027,,1467,1752,1987,2282
1969,2407,2371,2152,1602,1432,1177,1242,1542,1472,1772,1972,2272
1970,2432,2337,2242,1741,1562,1237,1157,1212,1517,1722,1877,2027
1971,2257,2277,2127,1697,1472,1377,1291,1132,1332,1637,1847,2107
1973,,,,,,,,1332,1462,1837,1927,2117
1974,2287,2227,1957,1866,1467,1382,1332,1266,1442,1757,1987,2172
1975,2222,2247,1977,1832,1472,1302,1252,1302,1517,1697,1957,2007
1976,2342,2257,1966,1872,1527,1287,1187,1222,1587,1671,1772,2227
1977,2387,,,1927,1347,1307,1262,,1462,,1947,2232
1978,2242,2332,2282,1641,1472,1216,1307,,1477,1557,2027,2132
1979,2237,2392,1966,1922,,1227,1157,,,,,
1980,,,,,,,,,1557,1832,1853,2237
1981,2228,2283,1938,1868,1573,1193,1213,1073,1432,1657,2038,2158
1982,2243,2308,2078,,1568,1353,1208,1318,1632,1838,1873,2243
1983,2462,2283,2208,2003,1457,1363,1158,1313,1582,1773,1928,2312
1984,2293,2403,,1848,1468,1298,1188,1328,1613,1732,1978,2098
1985,2373,2233,2023,1938,1449,1294,1223,1548,1614,1884,2184,1999
1986,2279,2194,2109,1894,1704,1369,1304,1364,1689,1794,1909,2264
1987,2289,2403,2169,1839,1709,1255,1160,1375,1455,1770,1935,2195
1988,2425,2470,2250,,1750,1310,1320,1585,1535,1740,2095,2105
1989,2375,2215,2205,1815,1485,1200,1220,1480,1575,1590,1820,2270
1990,2435,2210,1979,1870,1485,1250,1235,1410,1690,1695,1950,2225
1991,2409,2390,2245,2135,1660,1195,1275,1220,1640,1834,2105,2355
1992,2380,2445,2180,1935,1635,1365,1425,1285,1575,,,
