1901,,,2486,2840,2816,2881,2841,2846,2801,2671,2341,1901
1902,2156,1935,2596,2791,2866,2876,2751,2741,2636,,,1951
1903,1931,,,2891,,,2936,2756,2815,2666,2271,1776
1904,1876,2201,2616,2811,2840,2831,2691,2781,2751,2691,2356,1856
1905,1996,2261,2590,2771,2826,2801,2741,2796,2716,2721,2351,2376
1906,2371,2431,2441,3031,3181,2991,2831,2816,2781,2526,2315,2121
1907,2040,2271,2456,,2665,,2701,2711,2711,2686,2411,1881
1908,2121,2286,2461,2840,2731,2826,2786,2732,2772,2657,2282,2057
1912,2086,2152,2547,2747,2997,3061,2862,2787,2722,2567,2257,1977
1913,1952,2342,2561,2967,2867,2861,2782,2697,2777,2672,2286,2042
1914,,2312,2586,2802,2886,2827,2767,2752,2762,,,2147
1927,,,,,2847,2907,2782,2807,2752,2517,2302,2112
1928,2287,,2487,2647,2837,2747,2777,2772,2797,2382,2182,
1929,2132,2307,2292,2627,2797,2822,2661,2652,2712,2567,2242,2236
1930,2037,2147,2377,2752,2692,2777,2762,2692,2762,2597,2377,2117
1931,1977,2077,2667,2937,2967,2947,2782,2802,2732,2452,2302,
1932,2006,,,,2907,2832,2742,2722,2795,2630,2420,1954
1933,2140,2420,2580,2825,2800,2860,2730,2709,2760,2580,2185,2004
1934,1934,2120,2525,2830,2950,2840,2730,2740,2800,2530,2370,1850
1935,2180,2275,2620,2705,2795,2840,2800,2709,2705,2695,2400,2260
1936,1975,2160,2460,2770,2845,2860,2780,2809,,2405,2315,2185
1937,2080,2240,2450,,,2870,2784,2735,2805,2605,2480,2135
1938,1975,2255,2415,2755,2750,2800,2710,2695,2760,2560,2115,2115
1939,2070,2295,2550,2725,2865,2835,2705,2745,2750,2625,2534,1754
1940,1854,2375,2500,2795,2815,2850,2780,2780,2790,2665,,
1943,2009,2085,2475,2670,2825,2790,2690,,2680,2570,2330,1904
1944,2080,2245,2540,2670,2795,2750,2730,2705,2720,2635,2245,1875
1949,1825,2195,2585,2750,2840,2890,2745,2830,2765,2640,2430,2180
1950,2020,2150,2610,2840,2895,2845,2760,2720,2820,2659,2420,1895
1951,2060,2215,2585,2765,2780,2715,2750,2700,2735,2580,2450,2065
1952,2190,2420,2580,2690,2950,2860,2725,2765,2710,2645,2450,1915
1953,2180,2335,2570,2745,2855,2859,2795,2745,2740,2735,2405,2090
1954,2370,2310,2495,2765,2790,2795,2820,2725,2740,2605,2435,2040
