1965,-163,-33,532,802,1412,1787,2092,2192,1782,831,512,272
1966,412,437,632,1151,1412,1832,2217,2267,1747,1407,986,332
1967,-212,-422,206,822,1482,1557,1842,1967,1647,1222,432,87
1968,-343,-92,322,1176,1682,1701,2132,2092,1862,1297,822,122
1969,-33,56,527,747,1551,2042,1917,2167,1701,1132,552,332
1970,172,267,667,1292,1467,1751,2212,1932,1682,1037,772,-12
1971,197,52,572,922,1552,1667,2192,2042,2012,1026,552,-258
1972,-813,-293,301,1237,1347,1792,2302,2287,1807,1487,451,-228
1973,-303,327,357,936,1487,1647,2102,2082,1787,1282,206,-83
1974,-542,-137,572,717,1572,1982,2022,2047,1651,1676,662,92
1975,-388,-173,452,1322,1452,1997,2222,2107,1732,1151,592,-258
1976,-393,-538,177,1032,1342,1722,1951,2052,1722,1267,752,157
1977,-253,527,426,1072,1437,1767,1997,2132,1832,907,722,-183
1978,-93,317,602,867,1372,1617,2157,1932,1876,1382,327,252
1979,22,307,622,1037,1562,1807,1897,2427,1922,1197,786,-118
1980,-428,-123,367,922,1472,1901,2372,2032,1682,1207,717,187
1981,76,257,627,847,1182,1776,2252,2107,1982,1432,457,482
1982,-68,-98,227,1162,1477,1707,1857,1967,1726,1147,362,42
1983,-313,36,372,1032,1451,1672,2092,1917,1667,1117,737,212
1984,197,297,617,897,1342,1701,2012,1707,1876,1162,622,27
1985,162,-228,122,1097,1572,1751,1762,2256,1631,986,822,67
1986,-28,102,437,1167,1102,1707,2106,2247,1931,1197,287,-57
1987,11,142,37,727,1497,1742,2062,1992,1587,1057,457,36
1988,-280,-20,340,979,1410,1694,2065,2080,1669,1265,155,249
1989,-535,-320,680,1444,1495,1885,2130,2315,1785,1185,590,-210
1990,-335,-105,445,910,1365,1735,2160,1950,1774,1230,740,320
2002,,,,865,1404,1850,2217,2096,1817,1284,735,-216
2003,263,-46,66,943,1589,1761,2133,2161,1622,1329,599,218
2004,-35,45,547,927,1329,1800,2178,2216,1694,1277,557,-122
2005,-55,1,385,1095,1614,1834,2381,2496,1784,986,620,260
2006,-205,183,656,1103,1518,2323,2172,2628,1685,1295,455,-185
2007,-125,45,425,605,1795,1885,2202,2225,1925,1355,437,-15
2008,-545,-375,875,1225,1235,1725,2075,2215,1775,1255,725,-5
2009,45,385,445,845,1355,1875,2025,1927,1545,1365,535,485
2010,265,495,695,965,1505,2005,2295,2467,2025,1255,855,595
2011,85,5,435,895,1325,1705,2225,2055,1675,1115,155,145
2012,-85,-345,95,1195,1515,1935,2135,2238,1961,1365,795,306
2013,-25,325,625,1105,1774,1835,1931,2079,1612,1029,728,-333
2014,146,346,745,1289,1515,1853,2237,2395,1898,1298,550,529
2015,-45,265,595,808,1370,1450,2190,1650,2190,1330,660,-115
2016,-175,365,560,1160,1415,1895,2120,2400,1595,1235,525,-350
2017,-185,-60,590,950,1425,1835,2250,2505,2135,1175,590,345
2018,200,555,865,1205,1645,1985,2255,2225,1905,1480,670,230
2019,5,265,420,875,1655,2185,2110,2235,1800,1565,715,335
2020,-40,40,750,885,1375,1995,2320,2125,2170,1645,610,270
2021,235,100,370,1175,1635,1985,2305,2275,1645,1185,755,260
2022,-235,275,65,1205,1235,1975,2010,2505,1905,1310,805,385
2023,160,-65,765,975,1415,1875,2045,2475,1965,1410,905,455
2024,135,395,585,1520,1360,2085,2190,2305,1910,1205,550,155
2025,180,-225,675,985,1525,1735,2310,2330,1790,1295,935,230
2026,-160,460,440,800,1280,1840,,,,,,
