1936,1954,2044,2059,2014,2049,1959,1914,1989,1999,2049,2049,1974
1937,2019,2024,2059,2054,2024,2009,1974,1974,2014,2049,2014,2029
1938,2069,2099,2024,2044,2029,2029,1924,1984,2039,2074,2014,2049
1946,2081,2164,2069,2014,2036,1911,1958,1878,1989,2053,2033,2036
1947,2036,2008,2033,1975,2022,2022,1983,1964,2000,2061,2122,2008
1948,2042,2083,2081,2067,2072,1975,1964,1936,1972,2006,2069,2033
1949,2100,2042,2111,2053,2006,1914,1856,1994,1983,2000,,
1950,,,2036,2044,1978,2039,1900,1944,1953,2019,2067,2022
1955,2045,2065,,2070,2029,1973,1995,2001,1954,2045,2020,1973
1956,1976,2026,2065,1987,,,1917,,1962,2012,2034,1984
1957,2009,2020,1995,2006,2045,2006,1926,1934,2045,2087,2120,2079
1958,2162,2120,,2120,2070,2006,1926,1990,,2070,2112,2077
1959,2130,2080,2077,2114,2094,2016,1944,1952,2002,2044,2058,2039
1960,2033,2047,1952,2027,2016,1941,1936,2027,1989,2027,2041,2089
1961,2112,1992,2087,2077,2067,2002,1937,1972,1992,2022,2002,1967
1962,2007,2077,2007,2027,2002,1987,1927,1917,1987,2022,2052,1992
1964,2067,2062,2047,2022,2032,1987,1907,1947,1992,2037,2057,1977
1965,1997,2001,2031,2046,2041,1956,1926,1956,1986,1996,1981,1956
1966,1991,2086,2056,2056,2041,1971,1951,1991,2026,2021,2036,2011
1967,1996,2036,2021,2041,1991,1971,1971,1936,2001,2026,2036,2051
1968,2056,2031,1996,2051,1986,1986,1941,1986,2031,2071,2051,2016
1969,2021,2046,2086,2096,2056,2036,1876,1911,1986,2131,2096,2066
1970,2051,2096,2071,2131,2061,2001,,1936,,,,
1971,,,2086,2031,2011,1961,1921,1941,1951,2001,2061,1981
1972,2056,2021,2041,2091,2056,2026,1996,2006,2011,2061,2076,2091
1973,2101,2191,2171,2136,2061,2031,1971,2001,2056,2106,2066,2011
1974,2021,2071,2056,2046,2006,1986,1916,2001,1991,2026,2031,2071
1979,2126,2101,2071,,,2031,,2146,,,,
1980,,,2156,,,2091,,,,,,
1981,,2156,2121,2156,2116,,,,,2221,,2142
1982,1887,2142,2157,2107,,2082,2032,2002,2147,2037,2062,
1983,,2187,2217,2187,2202,2157,2067,2052,2067,2032,2052,2032
1985,,,,2047,,,,,,,,
1986,,,,,2107,2022,2112,2052,2097,2132,2062,2027
1987,2042,2022,2082,2132,2167,2047,2127,1987,2047,2022,2032,2115
1988,1987,1990,2075,2070,2115,2082,2020,2052,2047,2057,2070,2025
1989,1980,1977,2010,2067,2047,2047,2032,2032,2027,2012,2047,
1990,1992,2077,2037,2077,2047,2077,2057,2062,,2107,2122,2052
1991,1957,2057,2097,2007,1977,2042,1947,1972,2072,1952,2062,2052
1992,2087,2052,2132,2052,1977,2027,1947,2012,2037,1977,,
1993,,,,,,,1947,1982,,,,
1994,,,2017,2022,,,,1952,,,,
1995,,2062,2132,2137,2117,,2057,,,,,
1996,,,,,2082,,2042,2082,2077,2107,,2042
1997,,,2167,,,,,,2202,2192,2112,2057
1998,,2242,2217,2175,2185,2120,2045,2040,1980,,2130,
1999,2040,2100,,,,,,2025,,1880,,1915
2000,1825,1975,,,,,,,,,,2045
2001,2085,2190,2155,2155,,2085,2050,,,,,
2002,,,,2070,2120,2090,2125,2085,2130,2100,2045,2035
2003,,,,,2130,2045,1960,,,,,2055
2004,2160,2165,2150,2105,2130,2030,1975,2060,2055,2235,2165,2120
2008,,,,,,,,,,,2197,
2009,,2207,,,,,2137,,2206,,,
2010,,,,,,,,,,,2245,2154
2011,,,,,,,,,,2182,2178,
2012,,2247,,,,,,,,,2183,2178
2013,,,2227,,2222,,,,,,2184,2191
