1975,,,,,,,,,,,517,
1976,483,403,,,,,,,,,558,
1977,,,633,,,,1520,1471,,,,
1978,278,,,,1084,,,,,,733,372
1979,,,,741,998,,,,1322,1035,646,570
1980,197,530,442,798,,1366,1449,1596,1453,852,,439
1981,,,,655,1060,1284,1569,1637,1442,768,648,
1982,233,413,547,802,1084,1519,1580,1566,1410,959,728,347
1983,599,121,571,603,955,1363,1889,1701,1339,1000,686,470
1984,317,274,408,701,876,1401,1623,1746,1312,1078,760,444
1985,26,61,409,749,1020,1206,1596,1434,1468,1088,350,640
1986,289,-258,453,,,,,,,,,
1987,,,,976,,1200,1562,1527,1336,932,593,541
1988,501,416,,737,1121,1322,1442,1506,1316,1035,466,694
1989,533,534,701,564,1241,1398,1773,1687,1507,1181,552,495
1990,631,702,776,715,1194,1319,1646,1830,1307,1180,667,407
1991,310,174,,735,1000,1166,1669,1696,1402,944,623,376
1992,316,518,667,812,1300,1496,1637,1559,1307,744,715,283
1993,608,391,608,,1090,1468,,1420,1189,808,406,509
1994,505,282,728,801,1056,,,1646,1278,971,955,584
1995,444,597,,849,1135,,1894,1900,1325,1253,,
1998,,,721,,,1389,1553,,,,,
1999,515,438,680,918,1255,1342,1757,1595,,1034,,
2000,474,585,682,,1160,1504,1537,1691,1505,1027,,
2001,325,445,513,753,1207,1399,,,,,706,
2002,,706,,,,,1645,,1379,,764,497
2003,412,,,992,1214,1615,1771,,1485,877,836,453
2004,480,,638,934,1203,1560,1636,1771,1485,1041,733,482
2005,566,372,662,892,1101,1521,1654,1627,1523,1318,576,386
2006,314,363,406,837,1216,1585,2008,1607,1706,1283,802,646
2007,696,582,707,1097,1155,1478,1556,1597,1410,1074,675,477
2008,652,478,577,777,1260,1420,1643,1627,1324,921,681,338
2009,252,324,662,,1227,1453,1628,1691,1434,1115,850,292
2010,120,271,609,909,1059,,1791,1567,1396,1030,469,-50
2011,384,616,652,1152,1243,1459,1550,1567,1536,1292,929,559
2012,529,330,780,697,1163,,1562,1667,1321,954,634,463
2013,276,266,216,792,1038,1346,1835,1710,1367,1233,636,602
