1951,,,,,,1454,1620,1549,1478,977,807,520
1952,279,258,544,865,1213,1450,1673,1662,1129,887,404,238
1953,242,357,454,689,1184,1393,1588,1624,1370,1060,789,700
1954,235,177,542,662,1098,1370,1455,1501,1272,1188,717,579
1955,168,141,266,856,925,1334,1603,1695,1393,926,738,573
1956,336,-159,489,505,1168,1248,1577,1370,1407,900,549,575
1958,,466,321,671,1101,1287,1558,,,,660,488
1959,192,366,642,882,1099,1455,1705,1739,1535,1244,666,568
1960,328,390,566,800,1166,1488,1480,1489,1345,1053,745,379
1961,335,616,775,964,1042,1477,1584,1580,1513,1096,667,328
1962,385,340,191,640,1003,1331,1444,1631,1217,1040,559,176
1963,,-87,618,788,967,1440,1475,1443,1272,1041,808,274
1964,158,344,354,805,1300,1354,1597,1549,1411,848,747,375
1965,347,286,473,730,1105,1356,1418,1537,1234,1101,476,425
1966,279,533,571,717,1067,1542,1471,1442,1390,1127,593,455
1967,361,568,724,661,1082,1357,1722,1613,1467,1202,640,434
