1973,-474,42,,906,,,,,,,,
1974,,94,,,,1750,,1992,1532,,,
1975,,,,,,,2082,,1674,913,220,-100
1976,,-639,54,934,1323,1799,1935,1669,1436,,,101
1977,-361,,,792,,,,,,,672,-268
1978,-437,,411,789,1283,1818,1878,1783,1461,962,377,-154
1979,,,418,770,1672,,1966,,,,,
1980,,,,,1234,1771,1965,1825,1374,,,
1981,-212,,,,,1987,,1933,1516,1199,,186
1984,,,172,779,1475,1753,1858,1824,1666,,,
1985,-588,-981,-116,1023,1631,1692,1882,2043,,817,277,
1986,28,-425,169,1052,,,1928,,,864,,
1987,,,,,1290,,,1835,1659,760,584,-205
1988,-185,-138,337,789,1448,1794,2184,2041,1542,,-108,-112
1989,-45,,,1104,1422,,,,1455,1035,323,
1990,-219,341,775,,1384,1876,2091,2023,1484,992,718,82
1991,-149,-301,229,873,1288,1825,2159,1996,1575,1092,380,-304
1992,,-171,413,925,1318,,2001,2341,1471,1071,485,-268
1993,-104,-178,87,740,1574,1870,1901,,,,,
1994,162,-180,,,1595,,2211,2116,1993,,,
1995,-238,383,440,,,2000,,,,,-29,
1996,,,,,,,,1993,,1002,,
2000,-446,,421,1192,1490,1892,2150,2135,1456,943,899,149
2001,48,57,545,946,1430,1761,2432,2280,1628,1117,335,-546
2002,,312,593,858,1616,2061,2469,2112,1605,989,635,-702
2003,-290,-575,93,790,1780,1970,2095,2212,1494,936,578,83
2004,-363,-49,546,959,,,,,1567,1152,579,205
2005,,-206,203,896,,,2216,,,921,460,145
2006,-661,-380,301,877,1454,1887,2104,2158,1592,997,555,255
2007,360,123,478,841,,2072,,,,,258,86
2008,,,,,,,2158,,,,557,252
2009,-295,,,706,,,,,,,,
