1902,,,,,,,,,,1415,347,-362
1903,-232,,,953,1810,2371,2453,2445,1777,1254,178,-137
1904,-115,-73,336,1295,1653,2157,2475,2673,2060,1332,669,-1
1905,-197,-65,936,,,2013,2645,2431,,,,-254
1906,-269,292,552,1472,1665,,,,1991,,,
1907,,,,,2015,1947,,,,,,
1908,251,144,710,1248,1517,1921,2618,2390,1976,1149,649,-92
1909,-800,178,731,961,,,,2335,2005,1190,,-517
1910,-411,-218,985,1367,1891,1996,2581,2250,1810,1303,363,-1
1911,,-72,782,1151,1464,2142,2573,2383,1686,1204,208,-159
1912,-490,210,563,1178,1747,2262,2391,2111,1700,934,497,-1
1913,-580,-314,392,1172,1594,2058,2357,2407,1788,1015,496,-30
1914,-30,-26,802,1275,1745,1931,2596,2519,1661,1234,474,-439
1915,-455,196,913,1463,1555,2056,2509,,1807,1262,208,-113
1916,-911,-166,586,1205,1448,1951,2166,2460,1836,1213,,-427
1917,-415,-158,255,853,1542,1874,2585,2605,1978,1380,613,88
1918,3,-21,635,1290,1532,2253,2454,2217,2201,1282,416,35
1919,-214,-29,653,1228,1595,1951,2574,2478,1823,998,172,-641
1920,-333,161,674,1002,1525,1962,2626,2446,1795,1044,426,-4
1921,-181,21,674,1018,1675,2077,2434,2438,1621,1291,,-159
1922,-817,-468,378,1045,1544,2406,2683,2481,2026,1337,309,-579
1923,26,-258,679,1257,1668,1990,2596,2589,2087,1187,430,9
1924,-542,452,741,1192,2005,2181,2531,2383,1899,1188,326,
1925,-156,496,855,1360,1787,2143,2638,2307,1826,1089,304,324
1926,-27,550,1064,1501,1592,2282,2644,2329,1504,1161,538,-226
1927,-337,201,689,1073,1460,2042,2363,2286,1643,1121,417,-422
1928,-204,276,843,1006,1907,2080,2591,2276,1870,1151,454,-125
1929,-814,-600,852,1067,1681,1963,2290,2444,1720,1290,251,0
1930,,304,956,1473,1638,1896,2465,2417,1854,1043,329,19
1931,-28,214,789,1289,1865,2006,2463,2340,1773,1199,295,-348
1932,-493,-83,726,1368,1638,2190,,2242,1894,1200,534,-133
1933,-60,-275,692,1280,1442,2031,2413,2365,1648,1310,589,305
1934,240,576,1047,1551,1726,2133,2369,2392,1699,1330,695,162
1935,-195,387,629,1125,1712,2008,2332,2168,1999,1101,249,51
1936,30,-668,699,1477,1956,2087,2444,2398,1870,1443,242,193
1937,-988,-246,843,1160,1708,2017,2547,2136,1978,1422,624,295
1938,96,121,744,1328,1741,2190,2575,2264,2179,1271,339,70
1939,153,87,798,1384,1804,1989,2458,2466,1998,1300,506,315
1940,24,349,1021,1324,1869,2295,2470,2416,2143,1369,,
1942,,,,,1574,1916,2535,2607,,1325,290,-106
1943,-544,220,624,1362,1521,1929,2542,2349,2198,1255,495,36
1944,-161,250,610,1192,1757,,,,,,,
1946,,170,768,1224,1854,1950,2496,2444,1841,974,119,49
1947,-328,275,966,1337,2065,2012,2400,2325,1960,1205,544,94
1948,-186,-65,,,,2263,2293,2263,1869,1179,413,-447
1949,-1076,-194,786,1348,1953,2117,2427,2398,2024,1070,832,105
1950,-1139,-18,609,1029,1601,2000,2500,2535,2057,1096,479,228
1951,-49,217,463,1333,1705,2103,2525,2456,1973,1167,417,-310
1952,-554,155,693,1373,1801,2119,2605,2418,2141,1597,239,142
1953,340,538,790,1087,1555,1814,2503,2392,2002,1387,631,345
1954,-251,380,580,1100,1832,1929,2377,2251,1866,1091,754,52
1955,-124,127,401,901,1472,2163,2320,2478,1948,1201,-5,-353
1956,-177,-409,578,1421,1929,1913,2638,2463,1945,1170,272,30
1957,-811,-16,658,1337,1950,2164,2363,2311,2183,1105,441,278
1958,166,686,688,1158,2142,2485,2770,2724,1860,1302,379,102
1959,-62,145,758,1331,1482,2080,2593,2274,1751,1189,273,90
1960,-385,303,730,1163,1505,2130,2749,2255,2007,1314,481,-97
1961,78,543,794,1189,1662,2392,2724,2748,1862,1143,,
