1990,,,,,,,1647,1361,637,,,
1991,,,-737,260,929,1445,1408,1117,762,,,
1992,,-1829,-776,-160,464,1359,1478,1196,-141,-768,-1345,
1993,,,,,,1336,1620,1284,647,-206,-1459,-1884
1994,-2020,-2151,-838,295,,1355,1568,1543,500,-560,-1840,-2407
1995,-2188,-1397,-1289,331,1056,1451,1443,1183,947,-343,-1846,-2169
1996,-2957,-1621,-851,102,775,1275,1510,1069,462,-1022,-1927,-2471
1997,,,,,,1402,1655,1315,885,-831,-1380,-1826
1998,-2489,-1314,-670,307,895,1431,1532,,671,-510,-1633,-2314
1999,-2570,-2208,-915,14,603,1426,1508,1353,631,-483,-1781,-2063
2000,-2237,-930,-494,22,556,1368,1479,951,352,-555,-1398,-1989
2001,,-1314,-850,167,581,1441,1435,1427,692,-580,-1797,-2504
2002,,,,-282,806,1276,1492,1190,685,-100,-1028,
2003,-2020,,-1049,87,745,1296,1641,1269,384,-34,-1555,
2004,,,,,,1771,1634,1552,242,-391,-1464,-1895
2005,,-1632,-525,272,1117,1411,1321,1398,741,-363,-1798,
2006,,-1315,-1325,-51,794,1320,1495,1144,760,-179,-2434,
2007,,-1603,-1498,137,835,1534,1579,1476,589,-578,-1241,
2008,,,-564,50,816,1273,1254,1010,669,-675,-1667,
2009,,,,,877,1309,1737,,,,,
2010,,,-87,136,1064,1281,1495,1437,638,-425,-1055,-2522
2011,-2147,,-1316,126,968,1328,1461,994,738,-407,-2104,-1513
2012,-2861,-1295,-1152,379,670,1313,1384,1278,714,-636,-2130,-2789
2013,-1921,-1491,-1030,-574,698,1591,1582,1435,512,20,-1641,-2220
2014,-1348,-1855,-883,128,972,1146,1472,1326,616,-465,,
2015,,,,,,,1519,1078,520,-125,-1371,-2026
2016,,,,,,1461,1612,1455,777,-545,-1466,
2017,-2000,-1434,-1467,298,873,1407,1605,1370,812,-296,-1675,
2019,-2158,,-195,189,1052,1493,1636,1196,848,-259,-1191,
2020,-2761,-1829,-1170,15,970,1181,1397,1183,697,-443,-1734,-1773
2021,-1709,-2018,-1154,-191,837,1438,1637,1263,478,-482,-1861,-1942
2022,-2153,-1499,-839,-156,693,1484,1543,1272,746,-372,-1410,-2192
2023,-1713,-1572,-993,-335,841,1422,1759,1531,596,-364,-1163,
2024,,,-603,210,777,1494,1525,1298,701,,,
2025,,,,290,727,1380,1570,1366,843,,,
2026,,,,252,713,1386,,,,,,
