2003,1252,1044,1286,1155,1606,1806,2100,2018,2034,1858,1092,1005
2004,929,1018,1526,1457,1607,1754,1928,2009,1999,1594,1118,1006
2005,947,1190,1317,1254,1644,1672,2041,2022,1788,1652,1417,1104
2006,1025,1127,959,1286,1623,1906,,1884,1833,1622,1297,951
2007,826,1062,1382,1331,1567,1775,1960,2023,1836,1572,1330,847
2009,,,,,,1774,1978,2029,2075,1598,1195,
2010,1048,1153,1166,1212,1404,1761,1790,1841,1973,1701,1172,1060
2011,1024,958,1196,1272,1370,1663,1906,1841,1993,1726,1140,889
2012,1019,1110,1165,1367,1571,1768,1855,2036,1884,1751,1372,934
2013,868,977,1363,1550,1698,1925,1946,,,,,
2017,,1194,1371,1463,1684,1963,2095,2131,2122,1775,1405,1051
2018,1218,1134,1235,1440,1577,1849,2162,2044,1865,1778,1436,1062
2019,1159,926,1244,1535,1507,1883,1981,2155,2081,1718,1356,1143
2020,1035,1185,1203,1465,1779,1949,1931,2261,2184,2019,1255,1052
2021,1106,1151,1145,1422,1621,1930,2012,2033,2019,1692,1471,954
2022,1103,1165,1373,1474,1649,2101,2041,2123,2294,1740,1128,970
2023,1028,914,1085,1372,1534,1664,2095,2129,1896,1869,1443,1187
2024,1118,1179,1283,1428,1570,1916,2225,2150,2063,1993,1247,1192
2025,986,1200,1236,1405,1694,1786,1893,2148,2128,1732,1427,1152
2026,1203,1336,1813,1532,1726,1893,2107,,,,,
