1998,,,,,736,1391,2043,2106,1547,828,461,74
1999,286,228,468,496,1113,1561,2021,1785,1627,1246,767,209
2000,278,383,527,930,1274,1785,1950,2003,1523,946,278,335
2001,24,38,685,589,1547,1788,1999,2210,1761,1341,584,143
2002,84,406,361,824,1135,1739,2223,1963,1655,971,512,151
2003,634,152,616,454,1198,1766,2254,2016,1746,1388,330,195
2004,147,118,901,904,1250,1726,2138,2002,1622,891,336,265
2005,212,310,540,656,1164,1380,2266,2059,1412,1082,650,326
2006,231,264,166,720,1291,1839,2255,1966,1598,938,636,154
2007,-84,329,763,893,1334,1751,2265,2152,1462,957,645,95
2008,-19,251,517,733,1142,1637,2141,2157,1696,1039,666,115
2009,259,203,380,718,1418,1448,2166,1935,1814,910,565,-17
2010,248,392,423,519,789,1637,2117,1896,1726,1085,398,368
2011,329,71,473,639,863,1424,1937,1982,1819,1156,481,114
2012,411,258,487,853,1263,1672,2113,2208,1887,1212,647,94
2013,-59,207,716,903,1183,1821,2202,1906,1614,921,585,92
2014,425,520,611,866,1236,1741,2208,1929,1738,1294,675,294
2015,455,662,832,767,1117,1908,1909,2043,1821,1282,239,78
2016,202,522,641,872,1098,1876,2106,2107,1635,1090,680,196
2017,-25,270,658,701,1220,1782,2237,2146,1499,1017,779,337
2018,505,128,309,843,1228,1777,2300,2078,1708,975,528,117
2019,246,-145,331,903,1006,1662,2024,2127,1508,823,612,207
2020,368,402,333,842,1261,1623,2087,2234,1858,1330,504,256
2021,270,304,388,884,1238,2017,2349,,,,,
2023,,,93,728,1138,1445,2249,1968,1555,1103,483,406
2024,321,223,386,786,1182,1970,2312,1992,1740,1299,368,458
2025,184,424,475,844,1314,1836,2048,2051,1716,1052,839,586
2026,349,479,1102,738,1265,1853,2181,2277,,,,
