2001,,,,,,,,,2277,1739,828,356
2002,402,773,782,1243,1564,2208,2741,2549,2331,1660,1108,
2003,,,935,698,1583,2325,,2427,2405,1882,596,446
2004,491,506,1341,1370,1653,2233,2633,2567,2148,1394,855,627
2005,659,800,1026,1025,1470,1725,2725,2668,2072,1511,888,584
2006,432,736,308,941,1753,2273,2788,2519,2280,1543,719,504
2007,597,644,1204,1307,1821,2148,2603,2526,2004,1244,1023,314
2008,245,,,,,,,,,,,
2010,558,662,764,805,1151,1927,2628,2411,2206,1498,769,
2011,,538,513,875,1170,1803,2352,2581,2497,1486,709,
2012,597,679,588,1054,1687,1886,,2720,2520,1610,938,387
2013,672,698,1022,1314,1656,2176,2722,2471,,,,
2014,1013,714,923,1297,1756,2204,2750,2537,2223,1638,974,591
2015,970,1051,1300,1281,1657,2518,2549,2494,2199,1852,751,317
2016,420,1006,872,1359,1599,2174,2511,2662,2180,1248,904,386
2017,321,569,906,954,1736,2407,2877,2832,2206,1603,785,819
2018,738,721,673,1146,1744,2197,2791,2539,2200,1650,1116,508
2019,700,174,704,1292,1485,2233,2526,2571,1960,1408,1250,485
2020,,944,746,1349,1567,2076,2626,2769,2566,2091,910,612
2021,507,641,753,1449,1814,2446,2859,2632,2244,1295,1028,447
2022,819,944,1106,1009,1439,2070,2658,2763,2340,1959,611,373
2023,382,476,368,1103,1639,2011,2710,2520,1927,1648,1013,718
2024,502,538,721,1180,1696,2394,2939,2453,2319,1758,628,688
2025,734,576,810,1501,1850,2362,2546,2685,2230,1313,1094,915
2026,909,787,1560,1150,1725,2236,2642,2706,,,,
