1990,,,,,,,,,,1333,707,
1991,,772,,,,,,2004,2262,1638,834,577
1992,,,,,,,1981,2276,1874,1415,656,
1994,,,,,,,2321,2034,1888,1192,,
1995,,,,,,,,,,1396,,
1996,,,,,,,,,1771,1147,,
1997,,,,,1534,1461,2046,1981,1719,1065,,
1999,,,,,,,,,,,617,519
2000,211,,,,1125,1910,1832,2088,1804,1075,409,568
2001,,,,,,,,2151,1900,1494,517,
2002,,583,464,878,1151,1779,2272,2158,1911,1445,871,
2003,759,463,649,321,1178,1921,2279,1972,2058,1537,290,103
2004,,241,956,988,1206,1719,2164,2090,1761,1096,636,469
2005,373,479,687,623,1049,1266,2301,2250,1667,1167,733,363
2006,209,505,41,658,1372,1850,2325,2087,1888,1293,485,353
2007,413,326,892,876,1410,1671,2153,2136,1649,979,924,145
2008,90,553,513,721,1279,1687,2129,2138,2036,1307,874,255
2009,753,239,487,815,1436,1556,2282,2084,1988,1076,615,213
2010,321,422,459,518,765,1513,2238,2023,1839,1230,525,129
2011,620,321,290,558,814,1451,1928,2115,2111,1274,446,638
2012,539,398,315,747,1336,1493,2047,2330,2136,1342,680,144
2013,478,533,736,1044,1303,1797,2363,2072,1663,1261,820,649
2014,902,466,671,995,1387,1839,2373,2182,1910,1372,780,371
2015,899,897,998,986,1304,2104,2148,2109,1853,1582,520,103
2016,159,760,600,1068,1347,1813,2192,2359,1905,929,634,260
2017,239,265,669,670,1436,1846,2347,2422,1809,1386,481,736
2018,452,441,390,806,1387,1744,2399,2179,1808,1344,944,275
2019,416,-62,392,987,1179,1805,2022,2196,1632,1220,1078,213
2020,299,728,,1041,1244,1727,2236,2338,2018,1720,734,489
2021,342,481,453,1137,1487,2005,2489,2264,1906,999,881,233
2022,666,781,757,629,1027,1682,2285,2340,1954,1692,546,285
2023,274,252,112,758,1337,1710,2347,2188,1658,1337,732,539
2024,326,292,425,860,1357,1958,2635,2111,2057,1533,477,574
2025,723,415,470,1062,1424,1978,2255,2312,1917,1128,978,888
2026,850,584,1279,,,,,,,,,
