2003,,,,,,,,,,,2398,1863
2004,1847,2068,2167,2176,2513,2767,2754,2856,2786,2628,2345,1971
2005,1887,1899,2061,2137,2465,2738,2941,2939,2858,2609,2357,2021
2006,1956,1897,2074,2326,2462,2704,2766,2843,2813,2585,2205,2231
2007,2093,1935,2122,2228,2437,2716,2869,2894,2772,2725,2278,2207
2008,1918,2123,2148,2255,2500,2718,2784,2848,2802,2551,2119,2093
2009,1856,1795,2047,2266,2515,2790,2869,2904,2856,2718,2332,2154
2010,1613,1660,1816,2261,2689,2948,2903,2932,2840,2593,2223,1522
2011,1806,2044,2112,2440,2506,2686,2813,2855,2836,2532,2436,
2012,2300,2251,2226,2255,2609,2789,2844,2879,,2639,2130,2143
2013,2175,2079,1826,2399,2476,2782,,,,,,
2014,1899,2243,2172,2389,2546,2683,2861,2932,2784,2630,2181,2113
2015,2027,1848,2338,2521,2559,2750,2809,2865,2841,2674,2575,2471
2016,1930,,,2483,2683,2863,2924,2888,2862,2612,2282,2330
2017,2010,2125,2090,2349,2577,2761,2867,2913,2891,2628,2452,2168
2018,1863,2337,2031,2366,2524,2808,2904,2890,2874,2740,2412,2093
2019,1873,2270,2207,2421,2643,2842,2912,2904,2884,2814,2377,2182
2020,2017,2110,2251,2549,2527,2858,2893,2976,2873,2770,2522,2011
2021,1966,2279,2259,2396,2561,2680,2795,2853,2809,2684,2222,2338
2022,1993,2201,2352,2410,2610,2789,2884,2904,2819,2581,2541,2157
2023,2086,2304,2322,2485,2582,2820,2977,2967,2866,2632,2385,2078
2024,2058,1969,2386,2373,2793,2829,2996,2953,2972,2679,2446,2119
2025,1861,2310,2177,2391,2701,2786,2849,2904,2834,2683,2282,2185
2026,1876,1739,2267,2375,2730,2811,2905,,,,,
