1988,1758,1785,2004,2260,2443,2775,,2869,2837,2434,2333,1896
1989,2053,1989,2215,2415,2635,2793,,2912,2916,2559,2283,1633
1990,2126,2178,2200,2317,2578,,,,,,,2057
1991,2117,2023,2193,2473,2619,2811,2871,2923,2835,2592,2088,2070
1992,1789,2029,,,2398,2733,2957,2863,2781,2518,2334,2028
1993,2164,1901,,2219,2450,2767,2755,2879,2825,2642,2286,1819
1994,1865,2201,2179,2478,2650,2797,2795,2820,2777,2660,2430,2108
1995,1774,1892,2222,2410,2718,2735,2826,2897,,2649,2129,1823
1996,1816,1842,1896,2202,2559,2706,2928,2841,2824,2510,2157,1948
1997,1868,2171,2240,2197,2491,,2857,2919,2754,2506,2180,1991
1998,1987,1950,1977,,,2901,,2956,2833,2654,2438,2203
1999,1987,2017,2001,2372,2461,2679,2872,2902,2819,2568,2198,1995
2000,1868,1933,,,,,,,,,,
2001,,,,,,,,2898,2735,2525,2241,2111
2002,1953,1902,2263,2451,2516,2684,2914,2894,2872,2760,2126,1888
2003,1538,2139,2469,2318,2734,2825,2945,2877,2866,2687,2353,1751
2004,1793,2021,2130,2210,2489,2756,2750,2866,2800,2581,2298,1847
2005,1857,1915,2068,2163,2504,2743,2975,2974,2865,2703,,1897
2006,1863,1866,2116,,,,,,,,,
2010,,,,,,,,,,,,1435
2011,1778,2093,2134,2420,2507,2701,2829,,,2477,2284,2114
2012,1856,2180,2259,2228,2542,2643,2732,2780,,2568,2052,2080
2013,2174,2032,1786,2426,2394,2783,2797,2898,2789,2645,2344,2239
2014,1759,2198,2114,2366,2450,2687,2855,2942,2792,2582,2048,2030
2015,1958,1774,2351,2508,2500,2713,2704,,2765,2614,2537,2396
2016,1757,1917,2345,2404,2617,2826,2989,2915,2912,2575,2208,2270
2017,1963,2144,2059,2231,2471,2775,2892,2927,2879,2589,2373,2098
2018,1721,2379,1984,2314,2425,2816,2915,2855,2859,2668,2346,2070
2019,1800,2303,2218,2415,2633,2821,2893,2891,2843,2795,2256,2146
2020,1974,2078,2223,2448,2438,2724,2775,2938,2826,2731,2434,1889
2021,1891,2239,2202,2314,2471,2659,2737,2872,2819,2680,2142,2263
2022,1846,2117,2295,2361,2555,2699,2881,2933,2823,2538,2486,2042
2023,2017,2267,2273,2465,2531,2693,2851,2948,2900,2612,2328,1998
2024,1948,1915,2348,2343,2789,2796,2955,2912,2922,2599,2354,1980
2025,1656,2238,2067,2279,2567,2697,2811,2917,2835,2624,2149,2110
2026,1811,1652,2205,2265,2621,2747,,,,,,
