1993,,,,2331,2522,2833,2875,2871,2810,2719,2402,1957
1994,1933,2196,2159,2416,2568,2807,2782,2813,2738,2664,2478,2198
1995,1915,2019,2278,2505,2775,2780,2862,2909,2858,2723,2259,1941
1996,1892,1847,1954,2243,2568,2713,2891,2842,2855,2572,2282,2071
1997,1930,,2307,2300,2580,2768,2891,2920,2809,2578,2281,2035
1998,2031,2027,2034,2307,2597,2887,2902,2924,2819,2679,2462,2260
1999,2087,2044,2007,2364,2508,2734,2889,2901,2802,2605,2313,2104
2000,1999,2011,2253,2213,2469,2706,,,2827,2453,2222,1903
2001,,2185,2140,2245,2378,2733,2794,2908,2772,2605,2322,2238
2002,2043,1973,2236,2388,2543,2681,2872,2886,2858,2789,2241,1982
2003,1575,2079,2441,2252,2703,2811,2887,2867,2862,2721,2412,1861
2004,1853,2056,2128,2152,2475,2773,2774,2889,2823,2656,2372,1986
2005,1904,1904,2076,2126,2479,2735,2968,2964,2883,2616,2385,2038
2006,2000,1964,2120,2358,2510,2757,2831,2897,2878,,2206,2255
2007,2092,1924,2144,2286,2466,2798,2950,2986,2849,2763,2266,2229
2008,1922,2169,2165,2314,2550,2772,2824,2906,2860,2588,2156,2136
2009,1878,1799,2042,2268,,2800,2895,2957,2917,2785,2346,2158
2010,1599,1648,1738,2185,2601,2860,2823,,2862,2630,2292,
2011,,2028,2093,2448,2541,2705,2899,2903,2897,2532,2353,2201
2012,1912,2179,2187,,,,,,,,,
