1985,,,,,,,1880,1384,667,,,
1986,,,,,,,1324,1765,661,,,
1987,,,,,,1347,1447,1553,1401,980,,
1988,,,,,,,1856,1676,1178,,,
1989,,,,,,,,1378,1184,406,,
1990,,,,,,,,1554,1518,,,
1991,,,,,460,920,1696,1778,1281,549,-316,
1992,,,,,,1299,1417,1662,941,697,,
1993,,,,,,,,1321,1091,584,-345,-434
1994,-337,-544,44,313,822,1145,1710,1793,1371,360,-636,
1995,,,,,,,1429,1444,1205,331,69,-405
1996,-512,-253,-17,208,476,1135,1739,1622,954,457,-84,-496
1997,,,,,,,,1572,1192,383,3,-428
1998,-334,,,,,,,,1366,505,-121,
1999,,,,,,,,,1115,693,243,
2000,,,,,,,1677,1731,948,464,,
2001,,,88,127,863,1138,1595,1898,1353,480,89,-568
2002,-548,,,,,1217,1887,1473,1185,450,62,-265
2003,-60,-459,-162,121,652,1291,1981,1844,1279,811,-389,-351
2004,-293,,,491,616,1246,1720,1530,994,518,31,-210
2005,,-106,21,288,723,929,1757,1675,1112,598,-100,-410
2006,,-467,-208,94,778,1375,2022,1608,1168,488,-227,
2007,,,,,,,2126,1740,1102,443,1,-618
2008,-642,-319,-206,-110,688,1097,1750,1688,1206,588,189,-589
2009,-255,-237,-284,243,761,1077,1704,1594,1508,172,-47,-662
2010,-194,-223,12,139,322,980,1602,1496,1230,742,-258,-412
2011,-411,-526,-187,-72,451,959,1677,1816,1525,547,-298,-303
2012,-367,-359,-83,291,654,1100,1910,1915,1445,471,-11,-640
2013,-417,-387,-45,158,763,1279,1934,1831,1160,444,-42,-598
2014,-193,-465,-66,194,814,1096,1899,1525,1276,743,-240,-421
2015,-74,-5,228,288,812,,1610,1760,1249,892,-241,-602
2016,-390,-59,-38,635,802,1391,1613,1704,1117,468,149,-882
2017,-701,-204,-80,24,709,1222,1985,1854,1163,372,-134,-389
2018,-202,-638,-219,221,966,1165,1915,1734,1234,475,-143,-593
2019,-408,-731,-172,249,721,1124,1685,1744,1040,17,62,-433
2020,-509,-473,-94,240,702,1054,1637,1818,1441,590,-173,-348
2021,-484,-657,-54,345,679,1631,2099,1637,1294,506,15,-560
2022,-319,-371,17,-127,442,1115,1955,1954,1484,782,-468,-642
2023,-640,-500,-510,108,944,1070,1886,1664,1203,605,42,-199
2024,-438,-336,-118,320,543,1325,1937,1698,1357,764,-272,-189
2025,-539,-570,-41,307,838,1299,1765,1722,1460,480,207,-98
2026,-102,-57,290,264,959,1139,2004,,,,,
