1993,,,,,1328,1309,1319,1523,1225,799,,
1994,,,,,1219,1368,1873,1843,1418,690,-119,
1995,,,,,,1342,1704,1526,1380,,,
1996,,,,,,1357,1791,1637,1099,650,,
1997,,,,,,,1657,1822,1347,,,
1999,,,,,,,1581,1883,1216,,,
2000,,,,,,1355,1728,1700,1153,,,
2001,,,,,,1272,1754,1832,1443,673,,
2002,,,,,,1436,1936,1534,1298,527,,
2003,,,,,,1408,2015,1863,1328,825,-142,-175
2004,-259,-56,326,668,943,1504,1863,1793,1164,710,152,-111
2005,-67,43,394,612,1078,1249,1767,1689,1085,744,71,-411
2006,42,-249,209,642,1158,1513,1971,1662,1278,634,145,-303
2007,-413,83,395,676,1039,1442,2145,1666,1246,691,103,-220
2008,-491,32,62,310,946,1248,1702,1687,1232,690,285,-426
2009,-355,-52,17,505,1050,1331,1736,1696,1354,443,41,-582
2010,-22,147,315,517,787,1325,1642,1654,1270,775,-8,-272
2011,-225,,246,303,792,1200,1621,1801,1490,908,68,-66
2012,-76,57,257,681,833,1238,1836,,,,,
2015,,162,451,550,1204,1776,1890,1802,1222,982,6,-231
2016,-109,155,365,888,1141,1482,,1674,1199,729,356,-493
2017,,-102,291,499,1039,1497,1960,1844,1309,573,108,-307
2018,1,-274,254,580,1307,1353,1807,1717,1136,657,94,-294
2019,-261,-361,79,565,1127,1421,1724,1813,1276,335,126,-145
2020,-51,-95,212,565,1043,1314,1726,1754,1369,611,2,-270
2021,-79,-264,160,558,946,1715,2070,1739,1273,719,232,
2022,-293,-320,211,296,849,1403,1973,1999,1450,885,-253,-395
2023,-279,-213,119,485,1374,1539,1912,1865,1321,808,157,-146
2024,-232,101,275,624,911,1382,1962,1800,1429,785,134,-17
2025,-347,-152,339,645,1156,1527,1918,1893,1622,712,358,59
2026,-115,156,329,668,1201,1359,1920,,,,,
