2000,,,,,,,,,471,61,-862,-892
2001,-659,-925,-419,-328,426,621,1156,1450,1003,-100,-245,-910
2002,-939,-784,-789,-295,102,722,1400,986,685,-187,-363,-673
2003,-510,-841,-521,-79,225,775,1552,1445,763,226,-871,-788
2004,-814,-695,-291,34,146,664,1301,1121,436,49,-403,-688
2005,-708,-560,-469,-183,311,523,1243,1184,557,137,-558,-944
2006,-734,-993,-524,-41,473,878,1533,1171,742,-64,-693,-792
2007,-1013,-723,-303,-153,360,812,1716,1237,668,44,-532,-1030
2008,-997,-646,-787,,,,1229,1152,706,146,-200,-1217
2009,-662,-676,-798,-265,295,669,1323,1214,1093,-300,-378,-1124
2010,,,-310,-176,0,652,1181,1070,671,414,,
2011,-923,-1078,-546,-412,95,481,1186,1424,1073,70,-737,-778
2012,-770,-800,-458,-55,131,629,1509,1457,1039,-34,-415,-944
2013,-798,-825,-512,-400,344,808,1563,1441,,,,
2014,-659,-1158,-575,-282,325,595,1537,1257,833,359,-701,-720
2015,-481,-523,-206,-121,395,1251,1264,1393,835,431,-628,-871
2016,-678,-534,-505,175,312,897,1093,1199,579,23,-177,-1250
2017,-1070,-802,-462,-344,407,764,1644,1386,710,-144,-587,-810
2018,-608,-1160,-592,-220,569,596,1367,1198,546,20,-566,
2020,-807,-889,-721,-328,216,589,1186,1311,961,,,
2022,,-977,-554,-655,-28,,,,954,370,-864,-1077
2023,-929,-981,-844,-290,680,848,1446,1327,747,174,-424,-379
2024,-837,-714,-506,-187,66,701,1502,1231,991,281,-575,-537
2025,-895,-967,-411,-210,429,882,1302,1340,1188,-1,-253,-527
2026,-634,-489,-361,-121,455,603,1578,,,,,
