2002,,,,,,2364,2680,2508,2399,1833,1012,599
2003,346,705,1357,1546,2035,2508,2627,2610,2174,1639,1422,450
2004,471,654,1164,1491,2204,2432,2605,2390,2291,1724,1183,629
2005,725,730,969,1454,1780,2349,2718,2619,2444,1820,1254,600
2006,,558,955,1653,1824,2291,2573,2594,2121,1543,1221,985
2007,833,532,1161,1397,1806,2315,2488,2656,2257,1976,,1026
2008,585,946,1093,1602,1849,2514,2546,2469,2244,1454,941,994
2009,586,602,1063,1493,2086,2440,2470,2576,,,,
2011,,,,,,,2712,2582,2261,1540,1237,913
2012,765,820,1537,1552,2099,2218,2739,2481,2219,1622,849,968
2013,872,674,792,1506,1884,2359,,,,,,
2015,,,,,,,,,2307,,1625,1657
2016,513,,,,,,,,,,,
2017,961,1147,986,1857,2115,2402,2647,2524,2317,1840,1162,736
2018,408,1313,869,1443,2192,2600,2525,2638,2547,1807,1218,925
2019,666,1075,1086,1688,2212,2351,2599,2542,2399,1893,927,928
2020,935,1001,1444,1426,1846,2349,2659,2629,2252,1897,1432,739
2021,634,758,1241,1493,1853,2388,2573,2653,2203,1817,956,1226
2022,519,1000,1323,1538,2263,2400,2696,2542,2223,1568,1341,724
2023,928,1190,1204,1681,1818,2293,2742,2644,2267,1630,1108,935
2024,794,873,1358,1617,2130,2409,2676,2578,2304,1636,1303,766
2025,220,877,1207,1696,2120,2589,2779,2486,2228,1573,1125,635
2026,508,615,1426,1669,1949,2487,2727,2708,,,,
