1983,,,,,,,,,1130,627,-158,
1984,,,,,,,1630,1551,1021,,,
1985,,,,,,,1699,1566,824,452,,
1986,,,,,,,1498,1712,,,,
1987,,,,,,,,,1226,806,,
1988,,,,,,,1865,1695,1051,881,-334,-642
1989,-731,-670,8,442,755,1108,1833,1533,1158,479,-51,-573
1990,,,,,,,,1655,1432,546,,
1991,,,,,,,1728,1706,1133,561,-193,-311
1992,-400,-151,161,645,,1185,1487,1640,1157,667,,
1993,,,,,,,,1390,1028,376,-464,
1995,,,,,,,,1606,1206,469,113,-386
1996,-627,-365,-134,125,706,1455,1739,1686,936,482,,
1997,,,,,,,,1637,1177,494,-136,
1998,,,,,,,1764,1677,1271,493,-138,
1999,,,,,,,1645,1590,1008,763,,
2000,,,,,,,1801,1754,1124,478,-612,-508
2001,-627,-438,25,269,907,1311,1710,1739,1325,587,-10,
2002,,,,,,,1893,1601,1043,363,-213,-520
2003,-197,-543,-49,266,840,1198,1945,1733,1101,821,-357,-440
2004,,,,,730,1246,1606,1381,1006,393,-194,-512
2005,,,,,,,1814,1581,1153,622,-102,
2006,,,,,,,1840,1562,919,361,-151,-522
2007,-762,-396,127,365,822,1394,1911,1742,1100,528,92,-801
2008,-901,-502,-379,-65,540,1165,1714,1604,1054,535,61,-720
2009,-397,-335,-183,178,784,1024,1620,1478,1284,208,64,-789
2010,-338,-471,-104,167,421,1227,1670,1544,1261,638,-321,-360
2011,-571,-606,-122,8,444,1090,1633,1698,1177,502,-228,-538
2012,-389,-517,182,378,808,1400,1734,1760,1240,508,200,-621
2013,-642,-645,-54,66,762,1410,1767,1638,1076,338,-24,-694
2014,-424,-398,-70,187,827,1178,1801,1425,1260,726,-176,-413
2015,-230,-93,240,299,644,1580,1536,1616,1379,817,-283,-624
2016,-501,-207,24,391,684,1597,1775,1645,1123,719,138,-722
2017,-717,,,,731,1401,1863,1685,1056,424,186,-336
2018,-254,-524,-68,295,865,1404,1901,1689,1394,389,-257,-602
2019,-544,-719,-169,304,491,1105,1744,1695,1162,60,1,-500
2020,-517,-578,-23,263,879,1172,1767,1912,1304,633,-46,-498
2021,-534,-577,-128,258,790,1647,1895,1574,1265,418,198,-444
2022,-507,-662,-98,91,567,1344,1859,1712,1439,625,-458,-599
2023,-733,-558,-499,55,903,1120,1845,1619,1187,576,38,-239
2024,-463,-380,-182,329,497,1578,1775,1736,1370,904,-270,-215
2025,-823,-384,26,273,868,1458,1822,1758,1340,600,303,-51
2026,-327,-40,475,312,844,1382,,,,,,
