1985,,,,,,,,,952,638,-177,278
1986,335,265,573,458,,1485,1416,1800,979,1001,393,267
1987,93,318,406,787,1176,1473,1360,1626,1464,1230,,
1988,,,,,,,1568,1548,1318,1300,261,179
1989,75,-175,306,717,765,,,,,789,493,366
1990,158,45,439,728,741,1222,1707,1628,1536,,,
1991,,,254,413,654,1009,1612,1641,1534,920,,
1992,,,,,1258,1433,1575,1633,1249,907,473,338
1993,283,365,705,695,1099,1041,1172,1503,1393,977,175,217
1994,350,198,616,692,1074,,,1475,1450,702,-79,
1995,,,,,,,1549,1332,1425,740,619,248
1996,147,176,369,599,679,1175,1734,1624,1130,771,389,74
1997,63,169,298,424,1082,1090,1503,1639,1349,733,529,141
1998,236,249,307,599,747,1213,1828,1686,1479,773,305,-92
1999,137,49,214,341,599,1080,1895,1609,1258,908,535,233
2000,-27,217,261,655,738,1306,1501,1510,1290,738,152,207
2001,187,155,422,372,1056,1056,1491,1660,1439,774,442,59
2002,-23,231,217,590,752,1270,1716,1489,1279,693,575,243
2003,476,230,385,409,824,1364,1713,1645,1436,920,130,145
2004,195,265,561,720,809,1238,1645,1678,1132,788,411,241
2005,180,332,477,521,942,1028,1662,1649,1117,815,348,172
2006,185,123,172,582,975,1356,1721,1552,1327,757,245,130
2007,-10,220,512,526,950,1118,1729,1478,1129,647,381,-52
2008,-112,,,,,,1593,1576,1384,869,543,-55
2009,232,235,142,515,957,1303,1764,1603,1414,662,298,-97
2010,307,302,357,441,656,1045,1593,1549,1294,850,219,75
2011,195,39,465,501,664,1078,1388,1628,1586,802,224,201
2012,187,152,216,603,860,988,1553,1673,1478,826,456,-35
2013,131,185,406,500,970,1304,1721,1676,1252,768,375,-32
2014,436,50,379,551,975,1157,1831,1730,1447,1050,375,310
2015,521,508,670,557,1072,1641,1764,1689,1231,1139,250,112
2016,156,418,392,847,1063,1299,1502,1672,1176,771,597,-189
2017,-88,135,375,427,969,1324,1718,1899,1431,781,307,181
2018,335,9,304,530,1142,1243,1777,1718,1208,891,433,77
2019,313,-178,259,559,964,1244,1512,1688,1180,569,489,237
2020,123,171,262,615,925,1177,1593,1633,1631,950,249,182
2021,218,36,306,603,933,1623,1869,1741,1367,664,487,27
2022,275,241,423,294,660,1220,1870,1951,1556,1269,173,-30
2023,108,51,44,475,1121,1364,1767,1823,1285,930,458,427
2024,191,219,326,525,816,1314,1882,1666,1539,928,307,308
2025,272,100,397,711,989,1410,1802,1828,1611,719,585,404
2026,434,366,553,,,,,,,,,
