1986,,743,980,957,1325,1858,,2155,1433,1191,730,402
1987,390,554,833,1167,1459,1900,1890,1992,1597,1394,790,475
1988,494,665,771,1120,1173,,,,,,,
1990,,,,,,,,,1867,1112,591,15
1991,320,848,659,879,1160,1528,2100,2065,1907,,837,397
1992,508,797,979,1220,1723,1855,2135,2149,1703,1244,,
1994,,,,,,,,,,1083,396,379
1995,,816,728,931,1362,1593,2027,1826,1829,1116,919,685
1996,492,778,805,1038,,,,,1577,1166,759,566
1997,450,577,845,1031,1577,1613,2034,2089,1666,1122,790,271
1998,587,619,785,1011,1176,1727,2257,2137,1851,1055,793,297
1999,415,543,675,938,1248,1683,2000,2053,1778,1195,886,337
2000,423,731,709,1182,1400,1800,2002,2022,1728,1159,471,396
2001,386,524,912,877,1635,1641,2036,2121,1805,1194,767,482
2002,424,653,676,1056,1302,1754,2180,1966,1718,1048,714,528
2003,732,553,883,904,1361,1884,2244,2103,1847,1317,592,557
2004,542,640,1060,1196,1391,1828,2153,2182,1633,1194,605,509
2005,382,621,909,991,1464,1588,2193,2162,1579,1192,,
2006,545,571,607,1041,1475,1878,2248,2010,1711,1111,753,444
2007,251,569,926,1043,1437,1703,2181,2008,1566,1077,702,396
2008,285,533,666,874,1466,1642,2094,2039,1789,1171,768,297
2009,413,601,703,994,1516,1797,2246,2036,1815,1089,620,211
2010,726,712,794,876,1165,1602,2099,2016,,1230,665,531
2011,471,493,797,852,1170,1651,1937,2111,1956,1218,697,218
2012,459,553,675,1110,1399,1593,2077,2145,1840,1274,802,397
2013,267,490,856,1086,1447,1763,2262,2084,1715,1021,620,22
2014,412,726,966,1174,1518,1686,2358,2222,1880,1429,868,709
2015,506,799,1061,1007,1502,2058,2292,2102,1673,1444,591,531
2016,509,794,888,1282,1518,1832,1997,2148,1655,1154,902,280
2017,,666,905,986,1502,1824,2209,2257,1749,1137,737,346
2018,600,500,699,1057,1549,1760,2218,2056,1598,1217,703,403
2019,482,309,743,1191,1470,1772,2045,2170,1661,992,687,470
2020,571,583,723,1181,1494,1774,2154,2174,1834,1292,630,447
2021,537,490,695,1120,1463,2044,2338,2129,1749,1143,766,376
2022,539,546,884,839,1263,1715,2247,2309,1910,1433,491,368
2023,434,369,517,1000,1557,1823,2203,2240,1717,1240,721,631
2024,723,636,742,1045,1365,1852,2353,2092,1874,1321,620,497
2025,378,536,875,1155,1469,1904,2329,2316,1997,1159,834,545
2026,439,727,1128,,,,,,,,,
