1997,,,,,1262,1241,1655,1852,1574,956,740,453
1998,391,444,596,,926,1325,1812,,,,,233
1999,505,,483,,,,,,,,,
2000,,,,,926,1477,1587,1644,1462,1011,465,
2001,447,380,594,576,,1192,1563,1700,1604,989,703,272
2002,300,430,336,742,918,1381,1732,1723,1580,1020,844,359
2003,621,412,525,,,,,1772,1603,1099,412,316
2004,337,432,582,939,1034,1455,1806,1830,1358,,,
2006,,,,,,,,,,1026,479,384
2007,231,453,620,685,1114,1248,1705,1654,1370,870,584,214
2008,91,430,308,440,1029,1184,1687,1655,1579,968,743,134
2009,415,400,374,,1287,1391,1930,1693,1539,924,536,148
2010,541,559,519,574,824,1146,1689,1711,1400,1025,431,270
2011,438,152,355,371,757,1173,1532,1744,1727,917,448,391
2012,355,268,324,714,995,1097,1627,1863,1698,1044,630,219
2013,353,295,518,676,1061,1396,1787,1739,1394,1057,578,193
2014,568,144,570,732,1133,1324,1911,1918,1647,1253,477,380
2015,659,701,862,744,1210,1766,,1828,1396,1229,429,248
2016,326,605,564,,,1432,1578,1857,1397,869,735,41
2017,29,211,408,542,1156,1359,1833,2108,1658,1013,466,326
2018,409,216,436,690,1273,1403,2031,1906,1418,1137,658,301
2019,437,-29,512,,1249,1481,1671,1791,1346,804,711,418
2020,327,346,397,877,1118,1334,1765,1828,1736,1116,553,416
2021,399,177,436,919,1141,1670,1993,1883,1510,853,630,146
2022,534,426,549,457,779,1277,1924,1997,1691,1466,344,189
2023,316,188,251,526,1295,1448,1834,1974,1409,1089,595,580
2024,309,338,494,672,989,1366,2034,1753,1594,1044,498,496
2025,435,225,496,874,1045,1478,1844,1944,1660,917,691,527
2026,604,451,587,898,1177,1449,1687,,,,,
