1996,,,,,,,,,1107,363,-227,-575
1997,-487,-215,-57,302,957,1174,1528,1725,1285,443,99,-377
1998,-435,-14,140,611,1088,1258,1996,1934,1632,532,16,-561
1999,-284,-251,100,465,692,1132,1466,1740,1212,538,236,
2001,,,,,,,1705,1947,1466,394,144,
2002,,,,,,,,1671,1238,511,44,
2003,,,,,,,,,1280,,,-419
2004,,-106,314,732,853,1391,1795,1808,1033,591,-23,-251
2005,-244,-33,272,597,1089,1156,1683,1788,,,,
2006,,,,,,,,1765,1407,538,-129,-353
2007,-614,-142,229,441,1014,1276,2108,1686,1176,458,-182,-525
2008,-629,-92,-22,268,1000,1211,1731,1647,1210,549,410,
2009,,,,,,,,1922,1401,249,-13,-744
2010,-143,37,260,480,734,1183,1680,1649,1111,675,-225,-277
2011,-447,-562,42,198,782,1108,,,,,,
2012,,,,,,,1796,1858,1465,544,40,
2013,,-123,182,435,1088,1304,1923,1847,1362,539,-94,-664
2014,-227,-647,75,491,1016,1236,1989,1823,1343,782,-219,-312
2015,-290,78,413,491,1177,1679,1874,1823,1076,840,-224,-420
2016,-263,37,246,899,1050,1361,1531,1726,1080,451,268,-874
2017,-778,-417,49,343,1010,1367,1981,1985,1340,401,-116,
2018,,-549,110,416,1344,1212,1855,1783,1013,517,-48,-397
2019,-324,-844,90,472,1149,1304,1581,1776,,159,-110,-352
2020,-326,-253,-25,431,887,1226,1657,1761,1440,445,-78,-306
2021,-336,-616,176,551,952,1728,2274,1648,1199,481,-8,-780
2022,,-343,128,182,678,1253,1945,2034,1441,928,-564,-835
2023,-367,-460,-83,363,1388,1526,1902,1828,1210,604,-176,-209
2024,-597,-165,158,471,869,1232,2183,1801,1546,670,,
2025,,,,,,1566,1857,1916,1753,527,123,-142
2026,-314,-87,215,638,1211,1348,,,,,,
