1991,,,,,391,878,1196,1151,677,138,-798,-784
1992,-800,-645,-393,135,497,792,1027,1107,685,321,-869,-1113
1993,-929,,,-326,,613,1049,1032,513,-8,-890,-927
1994,-937,-946,-450,-124,594,1133,1266,1293,752,37,-693,-715
1995,-900,-578,-553,-308,133,672,1108,1349,625,-31,-428,-778
1996,-1081,-802,-626,-230,414,896,1337,1165,563,61,-532,-1007
1997,-994,-988,-462,-468,404,885,1185,1108,783,46,-691,-880
1998,-843,-838,-643,-258,466,634,1369,1184,919,79,-439,-943
1999,-897,-818,-412,-415,204,690,1264,1114,469,269,-68,-929
2000,-885,-622,-507,74,539,969,1426,1405,716,175,-989,-928
2001,-904,-832,-524,-62,450,1017,1453,1293,874,81,-304,-956
2002,-1080,-985,-816,1,364,1110,1495,1171,710,-104,-565,-900
2003,-541,-1070,-580,-56,417,715,1525,1356,636,376,-740,-753
2004,-891,-905,-170,-21,463,823,1227,978,646,101,-476,-823
2005,-621,-684,-530,-15,396,801,1436,1122,814,252,-502,-1025
2006,-896,-974,-577,107,510,1112,1420,1203,454,-41,-419,-763
2007,-952,-786,-197,-96,426,935,1358,1250,752,181,-282,-1068
2008,-1140,-861,-760,-331,205,706,1295,1130,637,190,-296,-979
2009,-720,-706,-491,-134,410,686,1139,1021,738,-272,-258,-1220
2010,-726,-993,-451,-205,91,838,1239,1099,875,254,-580,-694
2011,-961,-1044,-474,-328,146,743,1208,1308,734,63,-687,-810
2012,-731,-944,-137,147,431,1175,1344,1207,834,123,-167,-1050
2013,-962,-935,-521,-422,289,1026,1249,1210,800,-46,-391,-989
2014,-878,-716,-447,-153,387,763,1222,983,824,313,-594,-753
2015,-563,-636,-137,-37,278,1085,945,669,,,-767,-1598
2019,,,-590,-49,109,723,1346,1308,940,-320,-439,-786
2020,-932,-1038,-399,-197,436,923,1364,1440,776,161,,
2022,,,,-225,322,1066,1503,1337,992,201,-734,-1011
2023,-965,-902,-901,-318,509,751,1346,1202,808,195,-289,-556
2024,-911,-705,-538,-76,135,1099,1213,1278,1013,580,-580,-560
2025,-1211,-770,-400,-180,345,1071,1355,1227,800,213,-106,-444
2026,-820,-484,5,-97,335,988,1494,1394,,,,
