1986,,,-92,-13,350,1108,1192,1268,,,,
1987,,,,,,,1169,1105,863,457,-385,-989
1988,-894,-700,,,,1333,1449,1291,743,609,-505,-765
1989,-731,-905,-160,284,486,840,1488,1178,834,231,-153,-552
1990,-714,-764,-251,217,349,1112,1346,1251,1093,311,-245,-1068
1991,-749,-379,-544,-143,387,971,1278,1308,814,340,-399,-569
1992,-572,-463,-188,388,727,931,1204,1299,938,473,-631,-939
1993,-765,-862,-177,-64,636,779,,,825,,,
1994,,-744,-226,117,727,1211,1399,1449,1007,151,-613,-620
1995,-659,-232,-340,-72,256,735,1184,1388,883,233,-32,-520
1996,-766,-498,-332,-21,513,1130,1404,1303,659,200,-254,-637
1997,-665,-846,-240,-234,577,1045,1219,1350,890,238,-451,-735
1998,-534,-742,-469,-134,454,704,1442,1344,1042,,,-796
1999,-532,-571,-222,-140,327,885,1361,1315,719,425,136,-631
2000,-636,-354,-355,263,743,1060,1511,1507,897,256,-788,-520
2001,-732,-663,-262,76,642,1103,1432,1454,1041,408,-280,-771
2002,-843,-659,-532,154,442,1135,1569,1304,851,99,-275,-628
2003,-166,-802,-224,52,587,889,1613,1419,831,558,-476,-517
2004,-647,-731,45,128,538,933,1292,1133,790,266,-343,-515
2005,-403,-602,-362,-27,504,823,1433,1207,804,347,-191,-647
2006,-531,,,137,618,1051,1515,1227,687,222,-242,-559
2007,-774,-479,-71,159,579,1166,1559,1393,814,417,-49,-889
2008,-882,-578,-554,-242,395,928,1377,1245,788,374,20,-682
2009,-348,-518,-342,-52,627,762,1270,1109,971,56,-174,-970
2010,-504,-782,-352,-39,217,974,1285,1192,962,454,-394,-458
2011,-597,-805,-316,-136,258,858,1301,1332,903,,-491,-675
2012,-474,-745,-76,232,589,1113,1429,1425,942,338,-55,-839
2013,-731,-711,-306,-142,496,1113,1430,1352,856,177,-249,-671
2014,-400,-230,-273,62,608,874,1369,1090,924,496,-285,-615
2015,-287,-293,64,74,427,1201,1156,1244,1012,520,-564,-904
2016,-689,-420,-304,65,351,1214,1394,1196,816,385,-114,-915
2017,-824,-524,-15,-134,464,1067,1404,1212,741,132,-90,-402
2018,-507,-825,-401,65,571,1081,1483,1288,1019,64,-480,-883
2019,-711,-970,-582,59,215,835,1357,1334,842,-192,-272,-793
2020,-808,-862,-411,-62,547,888,1367,1433,844,333,-369,-759
2021,-817,-789,-550,-77,457,1210,1507,1214,855,197,3,-651
2022,-713,-833,-378,-125,315,966,1438,1334,999,231,-738,-844
2023,-972,-826,-980,-276,560,793,1394,1221,816,180,-325,-523
2024,-753,-702,-565,19,292,1212,1327,1291,942,520,-597,-521
2025,-1010,-385,,,,,,,,,,
