1980,,,,,,,,,,,2111,
1981,,,,,1900,1139,1293,1533,1522,,,
1982,2695,,,,,,,,,,,
1984,2616,2494,2252,,1554,,,1163,,,,
1985,2651,2587,2320,1827,1606,1364,1294,1345,1642,1858,2334,2418
1986,2677,2596,2238,2025,1551,1529,1311,1315,1663,1873,2142,2479
1987,2677,2624,2437,1989,1250,1240,1436,1359,1464,1888,2221,2305
1988,2583,2406,2497,1736,1261,1020,1126,1381,1486,1788,2249,2572
1989,2792,2727,,,,1292,,,1495,1835,2213,2676
1990,2847,2408,2185,1941,1468,1120,1164,1678,1487,2056,2316,2262
1991,2433,2462,2457,1944,1756,1281,1160,,1734,1834,2067,2448
1992,,,,,1501,1506,977,1378,1576,1893,1981,2443
1993,2646,2333,2437,1993,1420,1297,1052,1381,1447,,,2331
1994,2473,2441,2255,,1777,1457,1281,1298,1687,1890,2268,2662
1995,2599,2384,2269,1884,1576,1160,1237,1366,1569,1792,2222,2661
1996,2511,2491,2348,,1595,1137,1019,1670,1543,1985,,2556
1997,2802,2471,2415,2051,1722,1270,1458,1582,1615,,,
2001,,,,,,,1317,1749,1629,1948,2152,2375
2002,2546,2382,,1826,1798,1149,1181,1515,1539,2085,2256,2337
2003,2696,2522,,1798,1627,1399,1183,1309,,2006,2137,
2004,,2498,2503,,1342,1327,,1492,1695,,,
2005,,,,1767,1568,1557,1303,1468,1424,,,
2006,,,,,,,,,1552,2125,,
2007,,,,2008,,1092,,,,,2107,2512
2008,2647,2549,2340,1992,1669,1074,1516,1358,1460,1918,2583,2619
2009,2650,2469,2340,1996,1662,,988,1552,1425,1878,2282,2367
2010,2648,2503,2409,1868,,1235,1078,,,1848,2245,
2011,2767,,2284,1987,1522,1191,,1186,1707,1806,2447,2534
2012,,2576,,1899,1741,1252,992,,,,2465,2577
2013,,2376,2124,1943,1509,1267,1253,,1597,,,
