1993,,,,,,,,,,,,2629
1994,2579,,,,,2629,2499,,2599,,2689,2609
1995,2749,2819,2899,2944,2959,2684,2629,2679,2674,2689,2699,2709
1996,2754,2819,2834,2999,2864,2624,2564,2629,2674,2664,2689,2564
1997,2679,2669,2779,2959,2924,2799,2664,2694,2809,2834,2749,2719
1998,2829,2933,2949,3019,2849,2709,2669,2749,2744,2769,2774,2764
1999,2734,2754,2864,2829,,,,,,,,
2002,,,,,,,,2714,2759,2804,2828,2764
2003,2814,2864,2889,2959,2909,2794,2619,,,2763,2794,2768
2004,2789,2814,2884,3019,2874,2679,2674,2559,2744,2759,2759,2773
2005,2779,2859,3004,3004,2894,2748,2694,2714,2789,2834,2704,2684
2006,2714,2744,,2979,,,,,,,,
2008,,,2795,3089,2810,2685,2650,2700,2725,2780,,2710
2009,2765,2755,2830,2955,2960,2850,2775,2745,2825,2835,2935,2840
2010,2790,2959,3105,2990,2865,2735,2725,2719,2735,2830,2745,2707
2011,2754,2739,2804,2884,2700,2839,2650,,2770,2774,2770,2725
2012,2695,2745,2824,2819,2715,2665,2680,2695,,2799,2874,2810
2013,2775,2855,2990,3004,2815,2729,2735,2725,2815,2790,2755,2744
2014,2760,2849,2960,3005,2680,2890,2765,2725,2770,2845,2805,2900
2015,2900,2930,,3030,,2785,2735,,2830,2945,,2750
2016,2875,2950,,3090,,,2810,2780,2830,2830,2840,
2017,,,,,2815,2735,,,,,,
