1989,,,,,,,,,,,,2595
1990,,,2644,2825,2856,2704,2695,,,2752,2795,
1991,2645,2692,,2723,2674,,,,2747,2723,2735,2630
1992,2589,2659,2714,2813,2888,2723,2651,2609,2740,2779,2757,2661
1993,2679,,2740,2819,2922,2830,2823,2772,2754,2797,2730,2631
1994,2681,2621,2667,2752,2805,2691,2631,2793,2799,2835,2770,2702
1995,2625,2626,2651,2790,2836,2776,2756,2781,2806,2791,2781,2725
1996,2606,2721,2731,2786,2826,2756,2691,2726,2786,2771,2711,2641
1997,2639,2681,2621,2766,2851,2851,2791,2785,2888,,,
2001,2581,2606,2646,2761,,2815,2801,2811,2796,2816,2791,2766
2002,2751,2720,2795,2886,2935,2781,2791,2796,2811,2735,2795,2686
2003,2681,2720,2720,2826,2830,2701,2731,2781,2806,2836,2801,2691
2004,2641,2561,2721,2796,2806,,2706,2721,2786,2786,2631,2646
2005,,2691,2796,2856,2891,2851,2766,2691,2871,2856,2751,2626
2006,2606,2621,2736,2751,2876,2811,2741,2736,2786,2781,2771,2716
2007,2636,2646,2711,2811,2836,2786,,2791,2771,2796,2731,2566
2008,2606,2701,2651,2786,2881,2971,2936,3066,3006,3026,2626,2591
2009,2636,2456,2566,2566,2631,2646,,2816,2819,2731,2841,2761
2010,2546,,2771,,2901,2916,2766,2956,2876,2916,2851,2837
2011,2711,2631,2636,2751,2836,2851,2816,2841,2856,2776,2756,2661
2012,2641,2661,2711,2746,2846,,,,,,,
2013,,,2661,2765,2810,2850,2730,2825,2910,2860,2735,2620
2014,2640,,2735,2820,2840,2855,2835,2820,2850,2875,2810,2695
2015,2735,2745,2825,2830,2855,2840,2790,2875,2945,2935,2820,
2016,2685,2735,2781,2865,2860,2825,2880,2855,2860,,,2640
2017,,,,,2905,2815,,,,2790,2815,
