1891,,,,,,,2130,2160,2170,2140,2130,1940
1892,2110,1930,2050,2040,2070,2010,2050,2020,2160,2130,2010,1990
1893,1840,2010,1950,2120,2090,2030,2030,2160,2050,2040,2030,1920
1894,1880,1870,1910,2090,2180,2120,2010,2030,2090,2060,1960,1970
1895,1840,1870,1930,2120,2170,2040,2060,2090,2130,1990,1950,1890
1896,1840,1920,1940,1970,2080,2040,2120,2080,2140,2170,2020,1950
1897,1910,1890,1920,2210,2150,2040,1990,2080,2110,2160,1920,1930
1898,1840,1800,1780,1990,2170,2090,2020,2050,2070,2040,1970,1890
1899,1870,1910,1950,2130,2170,2130,2090,2110,2080,2020,2090,1940
1900,1900,2020,2080,2140,2320,2190,2170,2120,,,,
1901,,,,,,2077,2027,2027,2087,2027,1937,1887
1902,1847,1877,1897,2057,2127,2067,2057,2057,2057,2047,2047,1947
1903,1847,1967,1947,2037,2127,2087,1987,1997,2017,2037,1947,1857
1904,1797,1737,1877,1937,2057,1997,1947,2017,2027,2007,1997,1877
1905,1787,1807,1857,2057,2037,2047,2027,2027,2047,2067,1997,1837
1906,1797,1807,1907,2027,2087,2077,1997,2007,2067,1977,1997,1797
1907,1657,1697,1747,1867,2027,2027,1947,2017,2047,2027,1947,1887
1908,1847,1817,1867,1957,2067,2057,2027,2047,2007,2007,1947,1867
1909,1837,1747,1997,1927,2077,2027,1987,2007,2077,2017,1967,1817
1910,1747,1777,1817,1987,2187,2097,2107,2107,2037,1977,1997,1877
1911,1727,1827,1707,1997,2017,1987,1957,1937,2017,2057,1977,1877
1912,1817,1857,1867,1947,2147,1937,1947,1957,1987,2007,1927,1857
1913,1787,1697,1807,1907,1997,2007,1997,2007,1977,1977,1937,1817
1914,1787,1827,1917,2007,2027,1977,1977,1997,2037,2007,1987,1987
1915,1877,1907,2017,2037,2137,2087,2037,2047,2057,2057,2007,1907
1916,1797,1787,1907,2007,2097,2057,2007,2007,1977,1997,1907,1777
1917,1687,1607,1797,1937,1977,1967,1907,2057,1957,2097,1867,1747
1918,1767,1897,2027,1947,2007,1987,1967,1987,2077,2047,2047,1907
1919,1797,1897,1847,2047,2157,2057,2027,2047,2037,2057,1977,1947
1920,1797,1877,1857,2057,2097,2047,2007,2007,2037,2037,1967,1847
1921,1817,1817,1837,1947,1997,1977,1937,1897,1977,1947,1947,1857
1922,1847,1857,1887,2027,2037,1997,2037,2047,2057,2017,1937,1847
1923,1757,1807,1877,1947,2057,2057,2037,2057,2087,2037,1927,1837
1924,1807,1827,2007,2057,2117,,,,,,,
1926,,,,,,,,,,,,1916
1927,1896,1826,1986,2016,2116,2036,2056,2076,2016,2036,2036,1896
1928,1816,1926,1946,2246,2146,2096,1996,2026,2036,2026,1986,1886
1929,1776,1756,1856,2046,2036,2086,2046,2096,2056,2096,2056,1896
1930,1866,1716,1896,1896,2006,1956,1946,1996,1986,1966,1976,1916
1931,,,,,,,,,,,,1875
1932,1805,1885,1995,2185,2145,2125,2065,2085,2195,2075,2035,1895
1933,1765,1735,1925,2035,2065,2015,2005,1975,2005,1955,1915,1775
1934,1785,1855,1845,2195,2165,2215,2075,2055,2075,2015,1945,1875
1935,1825,1825,1865,2005,2025,2055,2055,2005,2065,2085,1975,1875
1936,1805,1795,1975,2055,2125,2055,1995,2095,2095,2035,1945,1825
1937,1825,1835,2005,2075,2125,2085,2025,2095,2045,2175,2055,1965
1938,1795,1845,1845,1965,2045,2035,2005,1985,2045,2015,1945,1835
1939,1785,1685,1795,2005,2145,2075,2065,2095,2125,2065,2015,1934
1940,1814,1924,1984,2124,2204,2104,2104,2074,2134,2044,1984,1904
1941,1894,2054,2054,2144,2194,2064,2014,2064,2074,2124,2004,1954
1942,1954,1974,2084,2154,2140,2050,2060,2050,2110,2080,2060,1890
